Département;Budget;Type nomenclature;Exercice;Type fichier;Date vote;Dépense/Recette;Investissement/Fonctionnement;Réel/Ordre id/Ordre diff;Chapitre;Sous-chapitre;Opération;Article;Rubrique fonctionnelle;Libellé;Code devise;Montant; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C4582-03;;;A4582-03;R01;Travaux pour compte de tiers - recettes;E;2999,69; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C4582-02;;;A4582-02;R01;Travaux acoustiques carrefour de Verdun;E;175799,63; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C4582-01;;;A4582-01;R01;Recettes pour opération d investissement - MDPH;E;4969,98; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C27;;;A2761;R01;Créances pour avances en garanties d emprunt;E;58857,96; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C27;;;A2748;R01;Autres prêts;E;1448726,15; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C27;;;A2744;R01;Prêts d honneur;E;2280; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C27;;;A2743;R01;Prêts au personnel;E;13030; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C27;;;A2741;R01;Prêts aux collectivités et aux groupements;E;505481,47; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C23;;;A238;R91;Avances et acomptes versés sur commandes d immobilisations corporelles;E;95,12; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C23;;;A238;R221;Avances et acomptes versés sur commandes d immobilisations corporelles;E;7551,54; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C23;;;A238;R221;Avances et acomptes versés sur commandes d immobilisations corporelles;E;32253,76; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C23;;;A238;R11;Avances et acomptes versés sur commandes d immobilisations corporelles;E;17371,01; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C23;;;A23151;R621;Réseaux de voirie en cours;E;473374,67; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C23;;;A231351;R50;Installations générales, agencements, aménagements des bâtiments publics en cours;E;20579,28; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C23;;;A231313;R50;Constructions bâtiments sociaux et médico-sociaux en cours;E;20961,13; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C21;;;A21848;R0202;Autres matériels de bureau et mobiliers;E;12905,74; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C204;;;A2042;R93;Subventions d équipement versées aux personnes de droit privé;E;6085,25; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C204;;;A20414;R93;Subventions d équipement versées aux communes et structures intercommunales;E;50000; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C204;;;A20414;R61;Subventions d équipement versées aux communes et structures intercommunales;E;40843; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C16;;;A16449;R01;Opérations afférentes à l option de tirage sur ligne de trésorerie;E;2500000; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C16;;;A16441;R01;Opérations afférentes à l emprunt;E;37500000; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C13;;;A1345;R01;Produits des amendes de radars automatiques;E;268866; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C13;;;A1341;R01;DGE part rurale non transférable affectée à l équipement;E;81923; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C13;;;A1332;R221;DDEC transférable affectée à l équipement;E;1452498; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C13;;;A1328;R61;Autres subventions d équipement non transférables;E;2146299; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C13;;;A1324;R621;Subventions d équipement non transférables - Communes et structures intercommunales;E;51640; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C13;;;A1324;R621;Subventions d équipement non transférables - Communes et structures intercommunales;E;17000; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C13;;;A1322;R91;Subventions d équipement non transférables - Régions;E;12856,49; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C13;;;A1322;R621;Subventions d équipement non transférables - Régions;E;1887558,2; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C13;;;A1321;R621;Subventions d équipement non transférables - Etat et établissements nationaux;E;459702,07; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C13;;;A1318;R221;Autres subventions d équipement transférables;E;16000; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C13;;;A13172;R74;Subventions d équipement transférables - FEDER;E;239039,68; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C13;;;A1314;R821;Subventions d équipement transférables - Communes;E;9000; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C10;;;A1068;R01;Excédents de fonctionnement capitalisés;E;18363502,84; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C10;;;A10222;R01;F,C,T,V,A,;E;6931844,19; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OR;C10;;;A10221;R01;DGE 1ère part;E;160384; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OI;C041;;;A238,;R01;Avances et acomptes versés sur commandes d immobilisations corporelles;E;4047852,69; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OI;C041;;;A2317312,;R01;Bâtiments scolaires en cours reçus au titre d une mise à disposition;E;148311,37; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OI;C041;;;A217312,;R01;Bâtiments scolaires reçus au titre d une mise à disposition M,O,;E;3698652,85; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OI;C041;;;A2115,;R01;Terrains bâtis - MO;E;85697,42; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OI;C041;;;A2111,;R01;Terrains nus - MO;E;231149,2; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OI;C041;;;A2033,;R01;Frais d insertion M,O,;E;77518,09; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OI;C041;;;A2031,;R01;Frais d études - MO;E;509747,36; 
C410;B00;M52;2010;CA;20/06/2011;R;I;OE;C040;;;A28188;R01;Amortissement des autres immobilisations corporelles;E;77454,38; 
