Provenance;CODEZA;NOMZA;Dernière Mise à jour;Code Insee Commune Principale;Commune Principale;Propriétaire;Aménageur;Gestionnaire;Id_Intercommunalite;Intercommunalite;ANNEECREAT;Surface occupee Ha;Surface libre equipee Ha;Surface libre non equipee Ha;Surface des infrastructures Ha;Surface zone verte Ha;Surface Totale Ha;TxOccup;SurfaceDispo;SurfaceCommercialisable
OPENDATA41 - www.pilote41.fr;3;Parc d'Activités de Malakoff;26/3/2015 00:00:00;41009;Averdon;Agglopolys;;Agglopolys;200030385;Agglopolys - Communauté de l'agglomération de Blois;1993;7,39;0,00;4,47;0,88;0,00;12,76;62,28;4,47;11,87
OPENDATA41 - www.pilote41.fr;4;ZA de La Varenne;21/7/2015 00:00:00;41010;Azé;;La commune et CC du Pays de Vendôme;La commune et CC du Pays de Vendôme;244100251;Communauté de communes du Pays de Vendôme;1988;2,67;0,00;1,76;0,31;0,00;4,75;60,18;1,76;4,43
OPENDATA41 - www.pilote41.fr;8;Parc d'Activités Les Onze Arpents;20/3/2015 00:00:00;41018;Blois;3 Vals Aménagement;3 Vals Aménagement;Agglopolys;200030385;Agglopolys - Communauté de l'agglomération de Blois;1992;16,36;0,00;0,00;2,40;0,00;18,77;100,00;0,00;16,36
OPENDATA41 - www.pilote41.fr;9;Parc d'Activités Blois Nord-Villebarou;24/6/2015 00:00:00;41018;Blois;;Agglopolys;Agglopolys;200030385;Agglopolys - Communauté de l'agglomération de Blois;1959;317,67;0,00;0,00;41,56;0,63;359,86;100,00;0,00;317,67
OPENDATA41 - www.pilote41.fr;11;Parc d'Activités Duguesclin;20/3/2015 00:00:00;41018;Blois;Ville de Blois;Ville de Blois;Agglopolys;200030385;Agglopolys - Communauté de l'agglomération de Blois;1985;4,26;0,00;0,00;0,27;0,00;4,53;100,00;0,00;4,26
OPENDATA41 - www.pilote41.fr;13;Parc d'Activités des Grands Champs;20/3/2015 00:00:00;41018;Blois;Ville de Blois;Agglopolys;Agglopolys;200030385;Agglopolys - Communauté de l'agglomération de Blois;1989;28,93;0,00;0,00;1,78;1,23;31,96;100,00;0,00;28,93
OPENDATA41 - www.pilote41.fr;14;ZA des Guillons;22/4/2015 00:00:00;41020;Bonneveau;Commune / CC Vallées Loir et Braye;Commune / CC Vallées Loir et Braye;CC Vallées Loir et Braye;200040780;Communauté de communes Vallées Loir et Braye;1990;2,13;0,23;0,90;0,28;0,00;3,55;65,24;1,13;3,27
OPENDATA41 - www.pilote41.fr;15;ZAD des Granges Rouges;21/7/2015 00:00:00;41023;Bourré;La Mairie;CC du Cher à La Loire;CC du Cher à La Loire;244100764;Communauté de communes du Cher à la Loire;1985;15,10;0,00;2,90;0,46;0,00;18,47;83,88;2,90;18,00
OPENDATA41 - www.pilote41.fr;16;Zone Le Chêne;25/3/2015 00:00:00;41025;Bracieux;;;CC Grand Chambord;244100798;Communauté de communes du Grand Chambord;1993;6,37;1,84;0,00;0,54;0,00;8,76;77,50;1,84;8,22
OPENDATA41 - www.pilote41.fr;17;Zone Artisanale;20/3/2015 00:00:00;41028;Busloup;La commune;La commune;La commune;200040772;Communauté de communes du Perche et Haut-Vendômois;1965;4,24;0,00;0,00;0,19;0,00;4,44;100,00;0,00;4,24
