Année;Statut;Nombre
2010;Conseillers;26
2011;Conseillers;21
2012;Conseillers;25
2013;Conseillers;34
2014;Conseillers;36
2015;Conseillers;45
2016;Conseillers;49
2017;Conseillers;49
2010;Premiers conseillers;310
2011;Premiers conseillers;321
2012;Premiers conseillers;313
2013;Premiers conseillers;303
2014;Premiers conseillers;316
2015;Premiers conseillers;296
2016;Premiers conseillers;299
2017;Premiers conseillers;309
2010;Présidents de section;53
2011;Présidents de section;56
2012;Présidents de section;55
2013;Présidents de section;59
2014;Présidents de section;56
2015;Présidents de section;60
2016;Présidents de section;64
2017;Présidents de section;67
