Titre :;Grèce, Taux de chômage (CVS)
Code série :;STS.M.GR.S.UNEH.RTT000.4.000
Unité :;Pourcent (PC)
Magnitude :;Unités (0)
Méthode d'observation :;Moyenne de la période (A)
Source :;Eurostat (4D0)
Aoû 2020;16,79509
Jul 2020;16,979468
Jun 2020;17,507897
Mai 2020;17,730605
Avr 2020;15,673075
Mar 2020;15,585493
Fév 2020;15,948213
Jan 2020;16,14349
Déc 2019;16,373173
Nov 2019;16,667607
Oct 2019;16,707205
Sep 2019;16,891583
Aoû 2019;16,943243
Jul 2019;17,099713
Jun 2019;17,144731
Mai 2019;17,244569
Avr 2019;17,564963
Mar 2019;18,095045
Fév 2019;18,375675
Jan 2019;18,538355
Déc 2018;18,430347
Nov 2018;18,511392
Oct 2018;18,595107
Sep 2018;18,846228
Aoû 2018;19,031751
Jul 2018;19,165912
Jun 2018;19,32469
Mai 2018;19,459245
Avr 2018;19,817479
Mar 2018;20,059616
Fév 2018;20,469442
Jan 2018;20,428563
Déc 2017;20,825253
Nov 2017;20,930365
Oct 2017;21,007487
Sep 2017;20,938622
Aoû 2017;20,905801
Jul 2017;21,174934
Jun 2017;21,378718
Mai 2017;21,734438
Avr 2017;21,796567
Mar 2017;22,021134
Fév 2017;22,400637
Jan 2017;23,059024
Déc 2016;23,299369
Nov 2016;23,288046
Oct 2016;23,277928
Sep 2016;23,046853
Aoû 2016;23,451291
Jul 2016;23,517261
Jun 2016;23,499691
Mai 2016;23,596534
Avr 2016;23,566745
Mar 2016;23,788564
Fév 2016;23,774464
Jan 2016;24,282828
Déc 2015;24,043537
Nov 2015;24,288954
Oct 2015;24,58382
Sep 2015;24,817215
Aoû 2015;24,59979
Jul 2015;25,027472
Jun 2015;25,012852
Mai 2015;24,832201
Avr 2015;25,3049
Mar 2015;25,863198
Fév 2015;25,644471
Jan 2015;25,678265
Déc 2014;25,78977
Nov 2014;25,833127
Oct 2014;26,010619
Sep 2014;26,118255
Aoû 2014;26,31242
Jul 2014;26,376335
Jun 2014;26,705576
Mai 2014;27,025975
Avr 2014;27,08139
Mar 2014;26,993845
Fév 2014;27,093082
Jan 2014;27,007342
Déc 2013;27,471106
Nov 2013;27,678788
Oct 2013;27,631617
Sep 2013;27,813718
Aoû 2013;27,779389
Jul 2013;27,872936
Jun 2013;27,712659
Mai 2013;27,810959
Avr 2013;27,548186
Mar 2013;27,150305
Fév 2013;26,808246
Jan 2013;26,659944
Déc 2012;26,348354
Nov 2012;26,409889
Oct 2012;25,969099
Sep 2012;25,996079
Aoû 2012;25,603794
Jul 2012;25,166668
Jun 2012;24,856446
Mai 2012;24,08146
Avr 2012;23,440011
Mar 2012;22,764225
Fév 2012;22,186122
Jan 2012;21,459118
Déc 2011;21,194303
Nov 2011;20,583606
Oct 2011;20,15452
Sep 2011;19,141972
Aoû 2011;18,675701
Jul 2011;17,839567
Jun 2011;17,294407
Mai 2011;16,920239
Avr 2011;16,451688
Mar 2011;16,046708
Fév 2011;15,395312
Jan 2011;15,038457
Déc 2010;14,636158
Nov 2010;14,181612
Oct 2010;13,920254
Sep 2010;13,422283
Aoû 2010;12,99486
Jul 2010;12,784037
Jun 2010;12,560449
Mai 2010;12,262135
Avr 2010;11,922496
Mar 2010;11,602722
Fév 2010;11,321882
Jan 2010;10,971595
Déc 2009;10,596514
Nov 2009;10,472639
Oct 2009;10,188187
Sep 2009;10,030361
Aoû 2009;9,822034
Jul 2009;9,753853
Jun 2009;9,470281
Mai 2009;9,292796
Avr 2009;9,205309
Mar 2009;9,058322
Fév 2009;9,006508
Jan 2009;8,947402
Déc 2008;8,352875
Nov 2008;7,949549
Oct 2008;7,707153
Sep 2008;7,667108
Aoû 2008;7,725139
Jul 2008;7,617823
Jun 2008;7,526396
Mai 2008;7,376142
Avr 2008;7,897138
Mar 2008;8,118355
Fév 2008;7,927032
Jan 2008;7,714049
Déc 2007;7,956654
Nov 2007;7,986913
Oct 2007;8,215397
Sep 2007;8,319249
Aoû 2007;8,368567
Jul 2007;8,306797
Jun 2007;8,36709
Mai 2007;8,440306
Avr 2007;8,542307
Mar 2007;8,821663
Fév 2007;8,754035
Jan 2007;8,737949
Déc 2006;8,8772
Nov 2006;8,906801
Oct 2006;8,562699
Sep 2006;8,687989
Aoû 2006;8,773541
Jul 2006;8,853543
Jun 2006;9,00104
Mai 2006;9,065
Avr 2006;9,207191
Mar 2006;9,223356
Fév 2006;9,42374
Jan 2006;9,417322
Déc 2005;9,579205
Nov 2005;9,692584
Oct 2005;10,023308
Sep 2005;10,172164
Aoû 2005;10,202436
Jul 2005;10,177793
Jun 2005;10,097812
Mai 2005;10,048124
Avr 2005;10,029813
Mar 2005;10,065915
Fév 2005;9,982769
Jan 2005;10,130384
Déc 2004;10,283944
Nov 2004;10,370987
Oct 2004;10,38527
Sep 2004;10,467074
Aoû 2004;10,532731
Jul 2004;10,596998
Jun 2004;10,563882
Mai 2004;10,617764
Avr 2004;10,602276
Mar 2004;10,750147
Fév 2004;10,795762
Jan 2004;11,027606
Déc 2003;9,875559
Nov 2003;9,8546
Oct 2003;9,85006
Sep 2003;9,695849
Aoû 2003;9,682765
Jul 2003;9,693259
Jun 2003;9,701941
Mai 2003;9,698537
Avr 2003;9,728377
Mar 2003;9,691596
Fév 2003;9,723501
Jan 2003;9,795936
Déc 2002;9,967149
Nov 2002;9,993179
Oct 2002;10,01398
Sep 2002;10,215247
Aoû 2002;10,241952
Jul 2002;10,276646
Jun 2002;10,273112
Mai 2002;10,316506
Avr 2002;10,342134
Mar 2002;10,673594
Fév 2002;10,709574
Jan 2002;10,735527
Déc 2001;10,834372
Nov 2001;10,870807
Oct 2001;10,911949
Sep 2001;10,591394
Aoû 2001;10,630999
Jul 2001;10,670516
Jun 2001;10,664183
Mai 2001;10,682407
Avr 2001;10,727578
Mar 2001;10,496115
Fév 2001;10,510352
Jan 2001;10,513192
Déc 2000;10,64848
Nov 2000;10,658044
Oct 2000;10,626841
Sep 2000;11,204478
Aoû 2000;11,249331
Jul 2000;11,286667
Jun 2000;11,408376
Mai 2000;11,465513
Avr 2000;11,514086
Mar 2000;11,561236
Fév 2000;11,57725
Jan 2000;11,518004
Déc 1999;12,331218
Nov 1999;12,368309
Oct 1999;12,281646
Sep 1999;12,041978
Aoû 1999;12,067203
Jul 1999;12,040708
Jun 1999;11,975737
Mai 1999;12,025692
Avr 1999;12,061709
Mar 1999;11,432914
Fév 1999;11,447676
Jan 1999;11,352814
Déc 1998;11,37122
Nov 1998;11,413829
Oct 1998;11,084215
Sep 1998;11,130168
Aoû 1998;11,16647
Jul 1998;11,027255
Jun 1998;10,909257
Mai 1998;10,96086
Avr 1998;10,944729
