"DOTATION FORFAITAIRE ",,,,
2011,2012,2013,2014,2015
"138 994,00 €","135 435,00 €","138 127,00 €","129 961,00 €","121 080,00 €"
,"-0,03%","0,02%","-0,06%","-0,07%"
"DOTATION SOLIDARITE RURALE ",,,,
2011,2012,2013,2014,2015
"46 558,00 €","48 737,00 €","63 599,00 €","60 145,00 €","58 809,00 €"
,"0,05%","0,30%","-0,05%","-0,02%"
"DOTATION NATIONALE PEREQUATION",,,,
2011,2012,2013,2014,2015
"18 776,00 €","17 188,00 €","20 625,00 €","24 750,00 €","13 001,00 €"
,"-0,08%","0,20%","0,20%","-0,47%"
"DOTATION ELU LOCAL",,,,
2011,2012,2013,2014,2015
"2 793,00 €","2 734,00 €","2 797,00 €","2 799,00 €","2 812,00 €"
,"-0,02%","0,02%","0,00%","0,00%"
"Total ","Total ","Total ","Total ","Total "
"207 121,00 €","204 094,00 €","225 148,00 €","217 655,00 €","195 702,00 €"
,"-0,01%","0,10%","-0,03%","-0,10%"
,,,,
"FPIC ",,,,
2011,2012,2013,2014,2015
"nc","1 516,00 €","4 159,00 €","-4 199,00 €","-9 697,00 €"
