Thématique,Visites,"Pages vues","Pages vues / visites","Temps passé / visites"
-,782963,1372502,1.75,287.86
"Etat et collectivites territoriales",45385,98995,2.18,456.00
"Jeunesse et Education",39775,78178,1.97,579.71
"Emploi et Travail",26048,55313,2.12,536.59
"Sante et Affaires sociales",25499,51080,2.00,519.27
Economie,21419,44447,2.08,544.26
"Societe et Politique de la ville",17312,33012,1.91,555.72
"Agriculture et Developpement durable",10379,23909,2.30,566.68
"Securite et Justice",10376,23744,2.29,633.91
"Europe et Monde",946,6017,6.36,973.62
