Les clichés les plus détectés;;;;
Rang;Cliché;Nb;Code cliché;Notes
1;la cerise sur le gâteau;1018;cerise;
2;le vent en poupe;697;poupe;
3;grincer des dents;674;grincer;
4;la cour des grands;511;cour;
5;un pavé dans la mare;419;pavé;
6;la croisée des chemins;380;chemins;
7;caracoler en tête;373;caracole;
8;l'ironie de l'histoire;362;ironie;
9;revoir sa copie;326;copie;
10;attendu au tournant;305;tournant;
11;ne connaît pas la crise;235;connaissent;
12;la balle est dans le camp;207;balle;
13;botte en touche;203;botte;
14;la partie émergée de l'iceberg;125;iceberg;
15;renverser la vapeur;90;vapeur;ajouté le 5 octobre
16;les quatre coins de l'Hexagone;87;hexagone;
17;à qui profite le crime;78;crime;
18;s'enfoncer dans la crise;69;enfoncer;
19;le risque zéro n'existe pas;50;zéro;ajouté le 16 février
20;une affaire à suivre;26;affaire;
21;ces images ont fait le tour monde;14;images;ajouté en janvier
