SITE;APPLICATION;ANNEE;MOIS;PREMIERE_VISITE;DERNIERE_VISITE;NB_VISITEURS;NB_VISITE;MOY_VISITEURS_VISITE;PAGES;MOY_PAGES_VISITE;HITS;MOY_HITS_VISITE;VOL_BANDEPASSANTE;MOY_BANDEPASSANTE_VISITE
acces.agriculture.gouv.fr;;2014;Août;01 Aug 2014 - 10:23;31 Aug 2014 - 13:44;20;44;2,20;377;8,57;4508;102,45;6,18;143,75
acces.agriculture.gouv.fr;;2014;Avril;01 Apr 2014 - 00:00;30 Apr 2014 - 23:59;389;3462;8,90;167607;48,41;187750;54,23;1251,39;370,14
acces.agriculture.gouv.fr;;2014;Février;01 Feb 2014 - 00:00;28 Feb 2014 - 23:58;29405;71669;2,44;2867868;40,02;7729150;107,85;181322,64;2590,72
acces.agriculture.gouv.fr;;2014;Janvier;01 Jan 2014 - 00:00;31 Jan 2014 - 23:59;24413;64067;2,62;3166195;49,42;9036911;141,05;167382,32;2675,32
acces.agriculture.gouv.fr;;2014;Juillet;01 Jul 2014 - 07:54;31 Jul 2014 - 19:27;30;71;2,37;414;5,83;4940;69,58;6,48;93,45
acces.agriculture.gouv.fr;;2014;Juin;01 Jun 2014 - 20:52;29 Jun 2014 - 11:42;26;94;3,62;541;5,76;7684;81,74;26,36;287,11
acces.agriculture.gouv.fr;;2014;Mai;01 May 2014 - 00:11;31 May 2014 - 14:59;108;402;3,72;4882;12,14;13906;34,59;16,63;42,35
acces.agriculture.gouv.fr;;2014;Mars;01 Mar 2014 - 00:00;31 Mar 2014 - 23:59;15108;37812;2,50;1616939;42,76;3879647;102,60;71667,32;1940,85
acces.agriculture.gouv.fr;;2014;Novembre;NA;29 Nov 2014 - 19:27;26;83;3,19;860;10,36;5276;63,57;7,06;87,16
acces.agriculture.gouv.fr;;2014;Octobre;01 Oct 2014 - 07:59;31 Oct 2014 - 10:23;34;95;2,79;566;5,96;5730;60,32;12,07;130,13
acces.agriculture.gouv.fr;;2014;Septembre;01 Sep 2014 - 07:57;30 Sep 2014 - 20:18;29;107;3,69;524;4,90;6138;57,36;8,98;85,93
acces.agriculture.gouv.fr_SI-Epidemio;SI-Epidemio;2014;Octobre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_TeleRuchers;TeleRuchers;2014;Août;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_TeleRuchers;TeleRuchers;2014;Avril;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_TeleRuchers;TeleRuchers;2014;Février;01 Feb 2014 - 00:34;28 Feb 2014 - 23:05;1327;1934;1,46;42363;21,90;489410;253,06;5488,61;2906,07
acces.agriculture.gouv.fr_TeleRuchers;TeleRuchers;2014;Janvier;01 Jan 2014 - 00:46;31 Jan 2014 - 23:28;2840;3694;1,30;63412;17,17;770387;208,55;8948,11;2480,47
acces.agriculture.gouv.fr_TeleRuchers;TeleRuchers;2014;Juillet;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_TeleRuchers;TeleRuchers;2014;Juin;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_TeleRuchers;TeleRuchers;2014;Mai;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_TeleRuchers;TeleRuchers;2014;Mars;01 Mar 2014 - 07:45;28 Mar 2014 - 11:28;924;1376;1,49;26964;19,60;294592;214,09;3563,60;2651,98
acces.agriculture.gouv.fr_TeleRuchers;TeleRuchers;2014;Novembre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_TeleRuchers;TeleRuchers;2014;Octobre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_TeleRuchers;TeleRuchers;2014;Septembre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_Vivants;Vivants;2014;Août;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_Vivants;Vivants;2014;Avril;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_Vivants;Vivants;2014;Février;NA;27 Feb 2014 - 12:07;1;1;1,00;1;1,00;107;107,00;0,21;213,00
acces.agriculture.gouv.fr_Vivants;Vivants;2014;Janvier;14 Jan 2014 - 09:00;31 Jan 2014 - 18:31;3;3;1,00;13;4,33;229;76,33;1,29;438,67
acces.agriculture.gouv.fr_Vivants;Vivants;2014;Mars;NA;28 Mar 2014 - 11:06;6;7;1,17;8;1,14;959;137,00;3,22;471,43
acces.agriculture.gouv.fr_alexia;alexia;2014;Août;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_alexia;alexia;2014;Avril;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_alexia;alexia;2014;Février;NA;28 Feb 2014 - 16:01;63;121;1,92;3650;30,17;11128;91,97;341,14;2887,04
acces.agriculture.gouv.fr_alexia;alexia;2014;Janvier;02 Jan 2014 - 09:01;31 Jan 2014 - 18:16;75;130;1,73;2292;17,63;12517;96,28;276,43;2177,44
acces.agriculture.gouv.fr_alexia;alexia;2014;Juillet;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_alexia;alexia;2014;Juin;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_alexia;alexia;2014;Mai;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_alexia;alexia;2014;Mars;NA;10 Mar 2014 - 11:21;20;34;1,70;728;21,41;2271;66,79;45,94;1383,68
acces.agriculture.gouv.fr_alexia;alexia;2014;Novembre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_alexia;alexia;2014;Octobre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_alexia;alexia;2014;Septembre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_cartostat;cartostat;2014;Août;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_cartostat;cartostat;2014;Avril;01 Apr 2014 - 07:20;03 Apr 2014 - 12:04;103;114;1,11;1169;10,25;2398;21,04;100,27;900,70
acces.agriculture.gouv.fr_cartostat;cartostat;2014;Février;01 Feb 2014 - 00:00;28 Feb 2014 - 19:46;1274;1873;1,47;44670;23,85;98174;52,42;3335,20;1823,41
acces.agriculture.gouv.fr_cartostat;cartostat;2014;Janvier;01 Jan 2014 - 13:48;31 Jan 2014 - 23:59;1338;2008;1,50;42348;21,09;95190;47,41;3182,26;1622,82
acces.agriculture.gouv.fr_cartostat;cartostat;2014;Juillet;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_cartostat;cartostat;2014;Juin;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_cartostat;cartostat;2014;Mai;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_cartostat;cartostat;2014;Mars;01 Mar 2014 - 00:38;31 Mar 2014 - 21:27;1196;1849;1,55;41805;22,61;82741;44,75;2662,78;1474,68
acces.agriculture.gouv.fr_cartostat;cartostat;2014;Novembre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_cartostat;cartostat;2014;Octobre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_cartostat;cartostat;2014;Septembre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_cascade;cascade;2014;Août;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_cascade;cascade;2014;Avril;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_cascade;cascade;2014;Février;01 Feb 2014 - 19:29;27 Feb 2014 - 10:02;84;1120;13,33;247713;221,17;762263;680,59;18292,72;16724,78
acces.agriculture.gouv.fr_cascade;cascade;2014;Janvier;NA;31 Jan 2014 - 21:36;92;1204;13,09;408104;338,96;1078388;895,67;22298,47;18964,81
acces.agriculture.gouv.fr_cascade;cascade;2014;Juillet;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_cascade;cascade;2014;Juin;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_cascade;cascade;2014;Mai;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_cascade;cascade;2014;Mars;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_cascade;cascade;2014;Novembre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_cascade;cascade;2014;Octobre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_cascade;cascade;2014;Septembre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_choral;choral;2014;Août;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_choral;choral;2014;Avril;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_choral;choral;2014;Février;03 Feb 2014 - 08:10;28 Feb 2014 - 17:11;22;62;2,82;14897;240,27;51682;833,58;943,80;15587,84
acces.agriculture.gouv.fr_choral;choral;2014;Janvier;NA;31 Jan 2014 - 17:58;19;40;2,11;7438;185,95;25979;649,48;477,36;12220,45
acces.agriculture.gouv.fr_choral;choral;2014;Juillet;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_choral;choral;2014;Juin;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_choral;choral;2014;Mai;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_choral;choral;2014;Mars;03 Mar 2014 - 09:02;28 Mar 2014 - 11:27;13;70;5,38;8749;124,99;34360;490,86;575,17;8413,96
acces.agriculture.gouv.fr_choral;choral;2014;Novembre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_choral;choral;2014;Octobre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_choral;choral;2014;Septembre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_darwin;darwin;2014;Août;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_darwin;darwin;2014;Avril;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
acces.agriculture.gouv.fr_darwin;darwin;2014;Février;01 Feb 2014 - 00:20;28 Feb 2014 - 19:26;35;117;3,34;11119;95,03;24345;208,08;1157,26;10128,49
