Caf;Nombre d'allocataires utilisateurs des BIW en 2011
CAF de l'Ain;19170
CAF de L'Aisne;38685
CAF de l'Allier;15449
CAF des Alpes de Haute-Provence;7104
CAF des Hautes-Alpes;5133
CAF des Alpes-Maritimes;124651
CAF de L'Ardèche;7942
CAF des Ardennes;25604
CAF de l'Ariège;6660
CAF de l'Aube;15941
CAF de l'Aude;36320
CAF de l'Aveyron;6033
CAF des Bouches-Du-Rhône;356691
CAF du Calvados;38377
CAF du Cantal;4339
CAF de la Charente;22110
CAF de la Rochelle;13918
Caisse Maritime D'AF;0
CAF du Cher;23054
CAF de la Correze;6086
CAF de Corse du Sud;6244
CAF de la Haute-Corse;5241
CAF de la Côte d'Or;7120
CAF des Côtes d'Armor;26904
CAF de la Creuse;581
CAF de la Dordogne;13180
CAF du Doubs;34652
CAF de la Drome;14790
CAF de l'Eure;42973
CAF de l'Eure-et-Loir;19472
CAF du Finistère;30568
CAF du Gard;78648
CAF de la Haute-Garonne;129553
CAF du Gers;6836
CAF de la Gironde;72467
CAF de L'Hérault;158041
CAF de l'Ille-et-Vilaine;68156
CAF de l'Indre;7016
CAF Touraine;22319
CAF de L'Isère;103355
CAF du Jura;4316
CAF des Landes;7182
CAF de Loir-et-Cher;12573
CAF de la Loire;59618
CAF de la Haute-Loire;4376
CAF de Loire-Atlantique;47587
CAF du Loiret;21182
CAF du Lot;4847
CAF de Lot-et-Garonne;9131
CAF de la Lozere;970
CAF de Maine-et-Loire;27276
CAF de la Manche;12468
CAF de la Marne;52618
CAF de la Haute-Marne;10650
CAF de la Mayenne;9045
CAF de la Meurthe-et-Moselle;33495
CAF de la Meuse;2624
CAF du Morbihan;8665
CAF de la Moselle;25173
CAF de la Nièvre;9602
CAF du Nord;414308
CAF de l'Oise;58663
CAF de l'Orne;17203
CAF du Pas de Calais;213841
CAF du Puy-de-Dôme;13774
CAF du Pays Basque et Seignanx;14258
CAF du Béarn et de la Soule;5244
CAF des Hautes-Pyrénées;14107
CAF des Pyrénées-Orientales;32297
CAF du Bas-Rhin;81654
CAF du Haut-Rhin;30012
CAF du Rhône;140115
CAF de la Haute-Saône;1490
CAF de la Saône-et-Loire;22159
CAF de la Sarthe;22578
CAF de la Savoie;10513
CAF de la Haute Savoie;10692
CAF de Paris;235752
CAF de Seine Maritime;94142
CAF de Seine-et-Marne;64144
CAF des Yvelines;46662
CAF des Deux-Sèvres;4139
CAF de la Somme;61116
CAF du Tarn;19001
CAF de Tarn-et-Garonne;12974
CAF du Var;95225
CAF du Vaucluse;52066
CAF de la Vendée;11819
CAF de la Vienne;18262
CAF de la Haute-Vienne;11520
CAF des Vosges;11273
CAF de l'Yonne;13866
CAF du Territoire de Belfort;11902
CAF de l'Essonne;112213
CAF des Hauts-de-Seine;80702
CAF de Seine-Saint-Denis;217683
CAF du Val-de-Marne;77180
CAF du Val d'Oise;97303
CAF de la Guadeloupe;127573
CAF de la Martinique;88301
CAF de la Guyane;117789
CAF de la Réunion;261734
