Identifiant,Département,Arrêté de limitation de la quantité de plein,Arrêté d'interdiction de stockage de carburant dans des bidons
14,Calvados,NON,OUI
18,Cher,OUI,OUI
22,Côtes-d'Armor,OUI,OUI
27,Eure,OUI,OUI
29,Finistère,OUI,OUI
35,Ile-et-Vilaine,OUI,OUI
41,Loir-et-Cher,NON,OUI
44,Loire-Atlantique,OUI,NON
50,Manche,NON,OUI
53,Mayenne,OUI,OUI
56,Morbihan,NON,OUI
59,Nord,NON,OUI
61,Orne,OUI,OUI
62,Pas-de-Calais,NON,OUI
72,Sarthe,NON,OUI
76,Seine-Maritime,NON,OUI
80,Somme,NON,OUI
85,Vendée,OUI,OUI
,,,
,"(Mise à jour 20 mai 2016, 21h00) Source Ouest-France",,
