IV - ANNEXES;;IV
ELEMENTS DU BILAN;;A7.2.2
ETAT DE VENTILATION DES DEPENSES ET RECETTES DES SERVICES ASSUJETTIS A LA TVA - SECTION D'INVESTISSEMENT;;
(Article R.2313-3 du CGCT - Services assujettis sans faire l'objet d'un budget distinct du budget général) (1);;
A7.2.2 - SECTION D'INVESTISSEMENT - DEPENSES;;
DEPENSES - MANDATS EMIS;;
Article (2);Libellé (2);Montant
Opérations d'équipement n°...(1 ligne par opé.);;
Opé. c/ de tiers n°...(1 ligne par opé.);;
Total des dépenses réelles;;
Total des dépenses d'ordre;;
TOTAL GENERAL;;
;;
A7.2.2 - SECTION D'INVESTISSEMENT - RECETTES;;
RECETTES - TITRES EMIS;;
Article (2);Libellé (2);Montant
Opé. c/ de tiers n°...(1 ligne par opé.);;
Total des recettes réelles;;
Total des recettes d'ordre;;
TOTAL GENERAL;;
;;
(1) Compléter par le nom du service assujetti à la TVA.;;
(2) Détailler les chapitres budgétaires par article conformément au plan de comptes appliqué par le service.;;
