Années;Hospitaliers;;Territoriaux;;Total;
;Montants;n/n-1;Montants;n/n-1;Montants;n/n-1
1991;13 343,50 €; -;13 041,20 €; -;13 191,50 €; -
1992;14 170,00 €;6,20%;13 651,60 €;4,70%;13 902,10 €;5,40%
1993;14 745,60 €;4,10%;14 297,10 €;4,70%;14 517,00 €;4,40%
1994;15 519,80 €;5,30%;14 682,40 €;2,70%;15 079,70 €;3,90%
1995;15 982,40 €;3,00%;15 193,40 €;3,50%;15 566,00 €;3,20%
1996;16 279,10 €;1,90%;15 580,70 €;2,50%;15 910,00 €;2,20%
1997;16 494,00 €;1,30%;15 769,10 €;1,20%;16 109,30 €;1,30%
1998;16 809,70 €;1,90%;16 111,90 €;2,20%;16 435,90 €;2,00%
1999;17 178,00 €;2,20%;16 445,30 €;2,10%;16 777,00 €;2,10%
2000;17 478,60 €;1,70%;16 711,00 €;1,60%;17 035,40 €;1,50%
2001;17 884,60 €;2,30%;16 831,80 €;0,70%;17 274,10 €;1,40%
2002;18 417,80 €;3,00%;17 333,80 €;3,00%;17 806,10 €;3,10%
2003;18 957,40 €;2,90%;17 741,70 €;2,40%;18 267,40 €;2,60%
2004;19 278,90 €;1,70%;17 992,50 €;1,40%;18 550,90 €;1,60%
2005;19 655,40 €;2,00%;18 386,40 €;2,20%;18 933,00 €;2,10%
2006;20 191,80 €;2,70%;18 878,90 €;2,70%;19 436,30 €;2,70%
2007;20 621,40 €;2,10%;19 329,80 €;2,40%;19 860,00 €;2,20%
2008;20 925,20 €;1,50%;19 612,40 €;1,50%;20 134,20 €;1,40%
2009;21 250,30 €;1,60%;19 939,20 €;1,70%;20 452,90 €;1,60%
2010;21 495,80 €;1,20%;20 178,70 €;1,20%;20 690,40 €;1,20%
2011;21 780,90 €;1,30%;20 364,00 €;0,90%;20 909,70 €;1,10%
2012;21 986,50 €;0,90%;20 664,10 €;1,50%;21 169,70 €;1,20%
2013;22 119,80 €;0,60%;20 903,00 €;1,20%;21 364,20 €;0,90%
2014;22 397,60 €;1,30%;21 253,00 €;1,70%;21 686,40 €;1,50%
2015;22 726,60 €;1,50%;21 680,90 €;2,00%;22 075,40 €;1,80%
