Section;Sens;Sous Rubrique (Code);Chapitre (Code);Total budgété (Statistiques);Montant mandaté (Statistiques)
F;;;;0;0
;D;;;0;0
;; ;002;0,00;0,00
;; ;011;6 500,00;0,00
;; ;012;0,00;0,00
;; ;023;0,00;0,00
;; ;042;5 777,00;5 776,20
;; ;65;100,00;0,00
;; ;67;0,00;0,00
;R;;;0;0
;; ;002;20 537,83;20 537,83
;; ;042;4 283,00;4 283,00
;; ;74;8 094,00;0,00
;; ;75;0,00;0,00
;; ;77;0,00;0,00
I;;;;0;0
;D;;;0;0
;; ;001;0,00;0,00
;; ;040;4 283,00;4 283,00
;; ;13;0,00;0,00
;; ;21;12 000,00;0,00
;; ;23;0,00;0,00
;R;;;0;0
;; ;001;25 425,60;25 425,60
;; ;021;0,00;0,00
;; ;040;5 777,00;5 776,20
;; ;10;0,00;0,00
;; ;13;0,00;0,00
