Section;Sens;Sous Rubrique (Code);Chapitre (Code);Total budgété (Statistiques);Montant mandaté (Statistiques)
F;;;;0;0
;D;;;0;0
;; ;002;0,00;0,00
;; ;011;27 500,00;23 111,39
;; ;023;18 380,00;0,00
;; ;042;2 120,00;2 120,00
;; ;65;0,00;0,00
;; ;67;0,00;0,00
;R;;;0;0
;; ;002;135 425,90;135 425,90
;; ;72;0,00;0,00
;; ;75;48 000,00;46 533,31
;; ;77;0,00;0,00
I;;;;0;0
;D;;;0;0
;; ;001;0,00;0,00
;; ;10;0,00;0,00
;; ;20;5 500,00;0,00
;; ;21;15 000,00;0,00
;R;;;0;0
;; ;001;15 965,00;15 965,00
;; ;021;18 380,00;0,00
;; ;040;2 120,00;2 120,00
;; ;10;0,00;0,00
;; ;13;0,00;0,00
