Section;Sens;Sous Rubrique (Code);Chapitre (Code);Total budgété (Statistiques);Montant mandaté (Statistiques)
F;;;;0;0
;D;;;0;0
;; ;011;2 857 300,00;2 638 250,01
;; ;012;90 000,00;75 688,14
;; ;014;14 000,00;771,00
;; ;023;0,00;0,00
;; ;042;57 634,00;57 634,00
;; ;65;237,00;0,00
;; ;66;10 300,00;10 300,00
;; ;67;550,00;456,00
;R;;;0;0
;; ;002;693 754,24;693 754,24
;; ;73;1 700 000,00;1 793 357,02
;; ;74;1 012 351,00;1 013 400,60
;; ;75;3 000,00;0,00
;; ;77;0,00;0,00
I;;;;0;0
;D;;;0;0
;; ;040;0,00;0,00
;; ;13;0,00;0,00
;; ;16;30 000,00;30 000,00
;; ;20;1 620,00;1 080,00
;; ;21;382 861,37;7 307,63
;; ;23;0,00;0,00
;R;;;0;0
;; ;001;563 559,29;563 559,29
;; ;021;0,00;0,00
;; ;040;57 634,00;57 634,00
;; ;10;59 000,00;0,00
;; ;13;0,00;0,00
;; ;16;0,00;0,00
