Code,Communes,nb d'équipements - 2014,nb d'équipements - Hypermarché - 2014,nb d'équipements - Supermarché - 2014,nb d'équipements - Grande surface de bricolage - 2014,nb d'équipements - Épicerie - 2014,nb d'équipements - Boulangerie - 2014,nb d'équipements - Poissonnerie - 2014,nb d'équipements - Magasin de vêtements - 2014,nb d'équipements - Droguerie quincaillerie bricolage - 2014,nb d'équipements - Magasin de meubles - 2014,taux d'équipement - A. Grandes surfaces - 2014 (pour 1000 hab.),taux d'équipement - Station service - 2014 (pour 1000 hab.)
33001,Abzac,6,0,0,0,0,3,0,1,0,1,0,0
33002,Aillas,2,0,0,0,1,0,0,0,1,0,0,0
33003,Ambarès-et-Lagrave,44,0,2,3,3,9,0,3,4,2,"0,4","0,1"
33004,Ambès,6,0,0,0,0,2,0,1,0,0,0,0
33005,Andernos-les-Bains,137,0,2,4,3,12,5,47,5,2,"0,5","0,3"
33006,Anglade,3,0,0,0,1,1,0,0,0,0,0,0
33007,Arbanats,0,0,0,0,0,0,0,0,0,0,0,0
33008,Arbis,1,0,0,0,1,0,0,0,0,0,0,0
33009,Arcachon,288,0,3,0,12,28,7,120,1,7,"0,3","0,2"
33010,Arcins,1,0,0,0,0,0,0,1,0,0,0,0
33011,Arès,33,1,2,1,0,4,2,3,1,2,"0,7","0,2"
33012,Arsac,12,0,0,1,0,3,0,0,2,0,"0,3","0,3"
33013,Artigues-près-Bordeaux,45,0,2,3,0,3,1,4,6,7,"0,7","0,4"
33014,Les Artigues-de-Lussac,4,0,0,0,1,1,1,0,0,0,0,0
33015,Arveyres,12,0,0,1,1,3,0,0,1,2,"0,5","0,5"
33016,Asques,0,0,0,0,0,0,0,0,0,0,0,0
33017,Aubiac,0,0,0,0,0,0,0,0,0,0,0,0
33018,Aubie-et-Espessas,1,0,0,0,0,1,0,0,0,0,0,0
33019,Audenge,26,0,2,0,1,4,1,3,0,1,"0,3","0,2"
33020,Auriolles,0,0,0,0,0,0,0,0,0,0,0,0
33021,Auros,11,0,0,0,2,1,0,4,0,0,0,0
33022,Avensan,9,0,2,1,1,1,0,1,1,0,"1,2","0,4"
33023,Ayguemorte-les-Graves,1,0,0,0,0,0,0,0,0,0,0,0
33024,Bagas,0,0,0,0,0,0,0,0,0,0,0,0
33025,Baigneaux,0,0,0,0,0,0,0,0,0,0,0,0
33026,Balizac,0,0,0,0,0,0,0,0,0,0,0,0
33027,Barie,2,0,0,0,0,0,0,0,1,0,0,0
33028,Baron,2,0,0,0,0,0,0,0,1,0,0,0
33029,Le Barp,18,0,2,1,0,1,0,1,1,1,"0,6","0,2"
33030,Barsac,6,0,0,0,2,1,0,1,0,0,0,0
33031,Bassanne,0,0,0,0,0,0,0,0,0,0,0,0
33032,Bassens,12,0,2,0,1,2,0,0,0,0,"0,3","0,1"
33033,Baurech,1,0,0,0,0,0,0,0,0,0,0,0
33034,Bayas,1,0,0,0,0,0,0,0,0,0,0,0
33035,Bayon-sur-Gironde,1,0,0,0,0,0,0,0,0,0,0,0
33036,Bazas,46,0,4,1,1,7,1,8,1,3,"1,1","0,6"
33037,Beautiran,10,0,1,1,0,2,0,1,0,0,"0,9","0,5"
33038,Bégadan,2,0,0,0,1,1,0,0,0,0,0,0
