STATION_NOM,POLLUANT_NOM,DATE_MESURE,MESURE_J01,MESURE_J02,MESURE_J03,MESURE_J04,MESURE_J05,MESURE_J06,MESURE_J07,MESURE_J08,MESURE_J09,MESURE_J10,MESURE_J11,MESURE_J12,MESURE_J13,MESURE_J14,MESURE_J15,MESURE_J16,MESURE_J17,MESURE_J18,MESURE_J19,MESURE_J20,MESURE_J21,MESURE_J22,MESURE_J23,MESURE_J24,MESURE_J25,MESURE_J26,MESURE_J27,MESURE_J28,MESURE_J29,MESURE_J30,MESURE_J31,MES_J_MINI,MES_J_MAXI,MOYENNE_JOUR
Bordeaux - Grand Parc,O3,2012-01-01,41,52,38,49,69,35,27,51,32,15,5,5,12,7,35,16,9,8,32,60,60,55,44,48,34,34,15,31,40,28,34,5,69,33
Bordeaux - Grand Parc,O3,2012-02-01,39,39,36,45,54,47,52,30,38,35,60,61,32,38,40,37,30,36,59,38,33,21,25,20,31,42,42,31,31,,,20,61,39
Bordeaux - Grand Parc,O3,2012-03-01,30,37,62,54,61,,,,,,,,,,,,,,,,,,,,,,,,,,,30,62,49
Bordeaux - Grand Parc,O3,2012-04-01,,,,,,,,,,,65,72,57,66,79,87,68,84,85,81,86,82,82,88,71,72,74,39,87,58,,39,88,74
Bordeaux - Grand Parc,O3,2012-05-01,66,63,80,72,83,91,68,60,56,75,69,81,95,88,90,80,92,81,65,76,69,66,59,79,93,82,77,75,89,89,84,56,95,77
Bordeaux - Grand Parc,O3,2012-06-01,70,84,76,70,70,62,70,71,71,59,59,66,53,80,84,68,75,81,37,61,75,63,71,72,32,33,58,65,61,73,,32,84,66
Bordeaux - Grand Parc,O3,2012-07-01,68,58,78,47,54,47,59,66,60,55,69,61,57,56,57,50,63,69,44,45,53,69,74,93,113,101,108,89,64,53,55,44,113,66
Bordeaux - Grand Parc,O3,2012-08-01,61,54,42,54,50,41,53,75,88,81,81,54,54,71,71,68,87,97,74,71,65,76,89,75,66,59,79,67,55,62,75,41,97,68
Bordeaux - Grand Parc,O3,2012-09-01,74,65,62,68,86,87,80,88,100,87,62,66,64,58,63,64,59,44,62,66,78,56,58,78,61,59,54,46,62,62,,44,100,67
Bordeaux - Grand Parc,O3,2012-10-01,45,30,42,46,34,38,45,30,32,19,36,50,43,55,40,31,36,24,29,34,20,29,15,28,21,24,52,48,31,29,19,15,55,34
Bordeaux - Grand Parc,O3,2012-11-01,57,49,32,41,42,44,15,23,18,40,38,14,13,13,11,12,24,22,24,13,32,20,15,41,42,38,25,29,38,12,,11,57,28
Bordeaux - Grand Parc,O3,2012-12-01,23,25,60,65,51,27,37,40,11,2,7,21,20,42,65,63,62,37,14,36,26,20,17,21,45,37,59,35,49,56,42,2,65,36
Bordeaux - Grand Parc,O3,2013-01-01,60,36,9,26,36,24,16,5,18,34,28,34,40,31,50,38,27,22,17,35,61,43,41,42,22,43,45,44,22,26,31,5,61,32
Bordeaux - Grand Parc,O3,2013-02-01,43,64,59,53,68,62,48,35,28,69,,,27,47,46,35,49,49,50,34,42,45,59,66,49,24,41,,,,,24,69,48
Bordeaux - Grand Parc,O3,2013-03-01,,30,32,67,85,62,48,79,57,55,58,64,62,56,49,64,63,76,62,69,68,81,65,71,54,60,74,72,63,88,64,30,88,63
Bordeaux - Grand Parc,O3,2013-04-01,65,84,63,63,70,54,68,78,92,74,56,77,72,88,70,73,77,81,88,76,81,80,69,81,100,74,77,75,69,,,54,100,75
Bordeaux - Grand Parc,O3,2013-05-01,77,57,69,94,86,64,72,55,62,73,73,86,59,59,80,68,71,67,89,80,74,74,84,70,73,74,82,71,56,76,87,55,94,73
Bordeaux - Grand Parc,O3,2013-06-01,88,75,78,79,85,105,99,89,73,86,70,51,45,64,64,69,61,36,56,57,47,64,61,53,57,70,74,55,30,51,,30,105,66
Bordeaux - Grand Parc,O3,2013-07-01,62,49,29,47,46,65,85,92,92,93,100,90,99,94,87,91,103,99,93,103,97,108,92,74,83,81,71,64,51,55,62,29,108,79
Bordeaux - Grand Parc,O3,2013-08-01,87,63,55,61,56,48,36,49,48,57,67,56,60,70,71,65,66,56,53,61,70,88,91,70,54,56,68,62,78,90,65,36,91,64
Bordeaux - Grand Parc,O3,2013-09-01,53,61,54,58,83,58,42,51,36,55,58,36,33,40,55,54,48,42,39,46,40,34,53,67,55,65,49,47,50,32,,32,83,50
Bordeaux - Grand Parc,O3,2013-10-01,21,37,56,37,43,43,37,31,45,51,36,41,38,42,31,41,32,31,33,44,36,37,31,41,19,29,48,42,40,18,14,14,56,36
Bordeaux - Grand Parc,O3,2013-11-01,23,45,61,55,50,35,21,35,44,66,33,23,25,35,47,20,11,12,31,44,47,33,27,44,49,34,19,10,10,45,,10,66,34
Bordeaux - Grand Parc,O3,2013-12-01,39,25,9,5,5,11,17,10,9,8,32,16,3,26,9,27,15,17,41,23,12,24,27,47,70,52,31,64,44,29,27,3,70,25
Bordeaux - Grand Parc,O3,2014-01-01,44,55,33,64,49,25,29,38,23,12,15,27,45,39,16,50,27,29,43,45,24,,45,72,62,66,64,60,57,40,34,12,72,41
Bordeaux - Grand Parc,O3,2014-02-01,58,52,46,59,65,53,64,72,68,64,54,51,70,54,57,50,41,39,39,41,67,51,52,69,57,56,62,82,,,,39,82,57
Bordeaux - Grand Parc,O3,2014-03-01,53,39,82,62,63,38,46,59,85,54,53,64,68,82,81,67,42,69,56,53,59,79,82,62,80,60,42,67,93,80,73,38,93,64
Bordeaux - Grand Parc,O3,2014-04-01,75,83,52,73,51,54,58,82,69,63,68,79,90,72,83,77,80,76,84,75,72,75,73,49,71,73,89,80,60,66,,49,90,72
