"Hébergements locatifs (meublés, chambres d'hôtes)",,,,,,,,
Code : HLO,,,,,,,,
,,,,,,,,
Jeux de données,,Adresse de la syndication,,,Remarques,,,
Liste des chambres d’hôtes déclarées en Mairie en Aquitaine,,http://wcf.tourinsoft.com/Syndication/aquitaine/abc676e7-cb20-4dbc-9a8e-7e070765749e,,,,,,
Liste des chambres d’hôtes labellisées en Aquitaine,,http://wcf.tourinsoft.com/Syndication/aquitaine/105a7aea-e0db-4de5-ae64-78afae288d54,,,,,,
Liste des meublés classés en Aquitaine,,http://wcf.tourinsoft.com/Syndication/aquitaine/54f2a448-3778-438a-a11c-d9bfa21af9e2,,,Ce flux comprend environ 9000 offres ;il peut être long à télécharger.,,,
Liste des meublés labellisés en Aquitaine,,http://wcf.tourinsoft.com/Syndication/aquitaine/4f780868-8769-4dca-874d-4d6025009f94,,,,,,
Liste des meublés non classés et non labellisés en Aquitaine,,http://wcf.tourinsoft.com/Syndication/aquitaine/c48b6b04-0b41-490a-b3a0-8ae538865d32,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
SIRTAQUI,,,WEB SERVICES,,,,,
Onglets,Rubriques,Champs,Nom XML,Contenu des champs,Remarques,moteur de recherche,page de listing,page de détails
Identification,Type d'équipement,Type d'équipement,TYPE_HLO,Item de liste,,,,
Identification,Classement,Classement,CLAS,Item de liste,,,,
Identification,Adresse,Raison sociale,NOM_OFFRE,Champ texte,,,,
Identification,Adresse,Adresse 1,AD1      ,Champ texte,,,,
Identification,Adresse,Adresse 1 suite,AD1_SUITE      ,Champ texte,,,,
Identification,Adresse,Adresse 2,AD2      ,Champ texte,,,,
Identification,Adresse,Adresse 3,AD3      ,Champ texte,,,,
Identification,Adresse,Code Postal,CP,Champ texte,,,,
Identification,Adresse,Commune,COMMUNE,Champ texte,,,,
Identification,Adresse,INSEE commune,COMMUNE_INSEE,Code INSEE de la commune,,,,
Identification,Adresse gestionnaire,Raison sociale,GEST_R_SOCIALE,Champ texte,,,,
Identification,Marques et labels,Marques et labels,LABELS,Liste d’items séparés par #,,,,
Identification,Classement label,Classement label,LABELS_CLAS,Liste d’items séparés par #,,,,
Identification,Thème,Thème,LABELS_THEME,Liste d’items séparés par #,,,,
Identification,Récompense(s) Concours Best Of Wine ,Type + Année + Catégorie,BOW,"Type, année et catégorie de la récompense Best of Wine séparés par |, chaque ligne étant séparée par #",,,,
Accès localisation,Google Map,Longitude,LON,,,,,
Accès localisation,Google Map,Latitude,LAT,,,,,
Infos/Résa,Type de réservation,Type de réservation,RESA_TYPE,Liste d’items séparés par #,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées,TEL,Numéros de téléphone séparé par #,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées,TEL_MOB,Numéros de téléphone mobile séparé par #,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées,FAX,Numéros de fax séparé par #,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées,URL,Adresse du (des) site(s) internet séparée par #,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées,URL_MOB,Adresse du (des) site(s) internet mobile(s) séparée par #,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées + Complément d'information,TEL_COMPLET,Numéro de téléphone et son Complément d'information,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées + Complément d'information,TEL_MOB_COMPLET,Numéro de téléphone mobile et son Complément d'information,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées + Complément d'information,FAX_COMPLET,Numéro de fax et son Complément d'information,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées + Complément d'information,URL_COMPLET,Adresse du site internet et son Complément d'information,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées + Complément d'information,URL_MOB_COMPLET,Adresse du site internet mobile et son Complément d'information,,,,
