Campings,,,,,,,,
Code : HPA,,,,,,,,
,,,,,,,,
Jeux de données,,Adresse de la syndication,,,,,,
Liste des campings en Aquitaine,,http://wcf.tourinsoft.com/Syndication/aquitaine/13d7f8ab-bd69-4815-b02c-d8134663b849,,,,,,
Liste des campings classés en Aquitaine,,http://wcf.tourinsoft.com/Syndication/aquitaine/ce38a805-2c44-419c-9251-12b00779804f,,,,,,
Liste des aires naturelles de camping en Aquitaine,,http://wcf.tourinsoft.com/Syndication/aquitaine/dabdd011-1d29-4555-a88b-ef6c4ad60e28,,,,,,
,,,,,,,,
,,,,,,,,
SIRTAQUI,,,WEB SERVICES,,,,,
Onglets,Rubriques,Champs,Nom XML,Contenu du champ,Remarques,moteur de recherche,page de listing,page de détails
Identification,Type de structure,Type de structure,TYPE_HPA,Liste d’items séparés par #,,,,
Identification,Classement,Classement,CLAS,Item de liste,,,,
Identification,Adresse,Raison sociale,NOM_OFFRE,Champ texte,,,,
Identification,Adresse,Adresse 1,AD1      ,Champ texte,,,,
Identification,Adresse,Adresse 1 suite,AD1_SUITE      ,Champ texte,,,,
Identification,Adresse,Adresse 2,AD2      ,Champ texte,,,,
Identification,Adresse,Adresse 3,AD3      ,Champ texte,,,,
Identification,Adresse,Code Postal,CP,Champ texte,,,,
Identification,Adresse,Commune,COMMUNE,Champ texte,,,,
Identification,Adresse,INSEE commune,COMMUNE_INSEE,Code INSEE de la commune,,,,
Identification,Adresse propriétaire,Raison sociale,PROP_R_SOCIALE,Champ texte,,,,
Identification,Marques et labels,Marques et labels,LABELS,Liste d’items séparés par #,,,,
Identification,Chaîne,Chaîne,CHAINES,Liste d’items séparés par #,,,,
Accès localisation,Google Map,Longitude,LON,,,,,
Accès localisation,Google Map,Latitude,LAT,,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées,TEL,Numéros de téléphone séparé par #,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées,TEL_MOB,Numéros de téléphone mobile séparé par #,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées,FAX,Numéros de fax séparé par #,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées,URL,Adresse du (des) site(s) internet séparée par #,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées,URL_MOB,Adresse du (des) site(s) internet mobile(s) séparée par #,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées + Complément d'information,TEL_COMPLET,Numéro de téléphone et son Complément d'information,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées + Complément d'information,TEL_MOB_COMPLET,Numéro de téléphone mobile et son Complément d'information,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées + Complément d'information,FAX_COMPLET,Numéro de fax et son Complément d'information,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées + Complément d'information,URL_COMPLET,Adresse du site internet et son Complément d'information,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées + Complément d'information,URL_MOB_COMPLET,Adresse du site internet mobile et son Complément d'information,,,,
Accueil,Ouverture accueil,Date début en n + date fin en n + heure ouverture 1 + heure fermeture 1 + heure ouverture 2 + heure fermeture 2 + jours fermeture,OUVERTURE,"Date d’ouverture et date de fermeture (au format jj/mm/aaaa),heure d’ouverture 1, heure de fermeture 1, heure d’ouverture 2 et heure de fermeture 2 (au format hh:mm) et  jours de fermeture  séparés par |, chaque période d’ouverture étant séparée par #",,,,
Accueil,Accessible aux personnes à mobilité réduite,Accessible aux personnes à mobilité réduite,ACCES_HANDI,Champ Oui/Non,,,,
Accueil,Label tourisme et handicap,Label tourisme et handicap,HANDICAP_LABEL,Liste d’items séparés par #,,,,
Accueil,Animaux bienvenus,Animaux bienvenus,ANIMAUX,Champ Oui/Non,,,,
Accueil,Langues parlées,Langues parlées,LANG_PARLE,Liste d’items séparés par #,,,,
Accueil,Réception de groupes,Groupes acceptés,GROUPE,Champ Oui/Non,,,,
Accueil,Réception de groupes,Nombre de personnes min,GROUPE_MIN,Champ numérique,,,,
