"BP 2008"	"Fonctionnement"	"Dépenses"	"Recettes"
"Vote"	"Crédits de Fonctionnement  votés au titre du présent budget"	800961	672181
"Reports"	"Restes à réaliser (R.A.R.) de l'exercice précédent"	0	0
"Reports"	"Résultat de Fonctionnement reporté "	0	128780
	"Total de la section Fonctionnement"	800961	672181
"BP 2008"	"Investissement"	"Dépenses"	"Recettes"
"Vote"	"Crédits de Fonctionnement  votés au titre du présent budget"	153800	336047
"Reports"	"Restes à réaliser (R.A.R.) de l'exercice précédent"	0	0
"Reports"	"Solde d'exécution de la section Investissement reporté"	74307	0
	"Total de la section Investissement"	228107	336047
	"TOTAL DU BUDGET"	1029068	1137008
