"BP 2009"	"Fonctionnement"	"Dépenses"	"Recettes"
"Vote"	"Crédits de Fonctionnement  votés au titre du présent budget"	799295	567387
"Reports"	"Restes à réaliser (R.A.R.) de l'exercice précédent"	0	0
"Reports"	"Résultat de Fonctionnement reporté "	0	231908
	"Total de la section Fonctionnement"	799295	799295
"BP 2009"	"Investissement"	"Dépenses"	"Recettes"
"Vote"	"Crédits de Fonctionnement  votés au titre du présent budget"	633428	728017
"Reports"	"Restes à réaliser (R.A.R.) de l'exercice précédent"	43000	0
"Reports"	"Solde d'exécution de la section Investissement reporté"	51589	0
	"Total de la section Investissement"	728017	728017
	"TOTAL DU BUDGET"	1527312	1527312
