"BP 2012"	"Fonctionnement"	"Dépenses"	"Recettes"
"Vote"	"Crédits de Fonctionnement  votés au titre du présent budget"	1158152	672181,77
"Reports"	"Restes à réaliser (R.A.R.) de l'exercice précédent"	0	0
"Reports"	"Résultat de Fonctionnement reporté "	0	473852,23
	"Total de la section Fonctionnement"	1158152	1158152
"BP 2012"	"Investissement"	"Dépenses"	"Recettes"
"Vote"	"Crédits de Fonctionnement  votés au titre du présent budget"	626640	542748,82
"Reports"	"Restes à réaliser (R.A.R.) de l'exercice précédent"	0	112666
"Reports"	"Solde d'exécution de la section Investissement reporté"	0	279160,18
	"Total de la section Investissement"	934575	934575
	"TOTAL DU BUDGET"	2092727	2092727
