"ERP","Exploitant/Maître d’ouvrage","Catégorie","Surface m²","Date du Pc"
"Stade Municipal Club House","Commune",5,110,"N.C."
"Stade Municipal tribunes","Commune",4,80,"N.C."
"Stade Municipal vestiaires","Commune",5,170,"N.C."
"Hôtel de la Gare","Taris Nicolas","N.C.","N.C.","N.C."
"Local de la chasse","Commune",5,115,"N.C."
"« Tchai »","Commune",5,90,"N.C."
"Hangar municipal","Commune",5,390,"N.C."
"École","CCPA",5,750,"N.C."
"Salle paroissiale","Commune",5,30,"N.C."
"Centre commercial","Commune",5,388,1983
"Mairie","Commune",5,450,2010
"Salle Michel Fourcade","Commune",5,200,2010
"Église","Commune",4,1120,"N.C."
"Salle de l’Étang des Forges","Commune",5,750,"N.C."
"Petite salle de l’Étang","Commune",5,61,"N.C."
"Pavillon du S.I.","Commune",5,90,2010
"Toilettes publiques écoles","Commune",5,13,2010
"Toilettes publiques fronton","Commune",5,47,2005
"Bergerie à usage boulodrome","Commune",5,198,2010
"Abri pétanque","Commune",5,20,"N.C."
"Local Tennis","Commune",5,36,"N.C."
"Arènes","Commune",4,1250,"N.C."
"Salle des sports","CCPA",3,1200,2007
"Gîtes","Commune",5,780,1987
"Local technique gîtes","Commune",5,26,2003
"Musée des Forges","Commune",5,611,"N.C."
"Anciens ateliers des Forges","Commune",5,882,"N.C."
"Ancien haut fourneau","Commune",5,100,"N.C."
"Grange des Forges","Commune",5,225,"N.C."
"Paillère","Commune",5,810,"N.C."
"Cercle des travailleurs","Commune",5,325,"N.C."
"Ganadéria Malabat","Commune",5,256,"N.C."
"Gendarmerie bureaux","Commune",5,380,1985
