"Élections présidentielles 2012 – 1er tour"	"Nombre de voix"	"% Voix/Inscrits"	"% Voix/Exprimés"
"Nathalie Arthaud"	4	"0.65"	0,75
"François Bayrou"	60	"9.69"	11,24
"Nicolas Dupont-Aignan"	8	"1.29"	1,5
"Jacques Cheminade"	5	"0.81"	0,94
"François Hollande"	170	"27.46"	31,84
"Eva Joly"	6	"0.97"	1,12
"Marine Le Pen"	76	"12.28"	14,23
"Jean-Luc Mélanchon"	58	"9.37"	10,86
"Philippe Poutou"	10	"1.62"	1,87
"Nicolas Sarkozy"	137	"22.13"	25,66
			
"Élections présidentielles 2012 – 2ème tour"	"Nombre de voix"	"% Voix/Inscrits"	"% Voix/Exprimés"
"François Hollande"	298	"48.14"	57,42
"Nicolas Sarkozy"	221	"35.70"	42,58
