Section,Parcelle ,Subdivision ,Lieu-dit,Nature,Surface,année,Parfor,Plan,exclusion,Soumission à l'ONF
A,13,,Gouhuron,pins,"1,022",CR,"1,1",4,,oui
A,14,,Gouhuron,pins,"0,316",CR,"1,1",4,,oui
A,17,a,Gouhuron,pins,"1,4457",CR,"1,3",4,,oui
A,17,b,Gouhuron,pins,"0,0493",2007,7,4,,oui
A,18,a,Gouhuron,pins,"0,1045",CR,"1,3",4,,oui
A,18,b,Gouhuron,pins,"0,4775",2007,7,4,,oui
A,18,c,Gouhuron,emprise,"0,0503",,5057,4,,oui
A,18,d,Gouhuron,pins,"0,0427",1958,8,4,,oui
A,19,a,Gouhuron,pins,"0,9285",CR,"1,1",4,,oui
A,19,b,Gouhuron,pins,"0,2264",CR,"1,3",4,,oui
A,19,c,Gouhuron,pins,"1,5399",2007,7,4,,oui
A,19,d,Gouhuron,emprise,"0,0648",,5057,4,,oui
A,19,e,Gouhuron,pins,"0,0291",1958,8,4,,oui
A,19,f,Gouhuron,pins,"0,0113",2005,9,4,,oui
A,21,a,Gouhuron,pins,"2,4521",1983,"1,2",4,,oui
A,21,b,Gouhuron,pins,"0,0323",2007,7,4,,oui
A,21,c,Gouhuron,pins,"1,1913",2007,7,4,,oui
A,21,d,Gouhuron,emprise,"0,0881",,5057,4,,oui
A,21,e,Gouhuron,pins,"0,0612",2005,9,4,,oui
A,22,a,Gouhuron,pins,"0,2579",CR,"1,1",4,,oui
A,22,b,Gouhuron,pins,"0,3206",1983,"1,2",4,,oui
A,22,c,Gouhuron,pins,"0,29",2007,7,4,,oui
A,22,d,Gouhuron,emprise,"0,1092",,5057,4,,oui
A,22,e,Gouhuron,BT,"1,5723",,6,4,,oui
A,23,a,Gouhuron,emprise,"0,0491",,5057,4,,oui
A,23,b,Gouhuron,pins,"1,0439",2005,9,4,,oui
A,25,a,Gouhuron,BT,"0,1069",1983,4,4,,oui
A,25,b,Gouhuron,emprise,"0,0807",,5057,4,,oui
A,25,c,Gouhuron,BT,"1,0574",,10,4,,oui
A,26,,Gouhuron,pins,"1,55",1983,4,4,,oui
A,27,,Gouhuron,pins,"1,245",1983,4,4,,oui
A,28,,Gouhuron,pins,"1,66",CR,5,4,,oui
A,29,,Gouhuron,pins,"1,536",CR,5,4,,oui
A,30,,Gouhuron,B,"3,05",CR,5,4,,oui
A,34,,Gouhuron,BT,"0,334",,2,4,,oui
A,35,a,Gouhuron,pins,"5,3011",1971,3,4,,oui
A,35,b,Gouhuron,pins,"0,4489",CR,"1,1",4,,oui
A,36,,Gouhuron,BT,"0,199",,2,4,,oui
A,37,,Gouhuron,BT,"0,182",,2,4,,oui
A,38,,Gouhuron,BT,"0,732",,2,4,,oui
A,39,,Gouhuron,L,"0,486",,5058,4,,oui
A,312,a,Malabat,BT,"0,3914",,18,4,,oui
A,312,b,Malabat,BT,"0,2386",,17,4,,oui
