"Peuplement","Type","Surface","%"
"FFS","Futaie feuillue régulière","0,7758","0,1"
"FFM","Futaie feuillue mélangée","0,7000","0,1"
"FPM","Futaie de Pin maritime","1001,1745","91,3"
"FPT","Futaie de pin taeda","12,3788","1,1"
"FTA","Futaie de pin taeda","3,2100","0,3"
"TSI","Taillis simple divers","12,3509","1,1"
"TAU","Taillis à base d'aulne","3,5439","0,3"
"TRO","Taillis à base de robinier","1,0490","0,1"
"BOR","Boisement ornemental","3,5590","0,3"
"RIP","Ripisylve","5,7710","0,5"
"LE","Lande – emprise","22,0522","2,0"
"LI","Lande improductive","9,0423","0,8"
"LF","Lande – friche","1,5006","0,1"
"ET","Etang, lac ou lagune","1,0000","0,1"
"SA","Sol, airial ou parc","6,6005","0,6"
"PA","Pâturage ou prairie","11,3357","1,0"
,"Surface totale","1096,0442",
