NB_PRESTATATION,ANNEE,COMMUNE,latitude,longitude,code postal,code insee
42,2010,Abzac,45.016197,-0.128651,33230,33001
14,2010,Aillas,44.473508,-0.074703,33124,33002
377,2010,Ambarès et Lagrave,44.924412,-0.487574,33440,33003
41,2010,Ambès,45.010421,-0.532320,33810,33004
137,2010,Andernos les Bains,44.742448,-1.090931,33510,33005
29,2010,Anglade,45.210719,-0.638091,33390,33006
,2010,Arbanats,44.674917,-0.396346,33640,33007
,2010,Arbis,44.678522,-0.246276,33760,33008
239,2010,Arcachon,44.658380,-1.169450,33120,33009
,2010,Arcins,45.072615,-0.725782,33460,33010
13,2010,Arsac,44.996324,-0.688946,33460,33012
97,2010,Artigues près Bordeaux,44.858314,-0.497405,33370,33013
38,2010,Arveyres,44.883773,-0.283502,33500,33015
62,2010,Arès,44.764183,-1.136804,33740,33011
7,2010,Asques,43.988575,0.949217,82120,82004
,2010,Aubiac,44.468721,-0.241774,33430,33017
19,2010,Aubie et Espessas,45.018835,-0.407051,33240,33018
88,2010,Audenge ,44.683088,-1.013330,33980,33019
,2010,Auriolles,44.740868,0.049736,33790,33020
7,2010,Auros,44.494910,-0.146354,33124,33021
23,2010,Avensan,45.034546,-0.758842,33480,33022
,2010,Ayguemorte les Graves,44.709206,-0.481819,33640,33023
,2010,Bagas,44.624468,-0.056446,33190,33024
,2010,Baigneaux,47.781573,1.253225,41290,41011
6,2010,Balizac,44.486869,-0.445459,33730,33026
,2010,Barie,44.569670,-0.115233,33190,33027
8,2010,Baron,45.020001,5.043529,26300,26057
52,2010,Barsac,44.730365,5.290080,26150,26027
,2010,Bassanne,44.558648,-0.090683,33190,33031
149,2010,Bassens,44.902727,-0.517928,33530,33032
6,2010,Baurech,44.724938,-0.439815,33880,33033
6,2010,Bayas,45.059913,-0.207382,33230,33034
14,2010,Bayon sur Gironde,45.053281,-0.601147,33710,33035
112,2010,Bazas,44.431753,-0.211993,33430,33036
31,2010,Beautiran,44.702920,-0.452368,33640,33037
13,2010,Begadan,45.356233,-0.894382,33340,33038
17,2010,Beguey,44.641982,-0.323681,33410,33040
51,2010,Belin Beliet,44.497153,-0.791073,33830,33042
,2010,Bellebat,44.738849,-0.216888,33760,33043
,2010,Bellefond,44.765384,-0.171609,33760,33044
,2010,Belvès de Castillon,44.878306,-0.032255,33350,33045
16,2010,Bernos Beaulac,44.379910,-0.259299,33430,33046
22,2010,Berson,45.107822,-0.586843,33390,33047
,2010,Berthez,44.484403,-0.135701,33124,33048
13,2010,Beychac et Caillau,44.869424,-0.371368,33750,33049
20,2010,Bieujac,44.538806,-0.155099,33210,33050
95,2010,Biganos ,44.643766,-0.978962,33380,33051
,2010,Birac,44.412514,0.130831,47250,47034
,2010,Blaignac,44.551463,-0.057532,33190,33054
,2010,Blaignan,45.321601,-0.879179,33340,33055
285,2010,Blanquefort,44.909686,-0.637585,33290,33056
14,2010,Blasimon,44.748299,-0.074554,33540,33057
233,2010,Blaye,45.126971,-0.663195,33390,33058
,2010,Blesignac,44.774587,-0.258149,33670,33059
12,2010,Bommes,44.546360,-0.357109,33210,33060
18,2010,Bonnetan,44.820397,-0.412741,33370,33061
6,2010,Bonzac,45.006285,-0.223363,33910,33062
9931,2010,Bordeaux,44.837663,-0.579717,33100,33063
,2010,Bossugan,44.791419,-0.046546,33350,33064
14,2010,Bouliac,44.814001,-0.502242,33270,33065
7,2010,Bourdelles,44.553017,-0.000919,33190,33066
72,2010,Bourg sur Gironde,45.534675,-0.907816,17120,17437
,2010,Bourideys,44.367647,-0.454531,33113,33068
8,2010,Brach,45.040951,-0.938552,33480,33070
34,2010,Branne,44.829829,-0.186645,33420,33071
,2010,Brannens,44.519953,-0.152786,33124,33072
34,2010,Braud et St Louis,45.247153,-0.626433,33820,33073
,2010,Brouqueyran,44.483252,-0.175908,33124,33074
156,2010,Bruges,44.882549,-0.613007,33520,33075
,2010,Budos,44.532846,-0.386538,33720,33076
616,2010,Bègles,44.807078,-0.549917,33130,33039
13,2010,Cabanac et Villagrains,44.605990,-0.553653,33650,33077
