"Seniors Deuxieme Division",,,,
"27-10-2012 ","20:00 ","Escource F.C 2 ","1 - 2 ","Brocas U.S  "
"07-10-2012 ","15:30 ","Brocas U.S  ","7 - 1 ","St Martin.Gel 3 "
"21-10-2012 ","15:30 ","Sore E.S.H.L  ","1 - 1 ","Brocas U.S  "
"04-11-2012 ","15:30 ","Sabres U.A  ","3 - 3 ","Brocas U.S  "
"11-11-2012 ","15:30 ","Brocas U.S  ","1 - 1 ","Labrit G/albt  "
"25-11-2012 ","15:00 ","Ygos Stade 2 ","0 - 1 ","Brocas U.S  "
"02-12-2012 ","15:00 ","Brocas U.S  ","6 - 1 ","Ent. La Leyre  "
"15-12-2012 ","20:00 ","Parentis F.C.  ","2 - 1 ","Brocas U.S  "
"23-12-2012 ","15:00 ","Brocas U.S  ","4 - 1 ","Montoise E.S. 2 "
"13-01-2013 ","15:00 ","St Pierre Du Mt Sc 3 ","1 - 8 ","Brocas U.S  "
"20-01-2013 ","15:00 ","Brocas U.S  ","2 - 1 ","St Maurice/gren U 2 "
"10-02-2013 ","15:00 ","St Martin.Gel 3 ","0 - 3 ","Brocas U.S  "
"17-02-2013 ","15:30 ","Brocas U.S  ","2 - 0 ","Sore E.S.H.L  "
"24-02-2013 ","15:30 ","Brocas U.S  ","3 - 0 ","Sabres U.A  "
"10-03-2013 ","15:30 ","Labrit G/albt  ","2 - 0 ","Brocas U.S  "
"17-03-2013 ","15:30 ","Brocas U.S  ","3 - 1 ","Ygos Stade 2 "
"24-03-2013 ","15:30 ","Ent. La Leyre  ","1 - 2 ","Brocas U.S  "
"07-04-2013 ","15:30 ","Brocas U.S  ","4 - 1 ","Parentis F.C.  "
"14-04-2013 ","15:30 ","Montoise E.S. 2 ",0,"Brocas U.S  "
"28-04-2013 ","15:30 ","Brocas U.S  ","1 - 0 ","St Pierre Du Mt Sc 3 "
"05-05-2013 ","13:30 ","St Maurice/gren U 2 ","2 - 0 ","Brocas U.S  "
"26-05-2013 ","15:30 ","Brocas U.S  ","2 - 4 ","Escource F.C 2"
