"Seniors Prom. 2eme Division",,,,
"23-09-2012 ","15:30 ","Sabres U.A 2 ","4 - 0 ","Brocas U.S 2 "
"07-10-2012 ","13:30 ","Brocas U.S 2 ","2 - 3 ","Lencouacq U.S  "
"28-10-2012 ","13:30 ","Saugnac/mu Aj. 2 ","3 - 1 ","Brocas U.S 2 "
"04-11-2012 ","15:30 ","Parentis F.C. 2 ","3 - 2 ","Brocas U.S 2 "
"25-11-2012 ","15:00 ","Brocas U.S 2 ","1 - 8 ","Biscarrosse O. 3 "
"02-12-2012 ","13:00 ","Brocas U.S 2 ","0 - 3 ","Labouheyre Js  "
"16-12-2012 ","15:00 ","Sore E.S.H.L 2 ","1 - 4 ","Brocas U.S 2 "
"13-01-2013 ","15:00 ","Brocas U.S 2 ","0 - 1 ","Garein U.S 2 "
"20-01-2013 ","13:00 ","Brocas U.S 2 ","0 - 2 ","Ygos Stade 3 "
"10-02-2013 ","15:00 ","Brocas U.S 2 ","3 - 3 ","Sabres U.A 2 "
"17-02-2013 ","15:30 ","Lencouacq U.S  ","5 - 0 ","Brocas U.S 2 "
"10-03-2013 ","15:30 ","Brocas U.S 2 ","2 - 1 ","Saugnac/mu Aj. 2 "
"17-03-2013 ","13:30 ","Brocas U.S 2 ","1 - 4 ","Parentis F.C. 2 "
"07-04-2013 ","13:30 ","Biscarrosse O. 3 ","4 - 3 ","Brocas U.S 2 "
"14-04-2013 ","15:30 ","Labouheyre Js  ","3 - 0 ","Brocas U.S 2 "
"28-04-2013 ","13:30 ","Brocas U.S 2 ",0,"Sore E.S.H.L 2 "
"05-05-2013 ","13:30 ","Garein U.S 2 ","1 - 1 ","Brocas U.S 2 "
"26-05-2013 ","13:30 ","Ygos Stade 3 ","2 - 3 ","Brocas U.S 2"
