Canton-ou-ville,Population 2009,Population 1999,Population 1990,Population 1982,Taux annuel moyen d'accroissement de la population de 1999 à 2009,Taux annuel moyen d'accroissement de la population de 1982 à 2009
Arcachon,11748,11459,11770,13293,"+0,3%","-0,4%"
Audenge,57659,44197,35480,28166,"+3,0%","+3,9%"
Auros,5792,4505,4388,4175,"+2,9%","+1,4%"
Bazas,9984,8312,8181,8340,"+2,0%","+0,7%"
Bègles,25085,22538,22604,23318,"+1,1%","+0,3%"
Belin-Béliet,16899,11860,10442,9491,"+4,2%","+2,9%"
Blanquefort,55267,50518,45278,36400,"+0,9%","+1,9%"
Blaye,15310,13687,13176,13637,"+1,2%","+0,5%"
Bordeaux,240522,215374,210336,208159,"+1,2%","+0,6%"
Bourg,13102,12335,12175,11928,"+0,6%","+0,4%"
Branne,14659,11865,11246,10409,"+2,4%","+1,5%"
Cadillac,13875,12459,12587,12728,"+1,1%","+0,3%"
Captieux,2168,2180,2378,2478,"-0,1%","-0,5%"
Carbon-Blanc,38676,34072,30657,26132,"+1,4%","+1,8%"
Castelnau-de-Médoc,33734,26133,24184,21374,"+2,9%","+2,1%"
Castillon-la-Bataille,10826,10381,10177,10010,"+0,4%","+0,3%"
Cenon,36751,33421,32592,31640,"+1,0%","+0,6%"
Coutras,22976,19244,18346,17826,"+1,9%","+1,1%"
Créon,43856,37206,34820,30607,"+1,8%","+1,6%"
Floirac,23449,22997,23043,19570,"+0,2%","+0,7%"
Fronsac,15997,13940,13889,12259,"+1,5%","+1,1%"
Gradignan,45835,44237,43471,38551,"+0,4%","+0,7%"
Grignols,3083,2650,2559,2719,"+1,6%","+0,5%"
Guîtres,16285,13330,12809,10876,"+2,2%","+1,8%"
La Brède,37100,30890,27872,23047,"+2,0%","+2,3%"
La Réole,13544,12311,12065,11870,"+1,0%","+0,5%"
La Teste-de-Buch,51023,42759,35371,29584,"+1,9%","+2,7%"
Langon,19724,15209,14098,13091,"+3,0%","+1,9%"
Le Bouscat,38400,33070,30291,28592,"+1,6%","+1,3%"
Lesparre-Médoc,17489,15089,14509,13397,"+1,6%","+1,1%"
Libourne,41839,36413,35749,35688,"+1,5%","+0,6%"
Lormont,32375,32998,32438,31560,"-0,2%","+0,1%"
Lussac,8419,7765,8181,8351,"+0,8%","+0,0%"
Mérignac,67410,61990,57273,51306,"+0,9%","+1,2%"
Mérignac 2e Canton hors Mérignac (Partiel),14146,10795,9611,6264,"+3,1%","+4,7%"
Monségur,4831,4224,4259,4375,"+1,4%","+0,4%"
Pauillac,12680,12326,12944,13107,"+0,3%","-0,1%"
Pellegrue,2894,2545,2736,2781,"+1,4%","+0,2%"
Pessac,58504,56151,51055,50267,"+0,4%","+0,6%"
Podensac,18949,16025,15863,14952,"+1,8%","+1,0%"
Pujols,7654,7196,6863,6479,"+0,6%","+0,7%"
Saint-André-de-Cubzac,21322,16906,15673,12987,"+2,6%","+2,4%"
Saint-Ciers-sur-Gironde,12720,11042,10781,11435,"+1,5%","+0,4%"
Sainte-Foy-la-Grande,12693,11529,11211,11195,"+1,0%","+0,5%"
Saint-Laurent-Médoc,9375,7238,6913,6186,"+3,0%","+1,9%"
Saint-Macaire,9822,8077,8141,7872,"+2,2%","+0,9%"
Saint-Médard-en-Jalles,51936,46593,40185,32352,"+1,1%","+2,2%"
Saint-Savin,21715,17110,16006,15082,"+2,7%","+1,6%"
Saint-Symphorien,4949,3530,3318,3128,"+4,0%","+2,2%"
Saint-Vivien-de-Médoc,9510,8206,8126,7891,"+1,6%","+0,8%"
Sauveterre-de-Guyenne,6647,6110,5964,5798,"+0,9%","+0,5%"
Talence,42179,37228,34485,34692,"+1,3%","+0,8%"
Targon,6994,5851,5669,5392,"+2,0%","+1,1%"
Villandraut,4810,3967,3652,3666,"+2,1%","+1,2%"
Villenave-d'Ornon,28897,27489,25609,21073,"+0,5%","+1,4%"
 Gironde ,1 464 088,1 287 532,1 213 499,1 127 546,"+1,4%","+1,1%"
 France métropolitaine ,63 893 455,58 520 688,56 615 155,54 334 871,"+0,9%","+0,7%"
