cell1,total
NAME,GIRONDE_detailCSP_SUD-GIRONDE
Autres personnes sans activité pro,15
Employés,10
Cadre et professions intellectuelles supérieures,4
Ouvriers,4
Professions intermédiaires,4
Retraités,2
NULL,NULL
NULL,NULL
Autres personnes sans activité pro,12
Ouvriers,9
Retraités,6
Professions intermédiaires,5
Employés,3
Cadre et professions intellectuelles supérieures,1
NULL,NULL
NULL,NULL
Ouvriers,9
Autres personnes sans activité pro,7
Employés,7
Retraités,6
Professions intermédiaires,5
Cadre et professions intellectuelles supérieures,1
Artisants commerçants chefs d'entreprise,1
NULL,NULL
Autres personnes sans activité pro,57
Ouvriers,37
Employés,31
Retraités,25
Professions intermédiaires,14
Artisants commerçants chefs d'entreprise,7
Cadre et professions intellectuelles supérieures,4
NULL,NULL
Autres personnes sans activité pro,53
Ouvriers,42
Employés,39
Professions intermédiaires,27
Retraités,24
Cadre et professions intellectuelles supérieures,8
Artisants commerçants chefs d'entreprise,6
Agriculteurs exploitants,5
Autres personnes sans activité pro,510
Employés,399
Professions intermédiaires,333
Ouvriers,312
Retraités,250
Cadre et professions intellectuelles supérieures,131
Artisants commerçants chefs d'entreprise,73
Agriculteurs exploitants,11
