code_circonscription,libelle_commune,code_commune,nom_commune,statut,z_moyen,superficie,population,latitude,longitude,geo_shape,Inscrits,Abstentions,Abs/Ins,Votants,Vot/Ins_global,Blancs,Blancs/Ins,Blancs/Vot,Nuls,Nuls/Ins,Nuls/Vot,Exprimés,Exp/Ins_global,Exp/Vot_global,Panneau,Sexe,Nom,Prenom,Nuance,Voix,Voix/Ins,Voix/Exp,Panneau-2,Sexe-2,Nom-2,Prenom-2,Nuance-2,Voix-2,Voix/Ins-2,Voix/Exp-2,Panneau-3,Sexe-3,Nom-3,Prénom-3,Nuance-3,Voix-3,Voix/Ins-3,Voix/Exp-3,Panneau-4,Sexe-4,Nom-4,Prenom-4,Nuance-4,Voix-4,Voix/Ins-4,Voix/Exp-4,Panneau-5,Sexe-5,Nom-5,Prenom-5,Nuance-5,Voix-5,Voix/Ins-5,Voix/Exp-5,Panneau-6,Sexe-6,Nom-6,Prenom-6,Nuance-6,Voix-6,Voix/Ins-6,Voix/Exp-6,Panneau-7,Sexe-7,Nom-7,Prénom-7,Nuance-7,Voix-7,Voix/Ins-7,Voix/Exp-7,Panneau-8,Sexe-8,Nom-8,Prenom-8,Nuance-8,Voix-8,Voix/Ins-8,Voix/Exp-8,Panneau-9,Sexe-9,Nom-9,Prenom-9,Nuance-9,Voix-9,Voix/Ins-9,Voix/Exp-9,Panneau-10,Sexe-10,Nom-10,Prénom-10,Nuance-10,Voix-10,Voix/Ins-10,Voix/Exp-10,Panneau-11,Sexe-11,Nom-11,Prenom-11,Nuance-11,Voix-11,Voix/Ins-11,Voix/Exp-11,Panneau-12,Sexe-12,Nom-12,Prénom-12,Nuance-12,Voix-12,Voix/Ins-12,Voix/Exp-12,Panneau-13,Sexe-13,Nom-13,Prénom-13,Nuance-13,Voix-13,Voix/Ins-13,Voix/Exp-13,Panneau-14,Sexe-14,Nom-14,Prénom-14,Nuance-14,Voix-14,Voix/Ins-14,Voix/Exp-14,Panneau-15,Sexe-15,Nom-15,Prénom-15,Nuance-15,Voix-15,Voix/Ins-15,Voix/Exp-15,Panneau-16,Sexe-16,Nom-16,Prénom-16,Nuance-16,Voix-16,Voix/Ins-16,Voix/Exp-16,Panneau-17,Sexe-17,Nom-17,Prénom-17,Nuance-17,Voix-17,Voix/Ins-17,Voix/Exp-17,Panneau-18,Sexe-18,Nom-18,Prénom-18,Nuance-18,Voix-18,Voix/Ins-18,Voix/Exp-18,Panneau-19,Sexe-19,Nom-19,Prénom-19,Nuance-19,Voix-19,Voix/Ins-19,Voix/Exp-19,Panneau-20,Sexe-20,Nom-20,Prénom-20,Nuance-20,Voix-20,Voix/Ins-20,Voix/Exp-20,Panneau-21,Sexe-21,Nom-21,Prénom-21,Nuance-21,Voix-21,Voix/Ins-21,Voix/Exp-21,Panneau-22,Sexe-22,Nom-22,Prénom-22,Nuance-22,Voix-22,Voix/Ins-22,Voix/Exp-22
11,11ème circonscription,1,Abzac,Commune simple,25.0,1336.0,1.8,45.0106457764, -0.130179806678,"{""type"": ""Polygon""; ""coordinates"": [[[-0.12095129740248; 44.9904263962472]; [-0.128041428436024; 44.994372175749675]; [-0.146884441750112; 45.003365164101595]; [-0.16862169396191; 45.00749692356395]; [-0.147629812757953; 45.03289097882478]; [-0.138656341366932; 45.025611248223655]; [-0.129243497224669; 45.02406513641358]; [-0.116732478023901; 45.01387358556417]; [-0.089161120722055; 45.017697111205095]; [-0.089370679742996; 45.01136579739538]; [-0.10464478452563; 44.99955107501813]; [-0.112775398901072; 44.997539722204145]; [-0.12095129740248; 44.9904263962472]]]}",1469,863,"58,75",606,"41,25",15,"1,02","2,48",4,"0,27","0,66",587,"39,96","96,86",1,F,LACOSTE,Michelle,SOC,49,"3,34","8,35",2,F,GOGUET,Caroline,ECO,8,"0,54","1,36",3,M,GIACOMOTTO,Georges,DLF,4,"0,27","0,68",4,M,BOURNAZEAU,Bernard,DVG,0,0,0,5,F,CONTE JAUBERT,Mireille,LR,64,"4,36","10,9",6,F,DEPENVEILLER,Laetitia,DIV,4,"0,27","0,68",7,M,JAY,François,EXD,0,0,0,8,F,LOSSON,Joëlle,FI,55,"3,74","9,37",9,M,LABORDE,Sébastien,COM,27,"1,84","4,6",10,M,RICHARD,Olivier,ECO,10,"0,68","1,7",11,M,BEN HADJ SALEM,Marouni,EXG,5,"0,34","0,85",12,F,HAMMERER,Véronique,REM,182,"12,39","31,01",13,M,LORIAUD,Xavier,DVD,30,"2,04","5,11",14,F,LIGOZAT,Sabine,DIV,2,"0,14","0,34",15,M,BALDÈS,Denis,DVD,9,"0,61","1,53",16,F,DIAZ,Edwige,FN,138,"9,39","23,51",,,,,,,,"5,43",18,M,LAREIGNE,Pierre,DVD,291,"0,44","0,89",19,F,LARROQUET,Isabelle,EXG,149,"0,23","0,45",,,,,,,,,,,,,,,,,,,,,,,,
12,12ème circonscription,2,Aillas,Commune simple,89.0,3496.0,0.7,44.4835265148, -0.0662157307002,"{""type"": ""Polygon""; ""coordinates"": [[[-0.057042931071077; 44.45266658822631]; [-0.071973430740908; 44.445981223543804]; [-0.079766182700769; 44.44936717847937]; [-0.086672806571282; 44.46529978390931]; [-0.103966475290609; 44.45995823016172]; [-0.116539696737248; 44.46783760984488]; [-0.110551417500758; 44.476069871527685]; [-0.110389354962859; 44.48249790835557]; [-0.100280484504243; 44.487701602008514]; [-0.104170408273524; 44.49344804900006]; [-0.105482424770016; 44.49670843608007]; [-0.09174919646536; 44.49807634027354]; [-0.073882038316806; 44.50930556618463]; [-0.069026843044575; 44.515179513771045]; [-0.055723396396351; 44.515044357583335]; [-0.052417842974657; 44.52144215147615]; [-0.041330736431335; 44.52109972964927]; [-0.047612240418547; 44.512196720230975]; [-0.045224093480408; 44.50923569115279]; [-0.028777224564985; 44.50280583819068]; [-0.015564992756321; 44.504789481749235]; [-0.016043499759808; 44.489704812960056]; [-0.033954431193647; 44.4848261401689]; [-0.043273499263954; 44.47280384050002]; [-0.040744235751679; 44.459468692455324]; [-0.0437688429856; 44.45677267257453]; [-0.052817713275064; 44.458035815617215]; [-0.057042931071077; 44.45266658822631]]]}",597,268,"44,89",329,"55,11",12,"2,01","3,65",0,0,0,317,"53,1","96,35",1,M,DUVAL-CAMPANA,Patrick,FN,29,"4,86","9,15",2,M,MORIN,Jean-Claude,DVD,2,"0,34","0,63",3,M,LAVIN,Richard,EXG,1,"0,17","0,32",4,F,FABRE-NADLER,Anne-Laure,ECO,12,"2,01","3,79",5,F,LARGETEAU,Catherine,DVG,2,"0,34","0,63",6,F,DUBOS,Christelle,REM,106,"17,76","33,44",7,M,FEBBRARI,Alexis,DLF,5,"0,84","1,58",8,M,MIQUEU,Christophe,FI,56,"9,38","17,67",9,F,VEYSSY,Catherine,SOC,39,"6,53","12,3",10,M,LAMOTHE,Benoit,DIV,4,"0,67","1,26",11,M,D'AMÉCOURT,Yves,LR,61,"10,22","19,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,87",18,M,LAREIGNE,Pierre,DVD,78,"0,44","0,84",19,F,LARROQUET,Isabelle,EXG,41,"0,23","0,44",,,,,,,,,,,,,,,,,,,,,,,,
4,4ème circonscription,3,Ambarès-et-Lagrave,Commune simple,9.0,2467.0,13.2,44.9444897713, -0.500579133995,"{""type"": ""Polygon""; ""coordinates"": [[[-0.484064827492304; 44.91570856031162]; [-0.501665523562538; 44.91807501376646]; [-0.536136088884488; 44.925824164214106]; [-0.519537440092914; 44.9570661004351]; [-0.517378830023392; 44.988191914892916]; [-0.508283888892769; 44.98755994358835]; [-0.501162390317486; 44.982737361594616]; [-0.494815837782841; 44.96589437444642]; [-0.47796682987666; 44.953174635696726]; [-0.472043018741387; 44.940120771949]; [-0.463832867614091; 44.93642065271327]; [-0.466462450359757; 44.919647966767876]; [-0.4745038103257; 44.92229864675262]; [-0.484064827492304; 44.91570856031162]]]}",9972,5387,"54,02",4585,"45,98",56,"0,56","1,22",24,"0,24","0,52",4505,"45,18","98,26",1,M,DAVID,Alain,SOC,602,"6,04","13,36",2,F,BRIVARY,Anne-Isabelle,EXG,39,"0,39","0,87",3,F,DESVALOIS,Laure,ECO,144,"1,44","3,2",4,F,HOSTIER,Martine,DLF,65,"0,65","1,44",5,M,GILLES,Jean-Louis,DIV,34,"0,34","0,75",6,M,HADON,Serge,FN,740,"7,42","16,43",7,F,BAL,Berivan,COM,89,"0,89","1,98",8,F,BESSON,Maud,FI,688,"6,9","15,27",9,M,S'KALLI-BOUAZIZA,Aziz,REM,1366,"13,7","30,32",10,F,HÉRAUD,Christine,EXG,24,"0,24","0,53",11,F,DAUMAND,Daphné,DIV,48,"0,48","1,07",12,M,LAPORTE,Hubert,UDI,666,"6,68","14,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,56",18,M,LAREIGNE,Pierre,DVD,34,"0,29","0,56",19,F,LARROQUET,Isabelle,EXG,31,"0,26","0,51",,,,,,,,,,,,,,,,,,,,,,,,
4,4ème circonscription,4,Ambès,Commune simple,3.0,2487.0,2.9,45.0115337381, -0.548307688841,"{""type"": ""Polygon""; ""coordinates"": [[[-0.54269317151038; 44.98441407215093]; [-0.557399389552478; 44.9944084655126]; [-0.560053720339869; 45.00079478665637]; [-0.58689673984736; 45.01586741772262]; [-0.595230567515093; 45.024341147600275]; [-0.601328933141303; 45.03398633230355]; [-0.596744391071104; 45.040182448598785]; [-0.590571692006293; 45.037894126933296]; [-0.577273424959137; 45.03409523015913]; [-0.568630134374868; 45.03629250923997]; [-0.554878800656021; 45.03353300532905]; [-0.524756234219978; 45.01722264482879]; [-0.494742879867097; 45.00298323655491]; [-0.508283888892769; 44.98755994358835]; [-0.517378830023392; 44.988191914892916]; [-0.521385726733777; 44.98970540517284]; [-0.54269317151038; 44.98441407215093]]]}",2202,1298,"58,95",904,"41,05",19,"0,86","2,1",6,"0,27","0,66",879,"39,92","97,23",1,M,DAVID,Alain,SOC,87,"3,95","9,9",2,F,BRIVARY,Anne-Isabelle,EXG,4,"0,18","0,46",3,F,DESVALOIS,Laure,ECO,20,"0,91","2,28",4,F,HOSTIER,Martine,DLF,9,"0,41","1,02",5,M,GILLES,Jean-Louis,DIV,7,"0,32","0,8",6,M,HADON,Serge,FN,183,"8,31","20,82",7,F,BAL,Berivan,COM,38,"1,73","4,32",8,F,BESSON,Maud,FI,157,"7,13","17,86",9,M,S'KALLI-BOUAZIZA,Aziz,REM,215,"9,76","24,46",10,F,HÉRAUD,Christine,EXG,6,"0,27","0,68",11,F,DAUMAND,Daphné,DIV,11,"0,5","1,25",12,M,LAPORTE,Hubert,UDI,142,"6,45","16,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,9",18,M,MAHFOUDHI,Alexandre,EXG,90,"0,14","0,27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8ème circonscription,5,Andernos-les-Bains,Commune simple,14.0,2076.0,11.0,44.754520164, -1.08109347037,"{""type"": ""Polygon""; ""coordinates"": [[[-1.078191415414975; 44.72219286251176]; [-1.100563732209553; 44.73941435274212]; [-1.117713643048267; 44.74508837064867]; [-1.12203953448426; 44.75112089137921]; [-1.116328702483808; 44.756408982750266]; [-1.099490634493972; 44.768068324062]; [-1.082417960947477; 44.77415315615348]; [-1.040930874105862; 44.782778298881055]; [-1.047075166477607; 44.77722614793837]; [-1.056909383253236; 44.74987556386286]; [-1.078191415414975; 44.72219286251176]]]}",10674,4795,"44,92",5879,"55,08",52,"0,49","0,88",22,"0,21","0,37",5805,"54,38","98,74",1,F,PANONACLE,Sophie,REM,2653,"24,85","45,7",2,F,TEXIER,Solange,EXG,22,"0,21","0,38",3,F,COTI,Cécile,FI,596,"5,58","10,27",4,M,LAMARA,Laurent,FN,407,"3,81","7,01",5,M,FOULON,Yves,LR,1299,"12,17","22,38",6,F,BEY,Anny,DVD,125,"1,17","2,15",7,F,LE PAGE,Sophie,DLF,101,"0,95","1,74",8,F,COULAIS,Fabienne,DIV,45,"0,42","0,78",9,M,PRADAYROL,Pierre,SOC,239,"2,24","4,12",10,F,TRANNOY,Danielle,COM,42,"0,39","0,72",11,M,DUBOT,Nicolas,ECO,276,"2,59","4,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,75",18,M,PERRIER,Alain,DVG,77,"0,42","0,89",19,F,TARIS,Isabelle,COM,472,"2,56","5,43",20,M,CAZAUX,Olivier,ECO,281,"1,53","3,23",21,M,FETOUH,Marik,REM,2393,"12,99","27,52",22,F,REY--CAPDEPON,Sascha,DIV,44,"0,24","0,51"
11,11ème circonscription,6,Anglade,Commune simple,8.0,1380.0,0.9,45.2115004641, -0.638219671471,"{""type"": ""Polygon""; ""coordinates"": [[[-0.625638181068099; 45.19256484953178]; [-0.648743475251948; 45.19597615155299]; [-0.653246874845822; 45.205563772796765]; [-0.669069087827957; 45.21251735135576]; [-0.679820982919484; 45.23186810259512]; [-0.652519105450635; 45.22307448854468]; [-0.617393860102598; 45.223289581288554]; [-0.609337121077821; 45.22079213164914]; [-0.608148811572958; 45.21169071278234]; [-0.605782738497034; 45.19895883362948]; [-0.620154735114463; 45.198232185484564]; [-0.625638181068099; 45.19256484953178]]]}",671,334,"49,78",337,"50,22",7,"1,04","2,08",3,"0,45","0,89",327,"48,73","97,03",1,F,LACOSTE,Michelle,SOC,15,"2,24","4,59",2,F,GOGUET,Caroline,ECO,7,"1,04","2,14",3,M,GIACOMOTTO,Georges,DLF,0,0,0,4,M,BOURNAZEAU,Bernard,DVG,26,"3,87","7,95",5,F,CONTE JAUBERT,Mireille,LR,18,"2,68","5,5",6,F,DEPENVEILLER,Laetitia,DIV,1,"0,15","0,31",7,M,JAY,François,EXD,2,"0,3","0,61",8,F,LOSSON,Joëlle,FI,40,"5,96","12,23",9,M,LABORDE,Sébastien,COM,3,"0,45","0,92",10,M,RICHARD,Olivier,ECO,3,"0,45","0,92",11,M,BEN HADJ SALEM,Marouni,EXG,2,"0,3","0,61",12,F,HAMMERER,Véronique,REM,63,"9,39","19,27",13,M,LORIAUD,Xavier,DVD,32,"4,77","9,79",14,F,LIGOZAT,Sabine,DIV,2,"0,3","0,61",15,M,BALDÈS,Denis,DVD,14,"2,09","4,28",16,F,DIAZ,Edwige,FN,99,"14,75","30,28",,,,,,,,"7,83",18,M,PERRIER,Alain,DVG,87,"0,54","1,16",19,F,TARIS,Isabelle,COM,172,"1,07","2,29",20,M,CAZAUX,Olivier,ECO,249,"1,55","3,31",21,M,FETOUH,Marik,REM,2252,"14,03","29,92",22,F,REY--CAPDEPON,Sascha,DIV,41,"0,26","0,54"
9,9ème circonscription,7,Arbanats,Commune simple,19.0,762.0,1.1,44.670996265, -0.40276700503,"{""type"": ""Polygon""; ""coordinates"": [[[-0.429072056651176; 44.64781933691143]; [-0.43146319023419; 44.64915088530899]; [-0.418855533493807; 44.6714567216734]; [-0.399378796226943; 44.686033421715386]; [-0.382018806981319; 44.688061386036516]; [-0.374588617414851; 44.68485508508284]; [-0.373717027549172; 44.68380034620058]; [-0.377702964004749; 44.67760525565423]; [-0.402053931416762; 44.661323717590406]; [-0.429072056651176; 44.64781933691143]]]}",827,370,"44,74",457,"55,26",15,"1,81","3,28",5,"0,6","1,09",437,"52,84","95,62",1,F,LOUSTAU,Fanny,DIV,3,"0,36","0,69",2,F,RIVIÈRE DURIVAULT,Sophie,FN,54,"6,53","12,36",3,M,DHERSIN,Patrick,ECO,0,0,0,4,M,DUFRANC,Michel,LR,56,"6,77","12,81",5,M,BAUDE,Dominique,ECO,13,"1,57","2,97",6,M,DE JAEGER,Xavier,DIV,9,"1,09","2,06",7,M,COURJAUD,Antoine,DVG,3,"0,36","0,69",8,M,SAVARY,Gilles,SOC,49,"5,93","11,21",9,F,METTE,Sophie,MDM,163,"19,71","37,3",10,M,BERTHONNEAU,Rémy,DLF,11,"1,33","2,52",11,M,PAPIAU,François,FI,66,"7,98","15,1",12,F,GUERNÉ,Cristine,COM,8,"0,97","1,83",13,M,DELCAMP,Jean-Philippe,EXG,2,"0,24","0,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,85",18,M,PERRIER,Alain,DVG,80,"0,34","0,67",19,F,TARIS,Isabelle,COM,167,"0,7","1,39",20,M,CAZAUX,Olivier,ECO,290,"1,22","2,42",21,M,FETOUH,Marik,REM,4595,"19,29","38,33",22,F,REY--CAPDEPON,Sascha,DIV,83,"0,35","0,69"
12,12ème circonscription,8,Arbis,Commune simple,59.0,874.0,0.3,44.6725868035, -0.2547200817,"{""type"": ""Polygon""; ""coordinates"": [[[-0.244295988550121; 44.653585480470895]; [-0.275863461365087; 44.66025949217679]; [-0.284200093863546; 44.664012871697814]; [-0.282518205660897; 44.667216500156165]; [-0.262159920201119; 44.67585625117969]; [-0.257427588297515; 44.69250293566316]; [-0.240569839624615; 44.693700802737915]; [-0.234451380947941; 44.68131034866292]; [-0.242893132245728; 44.66846666455175]; [-0.241435123016031; 44.66156243269657]; [-0.244295988550121; 44.653585480470895]]]}",202,76,"37,62",126,"62,38",1,"0,5","0,79",1,"0,5","0,79",124,"61,39","98,41",1,M,DUVAL-CAMPANA,Patrick,FN,12,"5,94","9,68",2,M,MORIN,Jean-Claude,DVD,0,0,0,3,M,LAVIN,Richard,EXG,1,"0,5","0,81",4,F,FABRE-NADLER,Anne-Laure,ECO,7,"3,47","5,65",5,F,LARGETEAU,Catherine,DVG,0,0,0,6,F,DUBOS,Christelle,REM,40,"19,8","32,26",7,M,FEBBRARI,Alexis,DLF,0,0,0,8,M,MIQUEU,Christophe,FI,20,"9,9","16,13",9,F,VEYSSY,Catherine,SOC,7,"3,47","5,65",10,M,LAMOTHE,Benoit,DIV,2,"0,99","1,61",11,M,D'AMÉCOURT,Yves,LR,35,"17,33","28,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,14",18,M,PERRIER,Alain,DVG,54,"0,24","0,49",19,F,TARIS,Isabelle,COM,253,"1,11","2,31",20,M,CAZAUX,Olivier,ECO,168,"0,74","1,53",21,M,FETOUH,Marik,REM,3858,"16,98","35,17",22,F,REY--CAPDEPON,Sascha,DIV,68,"0,3","0,62"
8,8ème circonscription,9,Arcachon,Sous-préfecture,14.0,772.0,11.4,44.6529002838, -1.17429790933,"{""type"": ""Polygon""; ""coordinates"": [[[-1.20434582830634; 44.63870220653616]; [-1.193836882775073; 44.65816016685923]; [-1.186043041670238; 44.66223307153225]; [-1.162026772206002; 44.663221090719816]; [-1.143974987239093; 44.65875164217701]; [-1.141915757116313; 44.651878167680984]; [-1.20434582830634; 44.63870220653616]]]}",10708,4584,"42,81",6124,"57,19",25,"0,23","0,41",27,"0,25","0,44",6072,"56,71","99,15",1,F,PANONACLE,Sophie,REM,2195,"20,5","36,15",2,F,TEXIER,Solange,EXG,10,"0,09","0,16",3,F,COTI,Cécile,FI,299,"2,79","4,92",4,M,LAMARA,Laurent,FN,339,"3,17","5,58",5,M,FOULON,Yves,LR,2625,"24,51","43,23",6,F,BEY,Anny,DVD,206,"1,92","3,39",7,F,LE PAGE,Sophie,DLF,66,"0,62","1,09",8,F,COULAIS,Fabienne,DIV,19,"0,18","0,31",9,M,PRADAYROL,Pierre,SOC,162,"1,51","2,67",10,F,TRANNOY,Danielle,COM,19,"0,18","0,31",11,M,DUBOT,Nicolas,ECO,132,"1,23","2,17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5ème circonscription,10,Arcins,Commune simple,7.0,738.0,0.4,45.0765827796, -0.70962789405,"{""type"": ""Polygon""; ""coordinates"": [[[-0.728699431190388; 45.06275512852402]; [-0.736696794911921; 45.06918440136288]; [-0.734469333950124; 45.08192381097166]; [-0.697008177263322; 45.08512961422212]; [-0.683693109022142; 45.08928444867094]; [-0.676231154427672; 45.078948867113965]; [-0.683826770232559; 45.07451550527114]; [-0.703226522368256; 45.07259209391417]; [-0.719090547848639; 45.064383537140436]; [-0.728699431190388; 45.06275512852402]]]}",316,139,"43,99",177,"56,01",1,"0,32","0,56",0,0,0,176,"55,7","99,44",1,F,LEGRAND,Florence,LR,21,"6,65","11,93",2,M,BRARD,Julien,DIV,2,"0,63","1,14",3,M,TAVEAU,François-Régis,EXD,2,"0,63","1,14",4,M,CAPELLI,Christophe,DVD,3,"0,95","1,7",5,F,NGUYEN,Thi Be,DIV,0,0,0,6,F,COLEMYN,Sonia,DLF,5,"1,58","2,84",7,F,GOT,Pascale,SOC,45,"14,24","25,57",8,F,CALVO,Martine,FI,11,"3,48","6,25",9,M,SAUBUSSE,Stéphane,ECO,2,"0,63","1,14",10,M,DE FOURNAS,Grégoire,FN,37,"11,71","21,02",11,M,SIMIAN,Benoit,REM,43,"13,61","24,43",12,M,COSTE,Rémy,EXG,2,"0,63","1,14",13,M,LE BOT,Stéphane,COM,3,"0,95","1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
