STATION_NOM,POLLUANT_NOM,DATE_MESURE,MESURE_J01,MESURE_J02,MESURE_J03,MESURE_J04,MESURE_J05,MESURE_J06,MESURE_J07,MESURE_J08,MESURE_J09,MESURE_J10,MESURE_J11,MESURE_J12,MESURE_J13,MESURE_J14,MESURE_J15,MESURE_J16,MESURE_J17,MESURE_J18,MESURE_J19,MESURE_J20,MESURE_J21,MESURE_J22,MESURE_J23,MESURE_J24,MESURE_J25,MESURE_J26,MESURE_J27,MESURE_J28,MESURE_J29,MESURE_J30,MESURE_J31,MES_J_MINI,MES_J_MAXI,MOYENNE_JOUR
Bordeaux - Gambetta,PM10,2013-01-01,21,25,44,33,18,19,22,15,21,26,27,18,22,24,22,13,30,24,17,25,18,14,19,23,37,37,26,24,24,,,13,44,24
Bordeaux - Gambetta,PM10,2013-02-01,,,,,,15,21,22,29,12,9,33,39,20,30,28,22,33,31,47,42,32,43,39,24,47,69,57,,,,9,69,32
Bordeaux - Gambetta,PM10,2013-03-01,57,60,80,45,22,14,19,18,21,21,17,19,34,30,32,17,14,8,15,16,19,17,15,14,33,46,38,50,34,18,40,8,80,28
Bordeaux - Gambetta,PM10,2013-04-01,15,33,41,55,33,53,40,13,27,23,15,16,16,14,24,27,31,33,29,23,23,20,28,29,32,29,22,21,31,14,,13,55,27
Bordeaux - Gambetta,PM10,2013-05-01,8,15,30,32,22,26,19,12,13,16,16,13,17,17,18,15,19,11,16,10,15,25,20,18,16,19,20,13,12,21,24,8,32,18
Bordeaux - Gambetta,NO2,2013-01-01,34,69,60,43,34,26,36,26,40,48,63,46,36,39,52,43,45,41,39,32,45,48,57,54,54,48,31,49,52,45,43,26,69,44
Bordeaux - Gambetta,NO2,2013-02-01,23,35,27,38,36,44,52,56,59,18,42,63,54,41,66,48,38,49,55,73,51,50,51,48,63,54,72,77,,,,18,77,49
Bordeaux - Gambetta,NO2,2013-03-01,58,45,60,41,25,39,39,41,45,34,32,36,49,61,61,36,34,38,50,49,46,37,43,33,40,47,57,51,43,25,27,25,61,43
Bordeaux - Gambetta,NO2,2013-04-01,25,41,54,56,49,43,31,31,29,37,37,32,36,18,44,57,44,35,43,40,29,38,50,46,41,39,36,34,57,40,,18,57,40
Bordeaux - Gambetta,NO2,2013-05-01,23,40,44,43,34,54,31,20,30,29,28,19,38,38,32,39,42,37,16,19,37,48,30,32,31,45,36,25,27,31,43,16,54,34
Bordeaux - Gambetta,NO,2013-01-01,11,80,74,35,26,13,29,33,42,38,62,19,20,32,35,27,36,27,36,15,28,28,42,51,88,33,11,36,39,39,25,11,88,36
Bordeaux - Gambetta,NO,2013-02-01,13,28,10,23,16,36,46,44,40,2,18,55,66,24,50,28,16,26,43,59,46,42,44,27,73,41,53,63,,,,2,73,37
Bordeaux - Gambetta,NO,2013-03-01,49,35,68,19,7,20,23,12,18,7,10,26,36,40,38,9,7,16,26,20,19,14,19,9,25,32,36,34,21,10,7,7,68,23
Bordeaux - Gambetta,NO,2013-04-01,8,19,37,41,20,29,6,9,8,13,16,11,13,5,24,33,23,21,31,21,9,16,28,24,17,14,19,12,36,33,,5,41,20
Bordeaux - Gambetta,NO,2013-05-01,5,25,28,16,10,36,14,9,15,14,10,6,23,23,15,19,26,18,4,4,15,39,18,16,17,14,20,15,17,16,32,4,39,17
