STATION_NOM,POLLUANT_NOM,DATE_MESURE,MESURE_J01,MESURE_J02,MESURE_J03,MESURE_J04,MESURE_J05,MESURE_J06,MESURE_J07,MESURE_J08,MESURE_J09,MESURE_J10,MESURE_J11,MESURE_J12,MESURE_J13,MESURE_J14,MESURE_J15,MESURE_J16,MESURE_J17,MESURE_J18,MESURE_J19,MESURE_J20,MESURE_J21,MESURE_J22,MESURE_J23,MESURE_J24,MESURE_J25,MESURE_J26,MESURE_J27,MESURE_J28,MESURE_J29,MESURE_J30,MESURE_J31,MES_J_MINI,MES_J_MAXI,MOYENNE_JOUR
Bassens,O3,2013-01-01,58,38,9,30,35,26,16,9,19,32,26,42,33,27,44,46,24,25,20,34,56,45,36,42,28,43,50,42,35,26,26,9,58,33
Bassens,O3,2013-02-01,36,57,56,43,60,53,39,37,25,68,58,35,26,41,42,31,40,41,46,41,40,50,53,57,39,25,45,44,,,,25,68,44
Bassens,O3,2013-03-01,41,26,39,60,82,56,50,70,58,64,59,55,60,52,46,70,61,71,56,58,58,74,55,65,50,57,64,65,55,80,63,26,82,59
Bassens,O3,2013-04-01,61,75,66,61,64,50,67,76,90,73,51,73,69,90,64,75,80,75,79,72,76,70,65,84,100,67,75,75,72,49,,49,100,71
Bassens,O3,2013-05-01,68,49,60,81,78,66,60,52,56,67,69,78,56,55,68,58,73,62,81,73,61,63,72,63,68,78,74,60,48,66,73,48,81,66
Bassens,PM10,2013-01-01,11,21,49,31,10,15,18,12,,20,21,17,14,18,14,14,23,23,16,24,17,7,14,14,36,29,40,24,13,22,16,7,49,20
Bassens,PM10,2013-02-01,9,6,11,15,11,10,14,14,27,12,4,19,33,23,19,31,30,36,34,40,28,20,34,33,21,37,65,43,,,,4,65,24
Bassens,PM10,2013-03-01,47,47,70,42,17,7,12,17,10,10,14,9,22,23,25,17,11,12,13,16,11,12,11,8,28,36,27,43,40,14,38,7,70,23
Bassens,PM10,2013-04-01,21,27,36,,37,46,38,19,21,27,14,13,11,8,16,14,21,23,20,11,14,21,17,11,18,26,8,11,18,10,,8,46,20
Bassens,PM10,2013-05-01,5,8,25,31,17,11,14,6,9,9,13,9,14,11,9,10,9,5,13,9,12,18,15,15,7,8,9,9,8,20,18,5,31,12
Bassens,NO2,2013-01-01,12,34,65,22,13,14,32,21,20,29,47,25,17,23,30,14,26,20,15,15,18,23,34,17,34,27,15,32,30,30,35,12,65,25
Bassens,NO2,2013-02-01,18,10,12,23,19,15,31,23,36,12,25,33,36,27,34,32,24,29,28,31,20,12,12,17,25,38,33,35,,,,10,38,25
Bassens,NO2,2013-03-01,20,26,32,18,8,15,23,23,27,17,19,14,13,25,45,17,18,18,29,29,27,17,25,14,18,19,25,20,26,15,14,8,45,21
Bassens,NO2,2013-04-01,13,21,35,22,36,18,18,23,17,25,33,23,19,7,21,21,21,16,16,12,20,29,29,21,16,25,11,9,19,16,,7,36,20
Bassens,NO2,2013-05-01,18,24,19,22,12,20,21,11,13,18,15,11,27,24,16,24,15,11,9,10,21,15,14,17,10,13,17,13,14,18,17,9,27,16
Bassens,NO,2013-01-01,1,14,49,4,1,2,11,10,7,8,24,1,4,5,6,1,6,3,2,2,2,2,15,3,50,4,1,7,7,11,7,1,50,9
Bassens,NO,2013-02-01,3,2,1,4,3,3,6,5,12,0,4,21,34,8,12,9,2,3,4,12,4,2,2,2,5,21,4,13,,,,0,34,7
Bassens,NO,2013-03-01,3,10,11,2,0,1,5,2,1,0,1,2,1,5,25,0,1,2,3,4,2,1,2,0,2,4,3,2,3,1,1,0,25,3
Bassens,NO,2013-04-01,0,2,22,2,10,2,0,2,1,2,5,2,1,0,4,2,3,2,2,1,1,4,17,3,1,2,1,0,4,2,,0,22,3
Bassens,NO,2013-05-01,3,3,2,2,1,7,2,1,1,3,1,1,9,5,1,5,4,1,0,0,2,1,2,4,1,1,2,2,3,2,2,0,9,2
Bassens,SO2,2013-01-01,1,1,1,0,0,6,3,1,5,3,3,2,5,6,9,4,3,2,5,6,9,2,8,4,6,7,4,6,1,10,22,0,22,5
Bassens,SO2,2013-02-01,4,8,8,4,12,9,17,1,7,0,1,5,5,6,3,0,0,0,0,1,0,0,4,8,16,0,0,0,,,,0,17,4
Bassens,SO2,2013-03-01,0,1,1,0,0,0,1,4,3,16,1,1,0,4,2,0,2,1,7,14,0,0,0,0,0,1,1,1,1,0,1,0,16,2
Bassens,SO2,2013-04-01,0,1,1,11,3,2,0,1,8,1,1,1,0,0,0,0,0,0,1,2,7,12,2,0,0,1,2,0,0,0,,0,12,2
Bassens,SO2,2013-05-01,0,3,2,4,1,0,5,1,3,1,1,5,4,2,5,3,1,0,2,5,4,2,4,1,7,0,2,2,2,0,8,0,8,3
