Département,Budget,Type nomenclature,Exercice,Type fichier,Date vote,Dépense/Recette,Investissement/Fonctionnement,Réel/Ordre id/Ordre diff,Chapitre,Sous-chapitre,Opération,Article,Rubrique fonctionnelle,Libellé,Code devise,Montant,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C454421,,,A454421,R01     ,Recettes - Opération aménagement foncier (1),E,1829000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C27,,,A27634,R01     ,Créances sur les communes et structures intercommunales,E,651220,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C27,,,A2761,R01     ,Créances pour avances en garanties d emprunt,E,400000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C27,,,A2748,R01     ,Autres prêts,E,277219,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C27,,,A2743,R01     ,Prêts au personnel,E,3500,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C23,,,A23151,R18     ,Réseaux de voirie en cours,E,16250,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C23,,,A231312,R221    ,Immobilisations corporelles en cours - bâtiments scolaires,E,3000000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C204,,,A20414 ,R628    ,Subventions d équipement versées aux communes et structures intercommunales,E,617300,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C204,,,A20414 ,R621    ,Subventions d équipement versées aux communes et structures intercommunales,E,428100,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C16,,,A166,R01     ,Refinancement de dette,E,50000000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C16,,,A16449,R01     ,Opérations afférentes à l option de tirage sur ligne de trésorerie,E,173000000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C16,,,A16441,R01     ,Opérations afférentes à l emprunt,E,169500000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
