cell1,total
NAME,FRANCE_detailCSP_LIBOURNAIS
Autres personnes sans activité pro,215
Employés,167
Ouvriers,146
Professions intermédiaires,139
Retraités,99
Cadre et professions intellectuelles supérieures,37
Artisants commerçants chefs d'entreprise,28
Agriculteurs exploitants,4
Autres personnes sans activité pro,162
Professions intermédiaires,120
Retraités,111
Employés,101
Cadre et professions intellectuelles supérieures,65
Ouvriers,46
Artisants commerçants chefs d'entreprise,20
Agriculteurs exploitants,5
Autres personnes sans activité pro,82
Professions intermédiaires,60
Employés,57
Ouvriers,43
Retraités,23
Cadre et professions intellectuelles supérieures,15
Artisants commerçants chefs d'entreprise,7
Agriculteurs exploitants,1
Professions intermédiaires,35
Employés,33
Autres personnes sans activité pro,28
Retraités,19
Cadre et professions intellectuelles supérieures,15
Ouvriers,13
Artisants commerçants chefs d'entreprise,7
Agriculteurs exploitants,2
Autres personnes sans activité pro,43
Employés,29
Retraités,17
Ouvriers,14
Professions intermédiaires,12
Cadre et professions intellectuelles supérieures,9
Artisants commerçants chefs d'entreprise,4
NULL,NULL
Autres personnes sans activité pro,27
Professions intermédiaires,24
Employés,21
Ouvriers,16
Retraités,12
Cadre et professions intellectuelles supérieures,11
Artisants commerçants chefs d'entreprise,3
Agriculteurs exploitants,1
Autres personnes sans activité pro,31
Professions intermédiaires,28
Employés,21
Retraités,10
Ouvriers,10
Cadre et professions intellectuelles supérieures,8
Artisants commerçants chefs d'entreprise,4
NULL,NULL
Retraités,30
Autres personnes sans activité pro,27
Professions intermédiaires,20
Employés,17
Ouvriers,7
Cadre et professions intellectuelles supérieures,6
Agriculteurs exploitants,1
Artisants commerçants chefs d'entreprise,1
Autres personnes sans activité pro,31
Employés,22
Ouvriers,15
Retraités,15
Cadre et professions intellectuelles supérieures,13
Professions intermédiaires,10
Artisants commerçants chefs d'entreprise,2
NULL,NULL
Employés,32
Autres personnes sans activité pro,26
Professions intermédiaires,17
Ouvriers,11
Cadre et professions intellectuelles supérieures,11
Artisants commerçants chefs d'entreprise,6
Retraités,5
NULL,NULL
