cell1,total
NAME,FRANCE_detailCSP_HAUTE-GIRONDE
Autres personnes sans activité pro,71
Employés,66
Retraités,54
Professions intermédiaires,42
Ouvriers,26
Cadre et professions intellectuelles supérieures,23
Artisants commerçants chefs d'entreprise,7
Agriculteurs exploitants,1
Autres personnes sans activité pro,68
Ouvriers,42
Employés,40
Retraités,28
Professions intermédiaires,23
Cadre et professions intellectuelles supérieures,21
Artisants commerçants chefs d'entreprise,6
Agriculteurs exploitants,1
Autres personnes sans activité pro,49
Employés,34
Professions intermédiaires,20
Ouvriers,19
Retraités,16
Cadre et professions intellectuelles supérieures,7
Artisants commerçants chefs d'entreprise,5
Agriculteurs exploitants,2
Autres personnes sans activité pro,23
Professions intermédiaires,16
Cadre et professions intellectuelles supérieures,14
Ouvriers,11
Employés,10
Retraités,7
Artisants commerçants chefs d'entreprise,2
NULL,NULL
Autres personnes sans activité pro,30
Professions intermédiaires,17
Retraités,11
Cadre et professions intellectuelles supérieures,10
Employés,7
Ouvriers,6
Artisants commerçants chefs d'entreprise,1
NULL,NULL
Autres personnes sans activité pro,22
Professions intermédiaires,15
Cadre et professions intellectuelles supérieures,13
Employés,9
Retraités,7
Ouvriers,6
Artisants commerçants chefs d'entreprise,1
NULL,NULL
Autres personnes sans activité pro,19
Employés,16
Retraités,8
Professions intermédiaires,8
Ouvriers,4
Cadre et professions intellectuelles supérieures,4
NULL,NULL
NULL,NULL
Autres personnes sans activité pro,16
Ouvriers,13
Employés,7
Cadre et professions intellectuelles supérieures,7
Retraités,6
Professions intermédiaires,6
Artisants commerçants chefs d'entreprise,1
Agriculteurs exploitants,1
Autres personnes sans activité pro,18
Professions intermédiaires,14
Employés,9
Retraités,8
Ouvriers,3
Cadre et professions intellectuelles supérieures,1
Agriculteurs exploitants,1
NULL,NULL
Autres personnes sans activité pro,14
Professions intermédiaires,10
Cadre et professions intellectuelles supérieures,9
Retraités,5
Ouvriers,4
Employés,4
Artisants commerçants chefs d'entreprise,1
NULL,NULL
