Site,Code,Libellé DP,adresse,Numéro interne,Politique publique,Catégorie de sites,Date création,Statut,latitude,longitude
ARTIGUES-PRES-BORDEAUX MPS,S0218,ARTIGUES-PRES-BORDEAUX MPS S0218,24 Avenue Virecourt 33370 Artigues-près-Bordeaux,9150,06 Performance de collectivité,8-ADMINISTRATIONS DIVERSES,13/07/1999,propriétaire,44.854845,-0.499042
IZON PORT FRAYCHE,S0614,IZON PORT FRAYCHE S0614,Chemin Vert 33450 Izon,97341,05 Mobilité,9-INFRASTRUCTURES ET TRANSPORTS,09/11/2000,propriétaire,44.92524,-0.36321
BRAUD-ET-ST-LOUIS FOYER,S1571,BRAUD-ET-ST-LOUIS FOYER S1571,42 Avenue de la République 33820 Braud-et-Saint-Louis,773192,08 Solidarité autonomie et santé,6-SOLIDARITE LOGEMENT SOCIAL,21/11/2003,propriétaire,45.249953,-0.625126
LACANAU ENS RIVES-DE-L'ETANG,S0635,LACANAU ENS RIVES-DE-L'ETANG S0635,Batejin 33680 Lacanau,97411,07 Protection valorisation environnement,5-ENVIRONNEMENT,09/02/2001,propriétaire,44.935141,-1.127044
CAVIGNAC PERM,S0611,CAVIGNAC PERM S0611,61 Avenue de Paris 33620 Cavignac,97347,08 Solidarité autonomie et santé,6-SOLIDARITE LOGEMENT SOCIAL,17/11/2000,locataire,45.100151,-0.389614
BIGANOS AS,S0621,BIGANOS AS S0621,1 Rue Jean Zay 33380 Biganos,97356,08 Solidarité autonomie et santé,6-SOLIDARITE LOGEMENT SOCIAL,11/12/2000,locataire,44.642335,-0.976279
BORDEAUX MDSI CANIHAC,S1585,BORDEAUX MDSI CANIHAC S1585,18 Rue Canihac 33000 Bordeaux,773778,08 Solidarité autonomie et santé,6-SOLIDARITE LOGEMENT SOCIAL,20/02/2004,propriétaire,44.834071,-0.574378
LACANAU FORET BORDES,S0831,LACANAU FORET BORDES S0831,Les As 33680 Lacanau,97626,07 Protection valorisation environnement,5-ENVIRONNEMENT,18/07/2001,propriétaire,45.000428,-1.183289
MOULON ENS PALUS-DE-DORDOGNE,S0793,MOULON ENS PALUS-DE-DORDOGNE S0793,Ninon 33420 Moulon,97526,07 Protection valorisation environnement,5-ENVIRONNEMENT,19/04/2001,propriétaire,44.848904,-0.220865
AUDENGE PORT CENTRE,S0779,AUDENGE PORT CENTRE S0779,Rue Arago 33980 Audenge,97547,05 Mobilité,9-INFRASTRUCTURES ET TRANSPORTS,20/04/2001,propriétaire,44.6815,-1.006267
