Nom_court,nom_long,X,Y,lon,lat
Arsac,Centre de transfert d'Arsac,410400,6438242,-0.67535049834879,44.9827308870228
Latule,Centre de transfert de Bordeaux- Latule,419936,6426483,-0.547793167305454,44.8808942187067
Castelnau,Centre de transfert de Castelnau Médoc,401370,6443947,-0.793253433641614,45.0301963275437
Fargues,Centre de transfert de Fargues,440107,6386844,-0.271782731637663,44.5322005495817
La Teste,Centre de transfert de La Teste de Buch,373641,6397495,-1.11414301573769,44.6000073188761
Lège,Centre de transfert de Lège Cap Ferret,371313,6418915,-1.15764100384235,44.7914867238095
Massugas,Centre de transfert de Massugas,465064,6403363,0.0342828228524041,44.6896698924052
Mios (2012),Centre de transfert de Mios,387441,6400401,-0.942300243835221,44.6324698742346
Pompignac,Centre de transfert de Pompignac,427796,6424356,-0.447177094443849,44.8648962033027
Saint-Denis-de-Pile,Centre de transfert de Saint Denis de Pile,451903,6437704,-0.148963417443698,44.9940341071844
Saint-Girons,Centre de transfert de Saint Girons d'Aiguevives,421966,6455329,-0.538476047890004,45.1411752963557
???,Centre de transfert de Saint Laurent Médoc,401370,6443947,,
Saint Léon,Centre de transfert de Saint Léon,440811,6413108,-0.276642562297256,44.7687069125313
Touban,Centre de transfert Saint Médard en Jalles - Touban,406452,6424325,-0.717073257539757,44.8559026829488
ISDND Lapouyade,CSDU de Lapouyade,440878,6452881,-0.296777184550036,45.1265218919544
ISDND Naujac,CSDU de Naujac,379378,6471944,-1.09052572520145,45.2720890303323
UVE - Astria,UIOM de Bègles - ASTRIA,420503,6418756,-0.536239462951076,44.8116243998367
UVE - Cenon,UIOM de Cenon,422253,6423131,-0.516591051015002,44.8516779055886
