NUMTOUR,CODDPT,CODSUBCOM,LIBSUBCOM,CODBURVOT,CODCAN,LIBCAN,NBRINS,NBRVOT,NBREXP,NUMDEPCAND,LIBLISEXT,CODNUA,NBRVOIX
2,33,1,Abzac,1,21,Le Nord-Libournais,740,359,349,21,M. ABANADES Jean-Claude et Mme DUGOURD Chantal,BC-UD,84
2,33,1,Abzac,1,21,Le Nord-Libournais,740,359,349,28,Mme LACOSTE Michelle et M. MAROIS Alain,BC-SOC,134
2,33,1,Abzac,1,21,Le Nord-Libournais,740,359,349,134,M. BOSJEAN Bernard et Mme ROBIN Monique,BC-FN,131
2,33,1,Abzac,2,21,Le Nord-Libournais,697,350,335,21,M. ABANADES Jean-Claude et Mme DUGOURD Chantal,BC-UD,126
2,33,1,Abzac,2,21,Le Nord-Libournais,697,350,335,28,Mme LACOSTE Michelle et M. MAROIS Alain,BC-SOC,95
2,33,1,Abzac,2,21,Le Nord-Libournais,697,350,335,134,M. BOSJEAN Bernard et Mme ROBIN Monique,BC-FN,114
2,33,2,Aillas,1,27,Le Réolais et Les Bastides,585,407,391,87,Mme CHADOURNE Sandrine et M. DUVAL CAMPANA Patrick,BC-FN,62
2,33,2,Aillas,1,27,Le Réolais et Les Bastides,585,407,391,116,M. CASTAGNET Bernard et Mme GUIONIE Christelle,BC-SOC,152
2,33,2,Aillas,1,27,Le Réolais et Les Bastides,585,407,391,120,M. D'AMECOURT Yves et Mme SELLIER Sophie,BC-UD,177
2,33,3,Ambarès-et-Lagrave,1,26,La Presqu'île,717,316,274,39,Mme DROUHAUT Valérie et M. LAPORTE Hubert,BC-DVD,151
2,33,3,Ambarès-et-Lagrave,1,26,La Presqu'île,717,316,274,143,Mme BEDU Anne-Laure et M. GARRIGUE Philippe,BC-UG,123
2,33,3,Ambarès-et-Lagrave,2,26,La Presqu'île,1013,448,388,39,Mme DROUHAUT Valérie et M. LAPORTE Hubert,BC-DVD,206
2,33,3,Ambarès-et-Lagrave,2,26,La Presqu'île,1013,448,388,143,Mme BEDU Anne-Laure et M. GARRIGUE Philippe,BC-UG,182
2,33,3,Ambarès-et-Lagrave,3,26,La Presqu'île,946,448,396,39,Mme DROUHAUT Valérie et M. LAPORTE Hubert,BC-DVD,182
2,33,3,Ambarès-et-Lagrave,3,26,La Presqu'île,946,448,396,143,Mme BEDU Anne-Laure et M. GARRIGUE Philippe,BC-UG,214
2,33,3,Ambarès-et-Lagrave,4,26,La Presqu'île,454,205,180,39,Mme DROUHAUT Valérie et M. LAPORTE Hubert,BC-DVD,84
2,33,3,Ambarès-et-Lagrave,4,26,La Presqu'île,454,205,180,143,Mme BEDU Anne-Laure et M. GARRIGUE Philippe,BC-UG,96
2,33,3,Ambarès-et-Lagrave,5,26,La Presqu'île,838,378,320,39,Mme DROUHAUT Valérie et M. LAPORTE Hubert,BC-DVD,189
2,33,3,Ambarès-et-Lagrave,5,26,La Presqu'île,838,378,320,143,Mme BEDU Anne-Laure et M. GARRIGUE Philippe,BC-UG,131
2,33,3,Ambarès-et-Lagrave,6,26,La Presqu'île,850,420,377,39,Mme DROUHAUT Valérie et M. LAPORTE Hubert,BC-DVD,202
2,33,3,Ambarès-et-Lagrave,6,26,La Presqu'île,850,420,377,143,Mme BEDU Anne-Laure et M. GARRIGUE Philippe,BC-UG,175
2,33,3,Ambarès-et-Lagrave,7,26,La Presqu'île,927,356,319,39,Mme DROUHAUT Valérie et M. LAPORTE Hubert,BC-DVD,179
2,33,3,Ambarès-et-Lagrave,7,26,La Presqu'île,927,356,319,143,Mme BEDU Anne-Laure et M. GARRIGUE Philippe,BC-UG,140
2,33,3,Ambarès-et-Lagrave,8,26,La Presqu'île,1315,505,445,39,Mme DROUHAUT Valérie et M. LAPORTE Hubert,BC-DVD,214
2,33,3,Ambarès-et-Lagrave,8,26,La Presqu'île,1315,505,445,143,Mme BEDU Anne-Laure et M. GARRIGUE Philippe,BC-UG,231
2,33,3,Ambarès-et-Lagrave,9,26,La Presqu'île,852,347,312,39,Mme DROUHAUT Valérie et M. LAPORTE Hubert,BC-DVD,165
2,33,3,Ambarès-et-Lagrave,9,26,La Presqu'île,852,347,312,143,Mme BEDU Anne-Laure et M. GARRIGUE Philippe,BC-UG,147
2,33,3,Ambarès-et-Lagrave,10,26,La Presqu'île,1023,438,391,39,Mme DROUHAUT Valérie et M. LAPORTE Hubert,BC-DVD,205
2,33,3,Ambarès-et-Lagrave,10,26,La Presqu'île,1023,438,391,143,Mme BEDU Anne-Laure et M. GARRIGUE Philippe,BC-UG,186
2,33,3,Ambarès-et-Lagrave,11,26,La Presqu'île,754,305,268,39,Mme DROUHAUT Valérie et M. LAPORTE Hubert,BC-DVD,152
2,33,3,Ambarès-et-Lagrave,11,26,La Presqu'île,754,305,268,143,Mme BEDU Anne-Laure et M. GARRIGUE Philippe,BC-UG,116
2,33,4,Ambès,1,26,La Presqu'île,871,418,379,39,Mme DROUHAUT Valérie et M. LAPORTE Hubert,BC-DVD,209
2,33,4,Ambès,1,26,La Presqu'île,871,418,379,143,Mme BEDU Anne-Laure et M. GARRIGUE Philippe,BC-UG,170
2,33,4,Ambès,2,26,La Presqu'île,777,406,373,39,Mme DROUHAUT Valérie et M. LAPORTE Hubert,BC-DVD,211
2,33,4,Ambès,2,26,La Presqu'île,777,406,373,143,Mme BEDU Anne-Laure et M. GARRIGUE Philippe,BC-UG,162
2,33,4,Ambès,3,26,La Presqu'île,477,211,196,39,Mme DROUHAUT Valérie et M. LAPORTE Hubert,BC-DVD,104
2,33,4,Ambès,3,26,La Presqu'île,477,211,196,143,Mme BEDU Anne-Laure et M. GARRIGUE Philippe,BC-UG,92
2,33,5,Andernos-les-Bains,1,1,Andernos-les-Bains,925,479,452,33,Mme LARRUE Marie et M. PERRIERE Jean-Guy,BC-UD,289
2,33,5,Andernos-les-Bains,1,1,Andernos-les-Bains,925,479,452,88,M. LUSIGNAN Marc et Mme SOMBRUN Claire,BC-UG,163
2,33,5,Andernos-les-Bains,2,1,Andernos-les-Bains,899,463,423,33,Mme LARRUE Marie et M. PERRIERE Jean-Guy,BC-UD,256
2,33,5,Andernos-les-Bains,2,1,Andernos-les-Bains,899,463,423,88,M. LUSIGNAN Marc et Mme SOMBRUN Claire,BC-UG,167
2,33,5,Andernos-les-Bains,3,1,Andernos-les-Bains,1034,465,418,33,Mme LARRUE Marie et M. PERRIERE Jean-Guy,BC-UD,279
2,33,5,Andernos-les-Bains,3,1,Andernos-les-Bains,1034,465,418,88,M. LUSIGNAN Marc et Mme SOMBRUN Claire,BC-UG,139
2,33,5,Andernos-les-Bains,4,1,Andernos-les-Bains,833,451,415,33,Mme LARRUE Marie et M. PERRIERE Jean-Guy,BC-UD,251
2,33,5,Andernos-les-Bains,4,1,Andernos-les-Bains,833,451,415,88,M. LUSIGNAN Marc et Mme SOMBRUN Claire,BC-UG,164
2,33,5,Andernos-les-Bains,5,1,Andernos-les-Bains,849,455,424,33,Mme LARRUE Marie et M. PERRIERE Jean-Guy,BC-UD,287
2,33,5,Andernos-les-Bains,5,1,Andernos-les-Bains,849,455,424,88,M. LUSIGNAN Marc et Mme SOMBRUN Claire,BC-UG,137
2,33,5,Andernos-les-Bains,6,1,Andernos-les-Bains,867,383,336,33,Mme LARRUE Marie et M. PERRIERE Jean-Guy,BC-UD,214
2,33,5,Andernos-les-Bains,6,1,Andernos-les-Bains,867,383,336,88,M. LUSIGNAN Marc et Mme SOMBRUN Claire,BC-UG,122
2,33,5,Andernos-les-Bains,7,1,Andernos-les-Bains,900,496,454,33,Mme LARRUE Marie et M. PERRIERE Jean-Guy,BC-UD,299
2,33,5,Andernos-les-Bains,7,1,Andernos-les-Bains,900,496,454,88,M. LUSIGNAN Marc et Mme SOMBRUN Claire,BC-UG,155
2,33,5,Andernos-les-Bains,8,1,Andernos-les-Bains,1091,584,533,33,Mme LARRUE Marie et M. PERRIERE Jean-Guy,BC-UD,348
2,33,5,Andernos-les-Bains,8,1,Andernos-les-Bains,1091,584,533,88,M. LUSIGNAN Marc et Mme SOMBRUN Claire,BC-UG,185
2,33,5,Andernos-les-Bains,9,1,Andernos-les-Bains,911,476,439,33,Mme LARRUE Marie et M. PERRIERE Jean-Guy,BC-UD,270
2,33,5,Andernos-les-Bains,9,1,Andernos-les-Bains,911,476,439,88,M. LUSIGNAN Marc et Mme SOMBRUN Claire,BC-UG,169
2,33,5,Andernos-les-Bains,10,1,Andernos-les-Bains,988,571,531,33,Mme LARRUE Marie et M. PERRIERE Jean-Guy,BC-UD,347
2,33,5,Andernos-les-Bains,10,1,Andernos-les-Bains,988,571,531,88,M. LUSIGNAN Marc et Mme SOMBRUN Claire,BC-UG,184
2,33,5,Andernos-les-Bains,11,1,Andernos-les-Bains,745,366,343,33,Mme LARRUE Marie et M. PERRIERE Jean-Guy,BC-UD,223
2,33,5,Andernos-les-Bains,11,1,Andernos-les-Bains,745,366,343,88,M. LUSIGNAN Marc et Mme SOMBRUN Claire,BC-UG,120
