idENT_NCA;NOM;SOUS_TYPE;CODE_INSEE;TYPE;geometry
06088AG05063A;ELEMENTAIRE JEAN PIAGET;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.30737327, 43.73908607]}
06088AP09906A;ELEMENTAIRE RISSO;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.28475101, 43.70753278]}
06088BA0244469B;ELEMENTAIRE SAINT PANCRACE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.23699563, 43.73754293]}
06088AA05282A;ELEMENTAIRE TERRA AMATA;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.29017721, 43.69984306]}
06088AA116065B;ELEMENTAIRE II NICE FLORE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.21846267, 43.67053403]}
06088AL05284A;ELEMENTAIRE II BISCHOFFSHEIM;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.29254475, 43.70608186]}
06088AM004457A;ELEMENTAIRE CHALET DES ROSES;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.24040512, 43.69752577]}
06088AO00771B;ELEMENTAIRE SAINT PIERRE DE FERIC;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.23601836, 43.71789152]}
06088AJ041813A;ELEMENTAIRE SAINT ANTOINE DE GINESTIERE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.21466898, 43.70955657]}
06088AS0836290A;ELEMENTAIRE JULES VERNE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.20130557, 43.6910276]}
06088AL007713A;ELEMENTAIRE RONCHESE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.2687386, 43.70196857]}
06088BA0244469A;MATERNELLE SAINT PANCRACE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.23694512, 43.73738073]}
06088AT0451212B;MATERNELLE II BON VOYAGE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.28743823, 43.7261512]}
06088AT033547B;MATERNELLE SAINT ROMAN DE BELLET;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.21428229, 43.74286417]}
06088AB03794A0;GROUPE SCOLAIRE SAINT PHILIPPE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.24809884, 43.70115774]}
06088AJ041813A0;GROUPE SCOLAIRE SAINT ANTOINE DE GINESTIERE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.21461599, 43.7092657]}
06088AG0044190A0;GROUPE SCOLAIRE GAIRAUTINE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.2632401, 43.73682507]}
06088AO00605A0;GROUPE SCOLAIRE ARIANE SUD;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.29889725, 43.73878653]}
06088AB0979127B0;GROUPE SCOLAIRE LYCETTE DARSONVAL;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.27232215, 43.72596061]}
06088AS033318A;MATERNELLE SAINT ISIDORE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.19318554, 43.71189687]}
06088AH0176123A;MATERNELLE ACACIAS;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.27039422, 43.73104338]}
06088AM14744B;MATERNELLE MOULINS;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.21056383, 43.67157063]}
06088AC1793156B;MATERNELLE GENETS;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.22925801, 43.71454752]}
06088AS09652D;MATERNELLE BOIS DE BOULOGNE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.20379262, 43.67303542]}
06088AG03195A;MATERNELLE JULES FERRY;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.28040861, 43.7110685]}
06088AR0341148B;MATERNELLE AIRE ST MICHEL;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.26952567, 43.74436488]}
06088AB0979127B;MATERNELLE LYCETTE DARSONVAL;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.2725187, 43.72601239]}
06088AP00335B;ELEMENTAIRE KEREM MENAHEM;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.26380598, 43.70198639]}
06088AM0044279A;ELEMENTAIRE BARSAMIAN;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.2245032, 43.71448129]}
