Maison des Associations;Date;Heure de début;Heure de fin;Activité;Type de réservation;;Association
CESSOLE SAINT SYLVESTRE;27/10/2015;10H00;12H00;SENIORS;PERMANENCE;;CLUB DU 3EME AGE DE LAS PLANAS
CESSOLE SAINT SYLVESTRE;27/10/2015;14H00;18H00;SENIORS;PERMANENCE;;CLUB DU 3EME AGE DE LAS PLANAS
CESSOLE SAINT SYLVESTRE;28/10/2015;18H00;20H00;ACTIVITE BIEN ETRE;COURS;;LES COULEURS DU CIEL ART THERAPIE ET YOGA
CESSOLE SAINT SYLVESTRE;31/10/2015;15H00;17H00;LOISIRS;COURS;;DANSONS
CESSOLE SAINT SYLVESTRE;31/10/2015;18H00;20H00;LOISIRS;ASSEMBLEE GENERALE;;SAVA - SPORT ACTION VOYAGES AMITIE 
COMTE DE FALICON;26/10/2015;09H00;12H00;SOCIAL;PERMANENCE;;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
COMTE DE FALICON;26/10/2015;09H00;12H00;MUSIQUE;COURS;;MCT - MUSIQUE CA TOURNE !
COMTE DE FALICON;26/10/2015;09H00;12H00;SOCIAL;PERMANENCE;;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
COMTE DE FALICON;26/10/2015;14H00;16H00;INFORMATIQUE;COURS;;EAASII
COMTE DE FALICON;26/10/2015;14H00;17H00;MUSIQUE;COURS;;MCT - MUSIQUE CA TOURNE !
COMTE DE FALICON;27/10/2015;09H00;12H00;SOCIAL;PERMANENCE;;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
COMTE DE FALICON;27/10/2015;09H00;12H00;ACTIVITE BIEN ETRE;COURS;;LES PONTS DES PIES
COMTE DE FALICON;27/10/2015;09H00;12H00;SOCIAL;PERMANENCE;;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
COMTE DE FALICON;27/10/2015;09H00;12H00;MUSIQUE;COURS;;MCT - MUSIQUE CA TOURNE !
COMTE DE FALICON;27/10/2015;14H00;17H00;MUSIQUE;COURS;;MCT - MUSIQUE CA TOURNE !
COMTE DE FALICON;27/10/2015;14H00;16H00;INFORMATIQUE;COURS;;EAASII
COMTE DE FALICON;27/10/2015;18H00;20H00;ACTIVITE BIEN ETRE;COURS;;DE L'ETOILE O SAMA
COMTE DE FALICON;28/10/2015;09H00;12H00;MUSIQUE;COURS;;MCT - MUSIQUE CA TOURNE !
COMTE DE FALICON;28/10/2015;14H00;17H00;MUSIQUE;COURS;;MCT - MUSIQUE CA TOURNE !
COMTE DE FALICON;28/10/2015;17H00;19H00;HANDICAP;ATELIER;;LRC - LES RENCONTRES CHANTANTES
COMTE DE FALICON;29/10/2015;09H00;12H00;SOCIAL;PERMANENCE;;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
