Maison des Associations;Date ;Heure de début;Heure de fin;Activité;Type de réservation;Association
CESSOLE SAINT SYLVESTRE;11/01/2016;18H00;21H00;ACTIVITE BIEN ETRE;COURS;ENVIE D'ENERGIE
CESSOLE SAINT SYLVESTRE;12/01/2016;10H00;12H00;SENIORS;PERMANENCE;CLUB DU 3EME AGE DE LAS PLANAS
CESSOLE SAINT SYLVESTRE;12/01/2016;14H00;18H00;SENIORS;PERMANENCE;CLUB DU 3EME AGE DE LAS PLANAS
CESSOLE SAINT SYLVESTRE;12/01/2016;18H00;20H00;ACTIVITE BIEN ETRE;COURS;LE BIEN ETRE PAR LE QI GONG
CESSOLE SAINT SYLVESTRE;13/01/2016;18H00;21H00;ACTIVITE BIEN ETRE;COURS;LES PONTS DES PIES
CESSOLE SAINT SYLVESTRE;14/01/2016;18H00;21H00;CHANT;COURS;AILN - ASSOCIATION DES INTERPRETES LYRIQUES DE NICE
CESSOLE SAINT SYLVESTRE;16/01/2016;10H00;12H00;ACTIVITE BIEN ETRE;COURS;ENVIE D'ENERGIE
CESSOLE SAINT SYLVESTRE;16/01/2016;14H00;17H00;COURS DE LANGUE;REUNION;MANABI
CESSOLE SAINT SYLVESTRE;16/01/2016;18H00;21H00;LOISIRS;REUNION;SAVA - SPORT ACTION VOYAGES AMITIE 
CESSOLE SAINT SYLVESTRE;16/01/2016;21H00;23H00;CULTURE;REUNION;ACCA - ASSOCIATION CONGOLAISE DE LA COTE D'AZUR
COMTE DE FALICON;11/01/2016;09H00;12H00;SOCIAL;PERMANENCE;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
COMTE DE FALICON;11/01/2016;09H00;12H00;SOCIAL;PERMANENCE;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
COMTE DE FALICON;11/01/2016;14H00;18H00;SENIORS;REUNION;ACCOMPAGNIA'DOM
COMTE DE FALICON;11/01/2016;14H00;17H00;ARTS PLASTIQUES;COURS;ETOILE D'AZUR
COMTE DE FALICON;11/01/2016;17H00;19H00;SOUTIEN SCOLAIRE;COURS;APPESE - ASS. POUR LA PROMOTION DE LA PREVENTION ET DE L'ECONOMIE SOCIALE EN EUROPE
COMTE DE FALICON;11/01/2016;17H00;19H00;SOUTIEN SCOLAIRE;COURS;APPESE - ASS. POUR LA PROMOTION DE LA PREVENTION ET DE L'ECONOMIE SOCIALE EN EUROPE
COMTE DE FALICON;11/01/2016;18H00;20H00;PROXIMITE;REUNION;COMITE DE QUARTIER SAINT SYLVESTRE - SAINT BARTHELEMY SUPERIEUR
COMTE DE FALICON;12/01/2016;09H00;12H00;SOCIAL;PERMANENCE;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
COMTE DE FALICON;12/01/2016;09H00;12H00;ACTIVITE BIEN ETRE;COURS;LES PONTS DES PIES
COMTE DE FALICON;12/01/2016;09H00;12H00;SOCIAL;PERMANENCE;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
COMTE DE FALICON;12/01/2016;10H00;12H00;LOISIRS;COURS;AJFS - JEUNESSE FRANCO-SLAVE
COMTE DE FALICON;12/01/2016;16H00;18H00;SOCIAL;PERMANENCE;CHRYSALIDES
COMTE DE FALICON;12/01/2016;17H00;19H00;SOUTIEN SCOLAIRE;COURS;APPESE - ASS. POUR LA PROMOTION DE LA PREVENTION ET DE L'ECONOMIE SOCIALE EN EUROPE
COMTE DE FALICON;12/01/2016;18H00;20H00;ACTIVITE BIEN ETRE;COURS;DE L'ETOILE O SAMA
COMTE DE FALICON;13/01/2016;14H00;17H00;COURS DE LANGUE;COURS;MINI SCHOOLS - RELAIS M.S. 
COMTE DE FALICON;13/01/2016;14H00;20H00;MUSIQUE;COURS;DIFART
COMTE DE FALICON;13/01/2016;14H00;16H00;LOISIRS;COURS;SAVA - SPORT ACTION VOYAGES AMITIE 
COMTE DE FALICON;13/01/2016;17H00;19H00;HANDICAP;ATELIER;LRC - LES RENCONTRES CHANTANTES
COMTE DE FALICON;13/01/2016;18H00;20H00;ACTIVITE BIEN ETRE;COURS;LES COULEURS DU CIEL ART THERAPIE ET YOGA
COMTE DE FALICON;14/01/2016;09H00;12H00;SOCIAL;PERMANENCE;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
COMTE DE FALICON;14/01/2016;09H00;12H00;ACTIVITE BIEN ETRE;COURS;LES PONTS DES PIES
COMTE DE FALICON;14/01/2016;09H00;12H00;SOCIAL;PERMANENCE;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
COMTE DE FALICON;14/01/2016;14H00;15H00;HANDICAP;PERMANENCE;LE CHEMIN DES REVES
COMTE DE FALICON;14/01/2016;14H00;16H00;ARTS PLASTIQUES;COURS;ETOILE D'AZUR
COMTE DE FALICON;14/01/2016;14H00;16H00;ACTIVITE BIEN ETRE;COURS;LE BIEN ETRE PAR LE QI GONG
COMTE DE FALICON;14/01/2016;17H00;19H00;SOUTIEN SCOLAIRE;COURS;APPESE - ASS. POUR LA PROMOTION DE LA PREVENTION ET DE L'ECONOMIE SOCIALE EN EUROPE
COMTE DE FALICON;14/01/2016;17H00;19H00;SOUTIEN SCOLAIRE;COURS;APPESE - ASS. POUR LA PROMOTION DE LA PREVENTION ET DE L'ECONOMIE SOCIALE EN EUROPE
COMTE DE FALICON;14/01/2016;18H00;19H00;HANDICAP;COURS;LRC - LES RENCONTRES CHANTANTES
COMTE DE FALICON;15/01/2016;09H00;12H00;SOCIAL;PERMANENCE;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
COMTE DE FALICON;15/01/2016;09H00;13H00;EMPLOI;DIVERS;CLAIE - COORDINATION LOCALE ET APPUI AUX INITIATIVES DANS L'ECONOMIE SOCIALE ET SOLIDAIRE
COMTE DE FALICON;15/01/2016;09H00;12H00;SOCIAL;PERMANENCE;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
COMTE DE FALICON;15/01/2016;12H00;14H00;ACTIVITE BIEN ETRE;COURS;LES COULEURS DU CIEL ART THERAPIE ET YOGA
COMTE DE FALICON;15/01/2016;14H00;17H00;ACTIVITE MANUELLE;COURS;LES VENUS DE POCHE
COMTE DE FALICON;15/01/2016;15H00;20H00;SOCIAL;REUNION;CHRYSALIDES
COMTE DE FALICON;15/01/2016;16H00;20H00;SOCIAL;PERMANENCE;CHRYSALIDES
COMTE DE FALICON;15/01/2016;16H00;19H00;MUSIQUE;COURS;DIFART
COMTE DE FALICON;15/01/2016;17H00;19H00;SOUTIEN SCOLAIRE;COURS;APPESE - ASS. POUR LA PROMOTION DE LA PREVENTION ET DE L'ECONOMIE SOCIALE EN EUROPE
COMTE DE FALICON;16/01/2016;10H00;13H00;SANTE;FORMATION;FEDERATION NATIONALE DES ORTHOPHONISTES
COMTE DE FALICON;16/01/2016;10H00;13H00;COURS DE LANGUE;DIVERS;MANABI
COMTE DE FALICON;16/01/2016;10H00;12H00;MUSIQUE;COURS;DIFART
COMTE DE FALICON;16/01/2016;10H00;13H00;COURS DE LANGUE;COURS;MANABI
COMTE DE FALICON;16/01/2016;14H00;18H00;SANTE;FORMATION;PREVENTION LANGAGE 06
COMTE DE FALICON;16/01/2016;14H00;18H00;SOCIAL;REUNION;LA PASSERELLE SENEGALAISE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;11/01/2016;15H00;17H00;AFFAIRES MILITAIRES;;ANOCR 06 - ASS. NALE DES OFFICIERS DE CARRIERE EN RETRAITE - GROUPEMENT DES ALPES-MARITIMES
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/01/2016;15H00;17H00;AFFAIRES MILITAIRES;;AGASM - ASSOCIATION GENERALE AMICALE DES SOUS MARINIERS
