idENT_NCA;NOM;SOUS_TYPE;CODE_INSEE;TYPE;geometry
06088AG00154B;MAIRIE ANNEXE ALBERT 1ER - GABRIEL FAURE;MAIRIE;06088;SERVICE PUBLIC;{"type": "Point", "coordinates": [7.26582933, 43.69589936]}
06088AM0594103B;MAIRIE ANNEXE ARENAS;MAIRIE;06088;SERVICE PUBLIC;{"type": "Point", "coordinates": [7.21822305, 43.66928424]}
06088AS083655A;MAIRIE ANNEXE CAUCADE;MAIRIE;06088;SERVICE PUBLIC;{"type": "Point", "coordinates": [7.21996421, 43.67806933]}
06088AC100111C;MAIRIE ANNEXE DE L'ARIANE;MAIRIE;06088;SERVICE PUBLIC;{"type": "Point", "coordinates": [7.29556681, 43.73673738]}
06088AT01103B;MAIRIE ANNEXE DE L'HOTEL DE VILLE;MAIRIE;06088;SERVICE PUBLIC;{"type": "Point", "coordinates": [7.27282161, 43.69672558]}
06088AD015452B;MAIRIE ANNEXE DE SAINT-ROCH;MAIRIE;06088;SERVICE PUBLIC;{"type": "Point", "coordinates": [7.29093258, 43.71525854]}
06088SF03852B;MAIRIE ANNEXE DU RAY;MAIRIE;06088;SERVICE PUBLIC;{"type": "Point", "coordinates": [7.25641886, 43.72520503]}
06088AC002212C;MAIRIE ANNEXE GAMBETTA - SAINT-PHILIPPE;MAIRIE;06088;SERVICE PUBLIC;{"type": "Point", "coordinates": [7.25451408, 43.69886454]}
06088AF0550118A;MAIRIE ANNEXE MAGNAN;MAIRIE;06088;SERVICE PUBLIC;{"type": "Point", "coordinates": [7.25131553, 43.69390759]}
06088AV05831B;MAIRIE ANNEXE PASTEUR - BON VOYAGE;MAIRIE;06088;SERVICE PUBLIC;{"type": "Point", "coordinates": [7.28693424, 43.72248023]}
06088AR03302B;MAIRIE ANNEXE PORT - REPUBLIQUE;MAIRIE;06088;SERVICE PUBLIC;{"type": "Point", "coordinates": [7.28395875, 43.70207417]}
06088AS096539O;MAIRIE ANNEXE SAINT-AUGUSTIN;MAIRIE;06088;SERVICE PUBLIC;{"type": "Point", "coordinates": [7.20297989, 43.67657369]}
06088SR00690A;MAIRIE ANNEXE SAINT-ROMAN DE BELLET;MAIRIE;06088;SERVICE PUBLIC;{"type": "Point", "coordinates": [7.21622645, 43.74609362]}
06088AM018732G;MAIRIE ANNEXE THIOLE - MALAUSSENA;MAIRIE;06088;SERVICE PUBLIC;{"type": "Point", "coordinates": [7.26270383, 43.70936392]}
06088AM116614C;MAIRIE ANNEXE TROIS COLLINES;MAIRIE;06088;SERVICE PUBLIC;{"type": "Point", "coordinates": [7.27700564, 43.72095096]}
