Maison des Associations;Date;Heure de début;Heure de fin;Activité;Type de réservation;Associations
CESSOLE SAINT SYLVESTRE;11/03/2019;18H00;20H00;ACTIVITE BIEN ETRE;COURS;LES COULEURS DU CIEL ART THERAPIE ET YOGA
CESSOLE SAINT SYLVESTRE;12/03/2019;09H00;10H00;SANTE;COURS;GYM DANTE ATHLE SANTE 06
CESSOLE SAINT SYLVESTRE;12/03/2019;14H00;18H00;SENIORS;PERMANENCE;CLUB DU 3EME AGE DE LAS PLANAS
CESSOLE SAINT SYLVESTRE;12/03/2019;18H00;19H00;SANTE;COURS;GYM DANTE ATHLE SANTE 06
CESSOLE SAINT SYLVESTRE;12/03/2019;20H00;21H00;DANSE ;COURS;BZM BROOKLYN ZUMBA MILLA
CESSOLE SAINT SYLVESTRE;16/03/2019;14H00;16H00;ACTIVITE BIEN ETRE;COURS;LES COULEURS DU CIEL ART THERAPIE ET YOGA
CESSOLE SAINT SYLVESTRE;16/03/2019;16H00;20H00;HUMANITAIRE;ATELIER;ESPOIR POUR LA BIRMANIE
CESSOLE SAINT SYLVESTRE;16/03/2019;20H00;23H00;SOCIAL;ASSEMBLEE GENERALE;AJAMAT UNE SYNERGIE DIOLA AU SERVICE DU DEVELOPPEMENT HUMAIN
COMTE DE FALICON;11/03/2019;10H00;12H00;SPORT;COURS;NICE COTE D'AZUR ATHLETISME
COMTE DE FALICON;11/03/2019;14H00;17H00;SANTE;COURS;ADAPT&FORM'
COMTE DE FALICON;13/03/2019;10H00;12H00;SPORT;COURS;NICE COTE D'AZUR ATHLETISME
COMTE DE FALICON;13/03/2019;12H00;15H00;MUSIQUE;COURS;DIFART
COMTE DE FALICON;13/03/2019;17H00;18H00;ARTS PLASTIQUES;COURS;ETOILE D'AZUR
COMTE DE FALICON;14/03/2019;09H00;17H00;SOCIAL;COURS;ABI 06 - ASSOCIATION AU BENEFICE DE L'INSERTION
COMTE DE FALICON;14/03/2019;14H00;16H00;ARTS PLASTIQUES;COURS;ETOILE D'AZUR
COMTE DE FALICON;14/03/2019;14H00;17H00;HANDICAP;REUNION;LE CHEMIN DES REVES
COMTE DE FALICON;14/03/2019;14H00;17H00;SANTE;FORMATION;ADAPT&FORM'
