INSEE;DATAPPRO;ETENDUE;LIBELLE;URLFIC;IDURBA;TYPEPSC;ID_NCA;TXT;NOMFIC;DATVALID;geometry
06114;2017-01-27;;Alignement strict;;00000611420170127;11;;ALI;;2013-09-20;{"type": "LineString", "coordinates": [[7.2869002, 43.73873462], [7.28696022, 43.7387228], [7.28700122, 43.73880058], [7.28703611, 43.7388731], [7.28708798, 43.7389846], [7.28712831, 43.73906502], [7.2871537, 43.73911358], [7.28719728, 43.73920577], [7.28722788, 43.73927251], [7.28723782, 43.73929393], [7.28726387, 43.73934472], [7.28729839, 43.73941221], [7.28705782, 43.73940141]]}
06114;2017-01-27;;Alignement strict;;00000611420170127;11;;ALI;;2013-09-20;{"type": "LineString", "coordinates": [[7.2872555, 43.73962099], [7.28740948, 43.73961573], [7.28740977, 43.73961969], [7.28742555, 43.73964772], [7.28748531, 43.7397718], [7.2873618, 43.73982695]]}
06114;2017-01-27;;Alignement strict;;00000611420170127;11;;ALI;;2013-09-20;{"type": "LineString", "coordinates": [[7.28741359, 43.73989782], [7.28752928, 43.7398692], [7.28756055, 43.73993474], [7.28761053, 43.7400411], [7.28763837, 43.74011236], [7.28767989, 43.74031971], [7.28768085, 43.74032256], [7.28769241, 43.74038725], [7.28771023, 43.74047397], [7.28772543, 43.74055078], [7.28773422, 43.7405918], [7.28774986, 43.74058983], [7.28776639, 43.74071913], [7.28776201, 43.74076164], [7.28773818, 43.74078377], [7.28761802, 43.74088052], [7.28759556, 43.74089915], [7.28758006, 43.74091292], [7.28754974, 43.740938], [7.28743795, 43.74102684]]}
06114;2017-01-27;;Alignement directionnel;;00000611420170127;11;;ALI_DIR;;2013-09-20;{"type": "LineString", "coordinates": [[7.28677314, 43.73749204], [7.28675929, 43.73748999], [7.28673909, 43.73746563], [7.28673965, 43.73740724], [7.28672436, 43.73728858], [7.28674439, 43.73718787], [7.28677765, 43.73713104], [7.28680114, 43.73709127], [7.28684638, 43.73701496], [7.28686263, 43.73698629], [7.28687609, 43.73694368], [7.28688175, 43.73689822], [7.28688055, 43.73684573], [7.2868778, 43.73677248], [7.28687096, 43.73666965]]}
06114;2017-01-27;;Alignement directionnel;;00000611420170127;11;;ALI_DIR;;2013-09-20;{"type": "LineString", "coordinates": [[7.28665529, 43.73769738], [7.28665606, 43.73770864], [7.28665822, 43.73773989], [7.28665908, 43.73777951], [7.28666028, 43.73781208], [7.28665847, 43.73782612], [7.28665814, 43.73784155], [7.28666032, 43.73787561], [7.28665088, 43.73787409], [7.28664397, 43.73790627], [7.28664382, 43.73790753], [7.28661946, 43.7380213], [7.28658991, 43.73817469], [7.28657089, 43.73817328], [7.28655552, 43.73817217], [7.28653565, 43.73817066]]}
06114;2017-01-27;;Alignement directionnel;;00000611420170127;11;;ALI_DIR;;2013-09-20;{"type": "LineString", "coordinates": [[7.28675415, 43.73907191], [7.28674693, 43.73938351]]}
06114;2017-01-27;;Alignement directionnel;;00000611420170127;11;;ALI_DIR;;2013-09-20;{"type": "LineString", "coordinates": [[7.28707976, 43.7394024], [7.28705282, 43.7393397], [7.28703997, 43.739291], [7.28692959, 43.73905811], [7.28695018, 43.73899359], [7.28697017, 43.73899492], [7.28696984, 43.73898881], [7.2869695, 43.73898594], [7.28696854, 43.73897642], [7.28695471, 43.73893461], [7.28694038, 43.73889093], [7.28691075, 43.73889525], [7.28688858, 43.73881177], [7.28688394, 43.73879627], [7.28687587, 43.73875667], [7.2869002, 43.73873462]]}
06114;2017-01-27;;Alignement directionnel;;00000611420170127;11;;ALI_DIR;;2013-09-20;{"type": "LineString", "coordinates": [[7.28646067, 43.73970106], [7.2865068, 43.73970789], [7.28655529, 43.73970986], [7.28673655, 43.7397167], [7.28673623, 43.73971273], [7.28678542, 43.73970899], [7.28679732, 43.73970849], [7.28680031, 43.73970874], [7.28682433, 43.7397107], [7.28687989, 43.73970734], [7.28719773, 43.739694], [7.28721229, 43.73989456], [7.28719035, 43.73990436], [7.28706676, 43.73996177], [7.28707064, 43.7399572], [7.28683172, 43.74006304], [7.2866402, 43.74016611], [7.28656722, 43.74019175], [7.28644331, 43.74022235], [7.28642126, 43.7402234], [7.28635315, 43.74022185], [7.28629887, 43.74022236], [7.2862783, 43.74022309], [7.28627706, 43.74020008], [7.28607105, 43.74020367], [7.28589233, 43.74018758], [7.28572818, 43.74012691], [7.28561958, 43.74010752], [7.28548997, 43.74010178]]}
06114;2017-01-27;;Alignement directionnel;;00000611420170127;11;;ALI_DIR;;2013-09-20;{"type": "LineString", "coordinates": [[7.28798416, 43.73689472], [7.28803532, 43.73662294], [7.2881149, 43.73644183], [7.28823779, 43.73616257], [7.28825347, 43.73611702], [7.28826959, 43.73597623], [7.28831026, 43.73586524], [7.28834346, 43.73577463], [7.28836261, 43.73558415], [7.28836311, 43.73534825], [7.28834248, 43.73503171], [7.28829696, 43.73496263]]}
06114;2017-01-27;;Alignement strict;;00000611420170127;11;;ALI;;2013-09-20;{"type": "LineString", "coordinates": [[7.28681034, 43.73767334], [7.28691076, 43.73767659], [7.28690364, 43.73775239], [7.28691321, 43.73775237], [7.28690414, 43.73783203], [7.28688586, 43.73796955], [7.28687207, 43.73805417], [7.28685034, 43.73821535], [7.28684206, 43.73827398], [7.2868453, 43.73836199], [7.28684767, 43.73843507], [7.28673539, 43.73844607]]}
