CANTON 8;;
;;
ARRETE PREFECTORAL DU 29/08/2016;;
N°;BUREAUX;ADRESSES
801;BEAUMONT;"Annexe Mairie
59, rue Beaumont"
802;BLANQUI;"Ecole La Capelina maternelle
47, rue Auguste Gal"
803;BLANCON;"Ecole La Capelina maternelle
47, rue Auguste Gal"
804;JEAN MACE;"Ecole Jean Macé mixte I
1, rue Général Tordo"
805;BISCHOFFSHEIM;"Ecole Bischoffsheim maternelle
2, rue Louis Garneray"
806;ARMEE DES ALPES;"Ecole Bischoffsheim maternelle
2, rue Louis Garneray"
807;SORGENTINO;"Ecole Bischoffsheim maternelle
2, rue Louis Garneray"
808;DIABLES BLEUS;"Ecole Bischoffsheim mixte I
6, rue Louis Garneray"
809;JEAN XXIII;"Ecole St Roch maternelle
2, rue Fornero Meneï"
810;MARECHAL VAUBAN;"Ecole St Roch mixte II
2, rue Fornero Meneï"
811;GIONO;"Ecole St Roch maternelle
2, rue Fornero Meneï"
812;ACCHIARDI;"Ecole St Roch maternelle
2, rue Fornero Meneï"
813;ROUSSILLON;"Ecole St Roch mixte II
2, rue Fornero Meneï"
814;FONTAN;"Ecole St Roch mixte II
2, rue Fornero Meneï"
815;FORNERO MENEI;"Ecole St Roch mixte II
2, rue Fornero Meneï"
816;SAINT ROCH;"Gymnase Leyrit
14, rue Fornero Méneï"
817;LEYRIT;"Gymnase Leyrit
14, rue Fornero Méneï"
818;DENIS SEMERIA;"Ecole St Charles maternelle
7, rue Pie François Toesca"
819;MONT GROS;"Ecole St Charles maternelle
7, rue Pie François Toesca"
820;SAINT CHARLES;"Ecole St Charles mixte
4, rue Joseph Miceu"
821;ROQUEBILLIERE;"Ecole St Charles mixte
4, rue Joseph Miceu"
822;PIERRE SEMARD;"Ecole St Charles mixte
4, rue Joseph Miceu"
823;MARECHAL LYAUTEY;"Ecole Jules Ferry maternelle
5, rue de la Gendarmerie"
824;NATHALIE MASSE;"Ecole Jules Ferry maternelle
5, rue de la Gendarmerie"
825;D'ANGELY;"Ecole Bischoffsheim mixte II
4, rue Louis Garneray"
