Année,Code du point de prélèvement,Nature de la ressource,Volume estimé
2003,C33119001,Nappe captive,643729
2003,C33119002,Nappe captive,21409
2003,C33119003,Nappe captive,38072
2004,C33119001,Nappe captive,349836
2004,C33119002,Nappe captive,7014
2004,C33119003,Nappe captive,3094
2005,C33119001,Nappe captive,477396
2005,C33119002,Nappe captive,6561
2005,C33119003,Nappe captive,40672
2005,C33119005,Nappe phréatique,4427
2006,C33119001,Nappe captive,333244
2006,C33119002,Nappe captive,8972
2006,C33119003,Nappe captive,4030
2006,C33119005,Nappe phréatique,14727
2007,C33119001,Nappe captive,174577
2007,C33119002,Nappe captive,12141
2007,C33119003,Nappe captive,1297
2007,C33119005,Nappe phréatique,2799
2008,C33119001,Nappe captive,3
2008,C33119002,Nappe captive,5535
2008,C33119003,Nappe captive,13126
2008,C33119005,Nappe phréatique,3228
2009,C33119001,Nappe captive,1258
2009,C33119002,Nappe captive,19639
2009,C33119003,Nappe captive,28094
2009,C33119005,Nappe phréatique,7119
2010,C33119001,Nappe captive,60578
2010,C33119002,Nappe captive,8142
2010,C33119003,Nappe captive,2321
2010,C33119005,Nappe phréatique,4687
2011,C33119001,Nappe captive,176857
2011,C33119002,Nappe captive,7350
2011,C33119003,Nappe captive,19458
2011,C33119005,Nappe phréatique,8821
