Code du département,Libellé du département,Code du canton,Libellé du canton,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp
33,Gironde,1,Andernos-les-Bains,44759,21761,"48,62",22998,"51,38",273,"0,61","1,19",99,"0,22","0,43",22626,"50,55","98,38",EXG,89,"0,2","0,39",COM,250,"0,56","1,1",FI,2629,"5,87","11,62",SOC,989,"2,21","4,37",ECO,857,"1,91","3,79",DIV,183,"0,41","0,81",REM,9457,"21,13","41,8",LR,4850,"10,84","21,44",DVD,598,"1,34","2,64",DLF,458,"1,02","2,02",FN,2266,"5,06","10,02",,,,,,,,,,,,,,,,,,,,,,,,
33,Gironde,2,Bordeaux-1,23864,11996,"50,27",11868,"49,73",56,"0,23","0,47",30,"0,13","0,25",11782,"49,37","99,28",EXG,117,"0,49","0,99",COM,246,"1,03","2,09",FI,2045,"8,57","17,36",SOC,1296,"5,43",11,DVG,204,"0,85","1,73",ECO,1273,"5,33","10,8",DIV,195,"0,82","1,66",REM,4359,"18,27",37,LR,1518,"6,36","12,88",DVD,111,"0,47","0,94",DLF,81,"0,34","0,69",FN,337,"1,41","2,86",,,,,,,,,,,,,,,,,,,,
33,Gironde,3,Bordeaux-2,31192,14685,"47,08",16507,"52,92",100,"0,32","0,61",64,"0,21","0,39",16343,"52,39","99,01",EXG,108,"0,35","0,66",COM,232,"0,74","1,42",FI,1530,"4,91","9,36",SOC,1513,"4,85","9,26",DVG,155,"0,5","0,95",ECO,1234,"3,96","7,55",DIV,254,"0,81","1,55",REM,6963,"22,32","42,61",LR,3330,"10,68","20,38",DVD,305,"0,98","1,87",DLF,126,"0,4","0,77",FN,588,"1,89","3,6",EXD,5,"0,02","0,03",,,,,,,,,,,,,,,,
33,Gironde,4,Bordeaux-3,33757,15135,"44,84",18622,"55,16",123,"0,36","0,66",50,"0,15","0,27",18449,"54,65","99,07",EXG,94,"0,28","0,51",COM,189,"0,56","1,02",FI,1465,"4,34","7,94",SOC,1159,"3,43","6,28",DVG,91,"0,27","0,49",ECO,859,"2,54","4,66",DIV,356,"1,05","1,93",REM,8454,"25,04","45,82",LR,4473,"13,25","24,25",DVD,189,"0,56","1,02",DLF,171,"0,51","0,93",FN,911,"2,7","4,94",EXD,38,"0,11","0,21",,,,,,,,,,,,,,,,
33,Gironde,5,Bordeaux-4,31045,16966,"54,65",14079,"45,35",104,"0,33","0,74",52,"0,17","0,37",13923,"44,85","98,89",EXG,170,"0,55","1,22",COM,482,"1,55","3,46",FI,2042,"6,58","14,67",SOC,1320,"4,25","9,48",DVG,106,"0,34","0,76",ECO,814,"2,62","5,85",DIV,302,"0,97","2,17",REM,5735,"18,47","41,19",LR,1856,"5,98","13,33",DVD,71,"0,23","0,51",DLF,100,"0,32","0,72",FN,895,"2,88","6,43",EXD,30,"0,1","0,22",,,,,,,,,,,,,,,,
33,Gironde,6,Bordeaux-5,27794,14402,"51,82",13392,"48,18",135,"0,49","1,01",59,"0,21","0,44",13198,"47,49","98,55",EXG,104,"0,37","0,79",COM,325,"1,17","2,46",FI,2545,"9,16","19,28",SOC,2272,"8,17","17,21",DVG,150,"0,54","1,14",ECO,915,"3,29","6,93",DIV,398,"1,43","3,02",REM,4423,"15,91","33,51",LR,1174,"4,22","8,9",DVD,74,"0,27","0,56",DLF,99,"0,36","0,75",FN,660,"2,37",5,EXD,59,"0,21","0,45",,,,,,,,,,,,,,,,
33,Gironde,7,Le Bouscat,29379,13791,"46,94",15588,"53,06",141,"0,48","0,9",52,"0,18","0,33",15395,"52,4","98,76",EXG,142,"0,48","0,92",COM,222,"0,76","1,44",FI,1710,"5,82","11,11",SOC,984,"3,35","6,39",DVG,64,"0,22","0,42",ECO,717,"2,44","4,66",DIV,320,"1,09","2,08",REM,6775,"23,06","44,01",LR,3182,"10,83","20,67",DVD,112,"0,38","0,73",DLF,126,"0,43","0,82",FN,1007,"3,43","6,54",EXD,34,"0,12","0,22",,,,,,,,,,,,,,,,
33,Gironde,8,La Brède,32518,15749,"48,43",16769,"51,57",193,"0,59","1,15",107,"0,33","0,64",16469,"50,65","98,21",EXG,106,"0,33","0,64",COM,274,"0,84","1,66",FI,2316,"7,12","14,06",SOC,2932,"9,02","17,8",DVG,167,"0,51","1,01",ECO,827,"2,54","5,02",DIV,224,"0,69","1,36",MDM,5251,"16,15","31,88",LR,2518,"7,74","15,29",DLF,264,"0,81","1,6",FN,1590,"4,89","9,65",,,,,,,,,,,,,,,,,,,,,,,,
33,Gironde,9,Cenon,28508,16281,"57,11",12227,"42,89",146,"0,51","1,19",77,"0,27","0,63",12004,"42,11","98,18",EXG,153,"0,54","1,27",COM,308,"1,08","2,57",FI,1779,"6,24","14,82",SOC,2776,"9,74","23,13",ECO,628,"2,2","5,23",DIV,274,"0,96","2,28",REM,3602,"12,64","30,01",UDI,966,"3,39","8,05",DLF,154,"0,54","1,28",FN,1364,"4,78","11,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Gironde,10,Les Coteaux de Dordogne,27135,13064,"48,14",14071,"51,86",166,"0,61","1,18",131,"0,48","0,93",13774,"50,76","97,89",EXG,101,"0,37","0,73",FI,1801,"6,64","13,08",SOC,616,"2,27","4,47",ECO,494,"1,82","3,59",DIV,125,"0,46","0,91",REM,5730,"21,12","41,6",UDI,394,"1,45","2,86",LR,2038,"7,51","14,8",DLF,146,"0,54","1,06",FN,2329,"8,58","16,91",,,,,,,,,,,,,,,,,,,,,,,,,,,,
