NAME;LABEL
Sources;Année des données
basi_c_den_etbt;basi_c Dénominateur
basi_c_etbt;Prescriptions médicamenteuses appropriées après un infarctus du myocarde (Score BASI)
basi_c_icbas_etbt;basi_c Intervalle de confiance bas
basi_c_ichaut_etbt;basi_c Intervalle de confiance haut
cat;Catégorie
code_reg;Code de la région
finess;Finess du TAS
hyg_c_den_etbt;hyg_c Dénominateur
hyg_c_etbt;Sensibilisation aux règles hygiéno-diététiques
hyg_c_icbas_etbt;hyg_c Intervalle de confiance bas
hyg_c_ichaut_etbt;hyg_c Intervalle de confiance haut
lib_reg;Nom de la région
raison_sociale;Raison sociale
