Hôtellerie,,,,,,,,
Code : HOT,,,,,,,,
,,,,,,,,
Jeux de données,,Adresse de la syndication,,,,,,
Liste des hôtels en Aquitaine,,http://wcf.tourinsoft.com/Syndication/aquitaine/a92a6ce1-066c-40a2-a476-eb211410af85,,,,,,
Liste des hôtels classés en Aquitaine,,http://wcf.tourinsoft.com/Syndication/aquitaine/d6a4ab1d-73dd-426e-a19d-d607ac95b6c8,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
SIRTAQUI,,,WEB SERVICES,,,,,
Onglets,Rubriques,Champs,Nom XML,Contenu du champ,Remarques,moteur de recherche,page de listing,page de détails
Identification,Type d'équipement,Type d'équipement,TYPE_HOT,Item de liste,,,,
Identification,Classement,Classement,CLAS,Item de liste,,,,
Identification,Adresse,Raison sociale,NOM_OFFRE,Champ texte,,,,
Identification,Adresse,Adresse 1,AD1      ,Champ texte,,,,
Identification,Adresse,Adresse 1 suite,AD1_SUITE      ,Champ texte,,,,
Identification,Adresse,Adresse 2,AD2      ,Champ texte,,,,
Identification,Adresse,Adresse 3,AD3      ,Champ texte,,,,
Identification,Adresse,Code Postal,CP,Champ texte,,,,
Identification,Adresse,Commune,COMMUNE,Champ texte,,,,
Identification,Adresse,INSEE commune,COMMUNE_INSEE,Code INSEE de la commune,,,,
Identification,Chaîne,Chaîne,CHAINES,Liste d’items séparés par #,,,,
Identification,Classement Logis,Classement Logis,LOGIS_CLAS,Liste d’items séparés par #,,,,
Identification,Thématique Logis,Thématique Logis,LOGIS_THEME,Liste d’items séparés par #,,,,
Identification,Marques et labels,Marques et labels,LABELS,Liste d’items séparés par #,,,,
Identification,Récompense(s) Concours Best Of Wine ,Type + Année + Catégorie,BOW,"Type, année et catégorie de la récompense Best of Wine séparés par |, chaque ligne étant séparée par #",,,,
Accès localisation,Google Map,Longitude,LON,,,,,
Accès localisation,Google Map,Latitude,LAT,,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées,TEL,Numéros de téléphone séparé par #,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées,TEL_MOB,Numéros de téléphone mobile séparé par #,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées,FAX,Numéros de fax séparé par #,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées,URL,Adresse du (des) site(s) internet séparée par #,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées,URL_MOB,Adresse du (des) site(s) internet mobile(s) séparée par #,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées + Complément d'information,TEL_COMPLET,Numéro de téléphone et son Complément d'information,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées + Complément d'information,TEL_MOB_COMPLET,Numéro de téléphone mobile et son Complément d'information,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées + Complément d'information,FAX_COMPLET,Numéro de fax et son Complément d'information,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées + Complément d'information,URL_COMPLET,Adresse du site internet et son Complément d'information,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées + Complément d'information,URL_MOB_COMPLET,Adresse du site internet mobile et son Complément d'information,,,,
Accueil,Ouverture accueil,Date début en n + date fin en n + heure ouverture 1 + heure fermeture 1 + heure ouverture 2 + heure fermeture 2 + jours fermeture,OUVERTURE,"Date d’ouverture et date de fermeture (au format jj/mm/aaaa),heure d’ouverture 1, heure de fermeture 1, heure d’ouverture 2 et heure de fermeture 2 (au format hh:mm) et  jours de fermeture  séparés par |, chaque période d’ouverture étant séparée par #",,,,
Accueil,Accessible aux personnes à mobilité réduite,Accessible aux personnes à mobilité réduite,ACCES_HANDI,Champ Oui/Non,,,,
Accueil,Label tourisme et handicap,Label tourisme et handicap,HANDICAP_LABEL,Liste d’items séparés par #,,,,
Accueil,Animaux bienvenus,Animaux bienvenus,ANIMAUX,Champ Oui/Non,,,,
Accueil,Langues parlées,Langues parlées,LANG_PARLE,Liste d’items séparés par #,,,,
Accueil,Réception de groupes,Groupes acceptés,GROUPE,Champ Oui/Non,,,,
Accueil,Réception de groupes,Nombre de personnes min,GROUPE_MIN,Champ numérique,,,,
Accueil,Réception de groupes,Nombre de personnes max,GROUPE_MAX,Champ numérique,,,,
Accueil,Réception de groupes,Parking autocars,GROUPE_AUTOCAR,Champ Oui/Non,,,,
Tarifs,Mode de paiement,Mode de paiement,MOD_PAIEMENT,Liste d’items séparés par #,,,,
Tarifs,Tarifs,Intitulé tarif + Tarif min + Tarif max + Complément tarif,TARIFS,"Intitulé du tarif, tarif minimum et maximum, Complément d'information séparés par |, chaque ligne étant séparée par #",,,,
Descriptif,Capacité de l'hôtel,Nombre de chambres classées,NBRE_CHAMB_CLAS,Champ numérique,,,,
Descriptif,Capacité de l'hôtel,Nombre total de chambres,NBRE_CHAMB,Champ numérique,,,,
Descriptif,Capacité de l'hôtel,Nombre de lits classés,NBRE_LITS_CLAS,Champ numérique,,,,
Descriptif,Capacité de l'hôtel,Nombre total de lits,NBRE_LITS,Champ numérique,,,,
Descriptif,Capacité de l'hôtel,Nombre de chambres pour personne à mobilité reduite,NBRE_CHAMB_PMR,Champ numérique,,,,
Descriptif,Capacité de l'hôtel,Nombre de chambres familiales,NBRE_CHAMB_FAMI,Champ numérique,,,,
Descriptif,Confort de la chambre,Confort de la chambre,CONFORT,Liste d’items séparés par #,,,,
Equipements / Services / Activités,Equipements,Equipements,EQUIP,Liste d’items séparés par #,,,,
Equipements / Services / Activités,Services,Services,SERVICES,Liste d’items séparés par #,,,,
Equipements / Services / Activités,Activités sur place,Activités sur place,ACTIV_PLACE,Liste d’items séparés par #,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Valeurs des champs listes :,,,,,,,,
Type d'équipement,"Hôtel, Hôtel-restaurant",,,,,,,
Classement,"1 étoile, 2 étoiles, 3 étoiles, 4 étoiles, 5 étoiles, Non classé",,,,,,,
Chaîne,"Agil Hôtels, Akena, All Seasons, Altica, Arcantis, Arena, B&B, Balladins, Best Western, Bonsaï Hôtels, Brit Hôtel, Campanile, Charme Hotel, Châteaux Demeures de Tradition et Grandes Etapes des Vignobles, Châteaux et Hôtels Collection, Choice Hotel, Citotel, Clarion, Climat de France, Comfort Inn, Concorde, Etap Hotel, Eurostar Hotusa, Everthôtel, Fasthôtel, Formule 1, Golden Tulip, Hilton, Holiday Inn, Hôtel Star, Hôtellerie familiale, Hôtels Unis de France, Hyatt, Ibis, Ibis Budget, Ibis Styles, Inter Hôtels, Inter-continental Hôtels, Kyriad, Leading Hotels of the World, Les Grandes Etapes Françaises, Les Pieds dans l'Eau, Libertel, Logis, Lucien Barrière, Marmotte, Marriott, Melia, Mercure, Méridien, MGallery, Millenium Commodore, Novotel, Nuit d'Hotel, Première Classe, Quality Inn, Qualys Hôtel, Quick palace, Relais du Silence, Relais et Châteaux, Segeric, Small Luxury Hotel, Sofitel, Timhôtel, Tonic Hôtel, Vacanciel, Villages Hôtel",,,,,,,
Classement Logis,"1 cheminée, 2 cheminées, 3 cheminées, 1 cocotte, 2 cocottes, 3 cocottes, Logis d'exception, Table distinguée",,,,,,,
Thématique Logis,"Auberge de Pays, Bacchus, Caractère, Etape affaires, Famille enfants, Nature silence, Neige, Moto, Pêche, Pédestre, Vélo",,,,,,,
