Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,MEL,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES_1,INFOS_COMPLEMENTAIRES_2,INFOS_COMPLEMENTAIRES_3,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,OUVERTURE,TARIFS,VISITE_CONDITIONS_IND,VISITE_LANGUES_PARLEES,EQUIPEMENTS,SERVICES
DEGAQU04001ODHFP,27/01/2020,Caveau de dégustation # Négociant # Producteur # Récoltant éleveur, Domaine de Laubesse Lacoste Corinne et Josette,"2155, route de Pejouan",,,,40190,HONTANX,40127,+33 5 58 03 23 14,+33 6 10 70 90 59,armagnac.lacoste@wanadoo.fr,, -0.2423665,43.8192760,Oui,"
Floc de Gascogne # Spiritueux",,,,Bienvenue à la Ferme # Vignobles et découvertes,01/01/2020|31/12/2020|||||,,Visite guidée,Anglais # Espagnol # Français,,
DEGAQU047V509XTP,10/01/2020,Brasseur,4.7 Brasserie,,,,Agropole Module 6 prime,47310,ESTILLAC,47091,,+33 7 82 20 50 42,,https://www.47brasserie.fr,0.54457430,44.2029,Oui,"
Bières",,,,,,,,,,
DEGAQU024FS00041,31/12/2018,Producteur,A la Ferme du Bras de l'Homme,,,,Le Bras de l'Homme,24200,SARLAT-LA-CANEDA,24520,+33 5 53 59 10 48,,,,1.2511997,44.8954571,Oui,"
Fruits / légumes",,,,,,,,,,
DEGAQU024V5088DR,03/01/2020,Producteur,A la noix patiente,,,,Chaminade,24390,GRANGES-D'ANS,24202,,+33 6 33 88 26 07 # +33 6 81 34 81 71,lucette.dubreuil-lachaud@neuf.fr,http://noixpatiente.free.fr/,1.11852899,45.211356,Oui,"
Noix",,,,,,,,,,
DEGAQU064FS000B9,11/01/2020,Producteur,A la rencontre du Berger,,,,,64440,EAUX-BONNES,64204,+33 5 59 05 12 17 # +33 5 59 05 33 08,,,, -0.3894230,42.9747200,,"
Fromage",,,,,01/01/2020|10/04/2020||||| # 07/07/2020|31/08/2020|||||,"Gratuit|0,00|0,00|",Visite libre,Français,,
DEGAQU040V50NN3L,08/01/2020,Producteur,Abbaye de Maylis,,,455 Avenue de la Chalosse,,40250,MAYLIS,40177,+33 5 58 97 72 81,,abbaye@maylis.org,https://www.abbaye-de-maylis.com, -0.6799211,43.6952361,Oui,"
Plantes médicinales",,,,,01/01/2020|31/12/2020|10:00|11:30|15:00|18:15| # 01/01/2020|31/12/2020|||||,,,,,
DEGAQU040V50L9W6,03/01/2020,Producteur,Abeille Nature ,,,Avenue Maréchal Joffre,,40110,MORCENX-LA-NOUVELLE,40197,,+33 6 20 60 01 15,,, -0.9096563,44.0343881,Oui,"
Produit apicole",,,,,,,Visite guidée,,,
DEGAQU040V50CUNB,02/01/2018,,AGRALIA,Route de Liposthey,,,,40160,YCHOUX,40332,,,,, -0.9455445,44.3272956,Oui,"
Fruits / légumes",,,,,,,,,,
DEGAQU0240006859,31/12/2018,Producteur,Albié Foie Gras,,,,marché couvert - place le la Liberté,24200,SARLAT-LA-CANEDA,24520,+33 5 53 45 66 88,+33 6 87 52 32 79,albie.foiegras@wanadoo.fr,,1.2172920,44.8908910,,"
Foie gras",,,,,,,,,,
DEGAQU024V504NWZ,03/01/2020,Producteur,Albié Foie Gras,,La Patte d'Oie,4 route du Sorcier,,24620,LES EYZIES,24172,+33 5 53 45 66 88,,,,1.0043160,44.9384280,,"
Conserverie # Foie gras",,,,,01/01/2020|31/12/2020|||||,,,,,
DEGAQU024FS00006,03/01/2020,Coopérative,Alliance Aquitaine - Site de Bergerac,,,70 boulevard Santraille,,24100,BERGERAC,24037,+33 5 53 57 16 27,,contact@allianceaquitaine.com,http://www.allianceaquitaine.com,0.48904180,44.8584165,Oui,"
Vins",,,,Vignobles et découvertes,02/01/2020|30/06/2020|09:00|12:00|14:00|18:00|Dimanche - Lundi # 01/07/2020|31/08/2020|09:00|12:30|14:00|18:30|Dimanche # 01/09/2020|31/12/2020|09:00|12:00|14:00|18:00|Dimanche - Lundi,,Visite guidée uniquement sur rendez-vous,Français,Salle(s) de réunion,
DEGAQU024FS0002N,09/01/2020,Coopérative,Alliance Aquitaine - Site de Le Fleix,,,,Le Vignoble,24130,LE FLEIX,24182,+33 5 53 24 64 86,,contact@allianceaquitaine.com,http://www.cave-bergerac-le-fleix.com,0.25298595,44.8738225,Oui,"
Vins",,,,,,,,,,
DEGAQU024FS0008I,02/01/2018,Coopérative,Alliance Aquitaine - Site de Saint-Vivien,,,,La Reynaudie,24230,SAINT-VIVIEN,24514,+33 5 53 27 50 24,,contact@allianceaquitaine.com,http://www.cave-bergerac-le-fleix.com,0.094516,44.888898,Oui,"
Vins",,,,,,,,,,
