"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_LGT_1P","NB_LGT_2P","NB_LGT_3P","NB_LGT_4P","NB_LGT_5P","NB_LGT_6P","NB_LGT_DEMOLIS","NB_LGT_IND_CREES","NB_LGT_COL_CREES","NB_LGT_TOT_CREES","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","I_PISCINE","I_GARAGE","I_VERANDA","I_ABRIJARDIN","I_AUTREANNEXE","I_RESIDPRINC","I_RESIDSEC","I_PERSONNELLE","I_VENTE","I_LOCATION","I_LGTR_SENIORS","I_LGTR_ETUDIANTS","I_LGTR_TOURISME","I_LGTR_HOTELIERESOC","I_LGTR_SOCIAL","I_LGTR_HANDICAPES","I_LGTR_AUTRE","I_LGTR_AUTRE_LIBELLE","SDP_A1","SDP_B1","SDP_D1","SDP_ E1","SDP_F1","TYPE_OPERATION_CONSTR","PERIODE_DEVRT","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"84","01","01001","2019","00100119V0003","10","2",,,,"3","Rue","des Sources",,,"01600","TOUSSIEUX",,"100","144",,"Rue des Bles d'Or",,,,"ABERGEMENT CLEMENCIAT",,"0146ZH",,,2,293,,,,0,0,0,0,0,1,0,1,0,1,,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,93,0,0,0,"5",2019-08-31,"2019-07-25",
"84","01","01004","2019","00100419A1019","90","2",,,,"22","Rue","des Apotres","Tiret",,"01 50","AMBERIEU-EN-BUGEY",,"100","22","Rue","des Apotres","Tiret",,"01 50","AMBERIEU-EN-BUGEY",,"1446AW",,,2,610,,,,0,0,0,2,0,0,0,2,0,2,,"1",0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,195,0,0,0,"7",2019-08-31,"2019-08-23",
"84","01","01004","2019","00100419A1022","90","2",,"AMETIS RHONE ALPES AUVERGNE","52900363400015","84",,"Quai Joseph Gillet","CS 90218",,"69 31","LYON Cedex 04",,"100","179","Rue","Alexandre Berard",,,"01 50","AMBERIEU-EN-BUGEY",,"0852AP","0022AP","0021AP",2,1997,,,,0,11,18,11,0,0,0,0,40,40,,"1",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,235,2919,0,235,0,"12",2019-08-31,"2019-08-20",
"84","01","01005","2019","00100519V0018","10","2",,,,"37","rue","du 8 mai 1945",,,"69650","QUINCIEUX",,"100","435","route","de ST Trivier",,,"01330","AMBERIEUX EN DOMBES",,"061pAA",,,2,706,,,,0,0,0,0,1,0,0,1,0,1,,"1",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,104,0,0,0,"5",2019-08-31,"2019-08-09",
"84","01","01007","2019","00100719A0016","90","2",,"JLC2M","82425099700015","129",,"Grande Rue",,,"01 50","AMBRONAY",,"100","150","Rue","Pre Bompan",,,"01 50","AMBRONAY",,"0097ZX","0286ZX",,1,1373,,,,0,0,0,2,0,0,0,2,0,2,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,97,36,159,0,0,"14",2019-08-31,,
"84","01","01011","2019","00101119H0001","80","2",,,,,,"ABLATRIX  7 rue DE LA CASE",,,"01100","APREMONT",,"100",,,"ABLATRIX - 7 RUE DE LA CAS",,,"01100","APREMONT",,"07000A","07530A","10920A",2,3367,,,,0,0,0,0,0,0,0,0,0,0,,"2",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,156,24,0,0,0,"4",2019-08-31,"2019-08-13",
"84","01","01014","2019","00101419H0011","30","2","SARL","SARL FL.B.M. IMMOBILIER - M. FLORE Brice","81937393700013",,,"13 RUE DES ECHALLYS",,,"01100","ARBENT",,"100",,,"14 rue DE FORCHET",,,"01100","ARBENT",,"066PAI","358PAI",,2,2258,,,,0,0,0,0,0,0,0,3,0,3,,"1",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,0,340,0,0,0,"7",2019-08-31,"2019-08-26",
"84","01","01014","2019","00101419H0014","90","2",,,,,,"210 RUE JULES FERRY - VEYZ",,,"01100","OYONNAX",,"100",,,"(LOT N_ 22) LOTISSEMENT L","AVENUE DU GENERAL ANDREA",,"01100","ARBENT",,"0474AH",,,1,510,,,,0,0,0,1,0,0,0,1,0,1,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,101,0,0,0,"5",2019-08-31,,
"84","01","01014","2019","00101419H0015","90","2",,,,,,"1 IMPASSE FLAUBERT",,,"01100","OYONNAX",,"100",,,"LOTISSEMENT LE PARC MOTIER",,,"01100","ARBENT",,"0439AH","0478AH","0488AH",1,702,,,,0,0,0,1,0,0,0,1,0,1,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,141,0,0,0,"5",2019-08-31,,
"84","01","01021","2019","00102119V0005","80","2",,"Association San Lorenzo","48832596000026",,,"CHEMIN DES COUSTERES",,,"65100","LOURDES",,"100",,,"VERS LA RENCONTRE",,,"01480","ARS SUR FORMANS",,"0078ZE",,,2,0,,,,0,0,0,0,0,0,0,0,0,0,,"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,824,55,0,0,0,"4",2019-08-31,"2019-07-05",
"84","01","01021","2019","00102119V0006","80","2",,,,,,"LESPOUX",,,"01480","ARS SUR FORMANS",,"100",,,"CHEMIN DE LA RENCONTRE","LESPOUX",,"01480","ARS SUR FORMANS",,"0073ZD","0061ZD","0063ZD",2,25484,,,,0,0,0,0,0,0,0,0,0,0,,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,227,60,0,0,0,"4",2019-08-31,"2019-07-19",
"84","01","01027","2019","0010271900009","90","2",,,,"17","rue","des Gres",,,"69390","MILLERY",,"100","429","route","de LYON","lot B",,"01360","BALAN",,"09590E","09500E",,1,660,,,,0,0,0,0,0,1,0,1,0,1,,,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,138,0,0,0,"5",2019-08-31,,
"84","01","01028","2019","00102819V0006","90","2",,,,"704","route","de la Bouchardiere",,,"01990","BANEINS",,"100","704","route","de la Bouchardiere",,,"01990","BANEINS",,"0037ZE",,,1,23600,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,"1",2019-08-31,,
