"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","NB_CHB","SDP_A2","SDP_B2","SDP_D2","SDP_E2","SDP_F2","SDP_A3","SDP_B3","SDP_D3","SDP_E3","SDP_F3","SDP_A4","SDP_B4","SDP_D4","SDP_E4","SDP_F4","SDP_A5","SDP_B5","SDP_D5","SDP_E5","SDP_F5","SDP_A6","SDP_B6","SDP_D6","SDP_E6","SDP_F6","SDP_A7","SDP_B7","SDP_D7","SDP_E7","SDP_F7","SDP_A8","SDP_B8","SDP_D8","SDP_E8","SDP_F8","SDP_A9","SDP_B9","SDP_D9","SDP_E9","SDP_F9","I_TRANSPORT","I_ENSETRECH","I_SANTE","I_ACTSOCIAL","I_OUVRAGESPEC","I_CULTURE","TYPE_OPERATION_CONSTR","DPC","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"84","01","01014","2018","00101418H0002","9","2",,"BARRIER",,"32","Rue","Diderot",,,"01100","OYONNAX",,"100","22.24","Alle","des fleurs","POINT B",,"01100","ARBENT",,"07340A","07510A","07430A",2,6221,,,,,"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,647,200,617,0,316,1629,0,0,9,617,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-05-31,"2018-05-28",
"84","01","01021","2017","00102117V0017","2","2",,"Communaute de communes Dombes Saone Vallee","20004249700012",,,"627 route de Jassans - CS6",,,"01602","TREVOUXS",,"100","623",,"RUE JEAN MARIE VIANNEY",,,"01480","ARS SUR FORMANS",,"10730A",,,2,682,,,,,"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,1,"8",2018-05-31,"2018-01-18",
"84","01","01025","2018","00102518D0011","9","2","EURL","EURL FUN GLISS","40153471400027",,,"lieu dit Longecour","DOMMARTIN",,"01380","BAGE-DOMMARTIN",,"100",,,"Lieu dit LONGECOUR",,,"01380","BAGE DOMMARTIN",,"02060D",,,2,0,,,,,"1",0,0,0,0,30,0,0,0,0,52,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-05-31,"2018-05-04",
"84","01","01029","2018","00102918D0003","9","2",,"ENTREPRISE SCHARDES representee par Monsieur GOYE","49221776500022","426","Impas","du Champs du Bois","ZA du Biolay",,"01270","BEAUPONT",,"100","426","Impas","du Champs du Bois","ZA du Biolay",,"01270","BEAUPONT",,"0104ZO",,,1,0,,,,,,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-05-31,,
"84","01","01031","2018","00103118H0003","1","2",,"SCI DE LA COURBE","43945639300016",,,"1 RUE DE LA COURBE",,,"01100","BELLIGNAT",,"100",,,"1 RUE DE LA COURBE",,,"01100","BELLIGNAT",,"0256AA","0254AA",,2,4469,,,,,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-05-31,"2018-05-29",
"84","01","01032","2018","0010321800003","9","2",,"K PERSPECTIVES","79969841000013","9 bis","avenu","du Marechal de Lattre de",,,"69330","MEYZIEU",,"100",,"route","du Dauphine","CHANES",,"01360","BELIGNEUX",,"12570B","12510B","12560B",2,21360,,,,,"2",1,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-05-31,"2018-05-03",
"84","01","01033","2018","00103318B0017","9","2",,"LA CASCADE",,,,"37 RUE JOSEPH MARION",,,"01200","BELLEGARDE SUR VALSERINE",,"100",,,"37 - 39 RUE JOSEPH MARION",,,"01200","BELLEGARDE-SUR-VALSERINE",,"08070E","07300E",,1,1984,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-05-31,,
"84","01","01033","2018","00103318B0018","9","2",,"SAS PANCOSMA FRANCE",,,,"22 ROUTE DE TUILIERE",,,"1283","DARDAGNY",,"100",,,"02 RUE DES FRERES LUMIERE",,,"01200","BELLEGARDE-SUR-VALSERINE",,"0108AH","0107AH","0105AH",1,10250,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-05-31,,
"84","01","01034","2017","00103417C0013","2","2",,"COMMUNE  (Pole Petite Enfance)","21010034300016",,,"11 bd de Verdun",,,"01300","belley",,"100",,,"422 AVENUE HOFF",,,"01300","BELLEY",,"0180AW","0179AW","0178AW",3,26388,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604,0,0,0,0,0,0,1,0,0,"8",2018-05-31,"2017-10-10","2017-11-29"
"84","01","01034","2017","00103417C0014","9","2",,"OGEC DE BELLEY (CATTA A.) - college LAMARTINE","77930082100013",,,"41 rue Georges Girerd",,,"01300","BELLEY",,"100",,,"41 RUE GEORGES GIRERD",,,"01300","BELLEY",,"0402AL",,,3,10756,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5900,190,0,0,0,0,1,0,0,0,0,"8",2018-05-31,"2017-10-06","2017-12-25"
