"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","NB_CHB","SDP_A2","SDP_B2","SDP_D2","SDP_E2","SDP_F2","SDP_A3","SDP_B3","SDP_D3","SDP_E3","SDP_F3","SDP_A4","SDP_B4","SDP_D4","SDP_E4","SDP_F4","SDP_A5","SDP_B5","SDP_D5","SDP_E5","SDP_F5","SDP_A6","SDP_B6","SDP_D6","SDP_E6","SDP_F6","SDP_A7","SDP_B7","SDP_D7","SDP_E7","SDP_F7","SDP_A8","SDP_B8","SDP_D8","SDP_E8","SDP_F8","SDP_A9","SDP_B9","SDP_D9","SDP_E9","SDP_F9","I_TRANSPORT","I_ENSETRECH","I_SANTE","I_ACTSOCIAL","I_OUVRAGESPEC","I_CULTURE","TYPE_OPERATION_CONSTR","DPC","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"84","01","01002","2020","00100220A0003","9","2","Collectivite territoriale","Commune de L'ABERGEMENT-DE-VAREY","21010002000010","1","Place","de la Mairie",,,"01 64","L'ABERGEMENT-DE-VAREY",,"100",,"Place","du Pese-lait",,,"01 64","L'ABERGEMENT-DE-VAREY",,"0005AE","0006AE","0149AE",1,956,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,39,0,27,0,0,0,0,0,0,0,"13",2020-07-31,,
"84","01","01004","2019","00100419A1058","1","2",,"SARL CEDDIA PROMOTION","539092346","48","Rue","de Marseille",,,"69330","MEYZIEU",,"100","79","Rue","Alexandre Berard",,,"01 50","AMBERIEU-EN-BUGEY",,"0027AO","0026AO","0025AO",2,1831,,,,,"2",1,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,"14",2020-07-31,"2020-04-10",
"84","01","01004","2020","00100420A1031","8","2",,"SAS LUNA","87765527400018","16",,"Residence des Chenes",,,"38390","LA-BALMES-LES-GROTTES",,"100","99","Rue","du Tremollard",,,"01500","AMBERIEU-EN-BUGEY",,"1363AW","1361AW","0895AW",2,202,,,,,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2020-07-31,"2020-07-31",
"84","01","01025","2020","00102520D0023","9","2",,"EARL DES SABLES",,,,"1010 route DES SABLES",,,"01380","BAGE-DOMMARTIN",,"100",,,"LE CORRIDOR",,,"01380","BAGE DOMMARTIN",,"18240A",,,2,0,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2020-07-31,"2020-07-27",
"84","01","01027","2020","0010272000008","9","2",,"SIEPEL","25690094500013","21","chemi","de Rajat",,,"69780","SAINT-PIERRE-DE-CHANDIEU",,"100",,,"Iles Nouvelles",,,"01360","BALAN",,"04890C",,,1,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,176,0,0,0,0,0,0,0,1,0,"8",2020-07-31,,
"84","01","01033","2020","00103320B0028","9","2",,"MAENOLA","87819896900015","667","Rue","Santos Dumont","Chatillon-en-Michaille",,"01200","VALSERHONE",,"100",,"Rue","Santos Dumont","Chatillon-en-Michaille",,"01200","VALSERHONE",,"0297AI","0281AI",,2,1657,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2020-07-31,"2020-07-31",
"84","01","01036","2020","00103620C0005","8","2",,"GUILLOT Pierre",,,,"33 Chemin du Creux de Moul",,,"01260","VZLROMEY SUR SERAN",,"100",,,"Chemin du Creux du Moulin","Fitignieu",,,"VALROMEY SUR SERAN",,"04080A",,,2,2016,,,,,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,156,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2020-07-31,"2020-06-01",
"84","01","01046","2020","00104620D0004","9","2",,"GAEC Les Prelions represente par Monsieur BAGNE",,"400","Route","de Calendras",,,"01290","Biziat",,"100","400","Route","de Calendras",,,"01290","BIZIAT",,"05530B","08920B",,2,2844,,,,,"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7803,42,0,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13",2020-07-31,"2020-07-16",
"84","01","01046","2020","00104620D0008","9","2",,"SCEA Les Ecuries de Biziat representee par Monsie","88464354500001",,,"Scivolieres",,,"71240","JUGY",,"100",,,"Le Retissinge",,,"01290","BIZIAT",,"08360A","08350A","08810A",1,765,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2020-07-31,,
"84","01","01046","2020","00104620D0011","9","2",,"LE RANCH DE MIMI represente par Madame CHAPELLE M","75345684700015","1715","Route","des Rutets",,,"01290","BIZIAT",,"100","1715","Route","de Rutets",,,"01290","BIZIAT",,"08540B",,,1,7170,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2020-07-31,,
