Section;Sens;Sous Rubrique (Code);Chapitre (Code);Montant du BP (Statistiques)
F;D;812;11;3 838 816,00
F;D;812;12;1 418 027,00
F;D;812;23;92 729,39
F;D;812;42;192 220,00
F;D;812;65;36 873,00
F;D;812;66;10
F;D;812;67;17 652,00
F;D;812;68;206 210,00
F;R;812;2;3 338 979,17
F;R;812;13;6 000,00
F;R;812;42;18 550,00
F;R;812;70;300 190,00
F;R;812;73;3 917 387,00
F;R;812;74;324 000,00
F;R;812;75;0
F;R;812;77;0
I;D;812;40;18 550,00
I;D;812;16;1 000,00
I;D;812;20;43 000,00
I;D;812;21;453 660,00
I;D;812;23;0
I;R;812;1;465 719,61
I;R;812;21;92 729,39
I;R;812;40;192 220,00
I;R;812;10;0
I;R;812;13;0
