Section;Sens;Chapitre (Code);Total budgété (Statistiques);Montant mandaté (Statistiques)
F;D;011;113 291,00;80 852,92
F;D;023;62 554,00;0,00
F;D;042;76 753,00;76 753,00
F;D;65;1,00;0,00
F;D;66;37 100,00;34 541,25
F;D;68;156 071,00;0,00
F;R;002;227 349,75;227 349,75
F;R;042;20 707,00;20 707,00
F;R;70;186 000,00;155 532,00
F;R;75;64 992,00;63 554,00
F;R;77;0,00;0,00
I;D;001;57 955,89;57 955,89
I;D;040;20 707,00;20 707,00
I;D;16;118 600,00;118 507,38
I;R;021;62 554,00;0,00
I;R;040;76 753,00;76 753,00
I;R;10;57 955,89;57 955,89
