ANNEE_SCOLAIRE,MAT_ELEM,NOM,TPS,PS,MS,GS,CP,CE1,CE2,CM1,CM2,CLIN,CLISMAT,CLISELEM
2013-2014,ELEM,ALPHONSE DAUDET ELEMENTAIRE,0,0,0,0,42,41,37,38,36,0,0,12
2013-2014,MAT,ALPHONSE DAUDET MATERNELLE,10,48,54,47,0,0,0,0,0,0,0,0
2013-2014,ELEM,AMPERE PRIMAIRE ELEMENTAIRE,0,0,0,0,63,59,48,52,52,0,0,0
2013-2014,MAT,AMPERE PRIMAIRE MATERNELLE,0,31,27,28,0,0,0,0,0,0,0,0
2013-2014,ELEM,ANATOLE FRANCE ELEMENTAIRE,0,0,0,0,39,45,28,34,29,0,0,0
2013-2014,MAT,ANATOLE FRANCE MATERNELLE,0,47,38,45,0,0,0,0,0,0,0,0
2013-2014,ELEM,ANTHOARD ELEMENTAIRE,0,0,0,0,93,84,70,82,70,0,0,0
2013-2014,ELEM,BAJATIERE ELEMENTAIRE,0,0,0,0,35,23,30,24,21,0,0,0
2013-2014,MAT,BAJATIERE MATERNELLE,0,28,32,27,0,0,0,0,0,0,0,0
2013-2014,ELEM,BEAUVERT PRIMAIRE ELEMENTAIRE,0,0,0,0,58,61,44,42,42,0,0,12
2013-2014,MAT,BEAUVERT PRIMAIRE MATERNELLE,0,71,52,49,0,0,0,0,0,0,0,0
2013-2014,MAT,BERRIAT MATERNELLE,0,58,41,50,0,0,0,0,0,0,0,0
2013-2014,ELEM,BIZANET PRIMAIRE  ELEMENTAIRE,0,0,0,0,48,39,35,46,40,0,0,0
2013-2014,MAT,BIZANET PRIMAIRE MATERNELLE,0,42,32,41,0,0,0,0,0,0,0,0
2013-2014,MAT,BUFFON MATERNELLE,0,50,42,31,0,0,0,0,0,0,0,0
2013-2014,ELEM,BUTTES PRIMAIRE ELEMENTAIRE,0,0,0,0,22,17,30,19,19,0,0,0
2013-2014,MAT,BUTTES PRIMAIRE MATERNELLE,6,28,22,31,0,0,0,0,0,0,0,0
2013-2014,ELEM,CHRISTOPHE TURC ELEMENTAIRE,0,0,0,0,78,38,62,35,50,0,0,0
2013-2014,MAT,CLAUDE BERNARD MATERNELLE,0,11,9,6,0,0,0,0,0,0,0,0
2013-2014,ELEM,CLEMENCEAU PRIMAIRE ELEMENTAIRE,0,0,0,0,38,50,42,49,48,0,0,14
2013-2014,MAT,COLONEL DRIANT MATERNELLE,0,79,63,67,0,0,0,0,0,0,0,0
2013-2014,MAT,CORNELIE GEMOND MATERNELLE,0,41,37,34,0,0,0,0,0,0,0,0
2013-2014,MAT,DIDEROT PRIMAIRE MATERNELLE,0,51,59,38,0,0,0,0,0,0,0,0
2013-2014,ELEM,ELISEE CHATIN PRIMAIRE ELEMENTAIRE,0,0,0,0,74,67,51,61,59,0,0,0
2013-2014,MAT,ELISEE CHATIN PRIMAIRE MATERNELLE,0,64,67,55,0,0,0,0,0,0,0,0
2013-2014,ELEM,FERDINAND BUISSON PRIMAIRE ELEMENTAIRE,0,0,0,0,58,46,36,48,49,0,0,32
2013-2014,MAT,FERDINAND BUISSON PRIMAIRE MATERNELLE,0,57,45,60,0,0,0,0,0,0,0,0
2013-2014,ELEM,FONTAINE ELEMENTAIRE,0,0,0,0,22,21,30,23,15,0,0,0
2013-2014,MAT,FONTAINE MATERNELLE,8,28,32,27,0,0,0,0,0,0,0,0
2013-2014,MAT,FRENES MATERNELLE,4,25,28,28,0,0,0,0,0,0,0,0
2013-2014,ELEM,GENETS ELEMENTAIRE,0,0,0,0,35,32,30,30,40,6,0,12
2013-2014,ELEM,GRAND CHATELET PRIMAIRE ELEMENTAIRE,0,0,0,0,27,19,31,25,20,0,0,12
2013-2014,MAT,GRAND CHATELET PRIMAIRE MATERNELLE,10,26,26,31,0,0,0,0,0,0,0,0
