Departement,Population,Charges-personnel,Charges-personnel/hab,Part-charges-personnel-total-charges-fonctionnement
Ain,629786,92 999 590 €,148 €,"19,86 %"
Aisne,555400,98 221 661 €,177 €,"19,24 %"
Allier,353246,77 847 432 €,220 €,"22,43 %"
Alpes-de-Haute-Provence,166316,50 493 006 €,304 €,"28,46 %"
Hautes-Alpes,144950,35 192 409 €,243 €,"22,94 %"
Alpes-Maritimes,1098465,197 427 860 €,180 €,"19,39 %"
Ardèche,328189,73 979 167 €,225 €,"23,10 %"
Ardennes,291031,66 749 902 €,229 €,"22,88 %"
Ariège,158154,41 467 203 €,262 €,"25,94 %"
Aube,313892,56 872 014 €,181 €,"20,47 %"
Aude,372259,94 174 916 €,253 €,"22,18 %"
Aveyron,287806,71 406 856 €,248 €,"24,67 %"
Bouches-du-Rhône,2014702,331 663 419 €,165 €,"17,04 %"
Calvados,704567,117 130 687 €,166 €,"20,13 %"
Cantal,153268,44 455 122 €,290 €,"25,79 %"
Charente,366776,85 360 449 €,233 €,"23,67 %"
Charente-Maritime,648031,119 998 137 €,185 €,"20,46 %"
Cher,320019,75 503 560 €,236 €,"23,57 %"
Corrèze,249856,56 879 196 €,228 €,"22,35 %"
Corse-du-Sud,147823,68 799 954 €,465 €,"35,32 %"
Haute-Corse,173659,53 372 366 €,307 €,"26,73 %"
Côte-d'Or,541517,100 231 184 €,185 €,"21,69 %"
Côtes-d'Armor,616013,130 267 622 €,211 €,"25,17 %"
Creuse,126511,40 626 333 €,321 €,"24,85 %"
Dordogne,429268,96 126 057 €,224 €,"24,85 %"
Doubs,545888,93 988 486 €,172 €,"20,66 %"
Drôme,506210,99 809 551 €,197 €,"20,96 %"
Eure,609226,91 731 272 €,151 €,"20,18 %"
Eure-et-Loir,443490,75 014 953 €,169 €,"20,75 %"
Finistère,932896,156 173 880 €,167 €,"21,14 %"
Gard,742441,159 434 242 €,215 €,"20,45 %"
Haute-Garonne,1306125,277 522 679 €,212 €,"23,68 %"
Gers,196930,62 200 025 €,316 €,"28,08 %"
Gironde,1514870,238 813 279 €,158 €,"18,23 %"
Hérault,1097047,211 413 378 €,193 €,"19,20 %"
Ille-et-Vilaine,1036181,173 375 555 €,167 €,"22,02 %"
Indre,235956,42 258 046 €,179 €,"22,17 %"
Indre-et-Loire,612305,102 271 049 €,167 €,"21,99 %"
Isère,1253410,196 692 317 €,157 €,"17,81 %"
Jura,271439,57 805 870 €,213 €,"22,82 %"
Landes,406809,77 289 338 €,190 €,"21,52 %"
Loir-et-Cher,342224,65 848 025 €,192 €,"22,37 %"
Loire,771367,122 213 540 €,158 €,"18,87 %"
Haute-Loire,233488,46 698 391 €,200 €,"23,31 %"
Loire-Atlantique,1349609,190 580 858 €,141 €,"18,59 %"
Loiret,681086,94 360 077 €,139 €,"19,12 %"
Lot,181165,50 359 170 €,278 €,"26,92 %"
Lot-et-Garonne,342903,56 989 207 €,166 €,"17,41 %"
Lozère,81100,25 794 472 €,318 €,"27,30 %"
Maine-et-Loire,819366,116 792 267 €,143 €,"19,77 %"
Manche,517998,103 246 960 €,199 €,"23,91 %"
Marne,582786,86 427 168 €,148 €,"21,40 %"
Haute-Marne,188859,42 886 602 €,227 €,"25,69 %"
Mayenne,318159,61 993 061 €,195 €,"24,14 %"
Meurthe-et-Moselle,747707,122 650 056 €,164 €,"19,10 %"
Meuse,199315,47 034 034 €,236 €,"23,17 %"
Morbihan,756098,120 809 411 €,160 €,"22,32 %"
Moselle,1068417,131 095 813 €,123 €,"17,12 %"
Nièvre,224349,68 486 856 €,305 €,"26,28 %"
Nord,2627956,491 066 912 €,187 €,"18,70 %"
Oise,830778,147 042 319 €,177 €,"21,25 %"
Orne,299461,64 915 133 €,217 €,"23,37 %"
Pas-de-Calais,1490820,306 924 468 €,206 €,"20,85 %"
Puy-de-Dôme,655498,115 677 909 €,176 €,"20,79 %"
Pyrénées-Atlantiques,682631,110 330 587 €,162 €,"19,19 %"
Hautes-Pyrénées,236996,65 570 220 €,277 €,"23,70 %"
Pyrénées-Orientales,466712,104 926 509 €,225 €,"21,04 %"
Bas-Rhin,1124434,141 258 681 €,126 €,"17,01 %"
Haut-Rhin,771668,100 101 884 €,130 €,"16,75 %"
Rhône,1795663,91 912 558 €,51 €,"21,78 %"
Haute-Saône,247742,45 455 095 €,183 €,"23,30 %"
Saône-et-Loire,574111,92 926 531 €,162 €,"19,99 %"
Sarthe,583633,97 512 613 €,167 €,"20,03 %"
Savoie,435353,94 605 586 €,217 €,"23,87 %"
Haute-Savoie,780341,117 298 856 €,150 €,"19,83 %"
Paris,2265886,218 867 013 €,97 €,"10,56 %"
Seine-Maritime,1279955,229 571 245 €,179 €,"18,45 %"
Seine-et-Marne,1377102,224 094 616 €,163 €,"21,42 %"
Yvelines,1440274,163 434 554 €,113 €,"17,91 %"
Deux-Sèvres,383123,79 508 665 €,208 €,"24,98 %"
Somme,583783,123 174 867 €,211 €,"21,40 %"
Tarn,391048,79 053 214 €,202 €,"20,71 %"
Tarn-et-Garonne,253577,61 732 687 €,243 €,"23,51 %"
Var,1039603,213 086 922 €,205 €,"22,38 %"
Vaucluse,558623,125 713 700 €,225 €,"23,35 %"
Vendée,668554,94 098 573 €,141 €,"18,03 %"
Vienne,441319,70 514 328 €,160 €,"20,84 %"
Haute-Vienne,384604,75 071 958 €,195 €,"22,61 %"
Vosges,390787,77 435 629 €,198 €,"23,07 %"
Yonne,352750,73 460 055 €,208 €,"21,17 %"
