Departement,Population,Depenses-totales-voirie/km,Depenses-fonctionnement-voirie/km,Depenses-investissement-voirie/km,Nb-kms-voirie-departementale
Ain,636916,11 543 €,6 141 €,5 401 €,4456
Aisne,554512,5 211 €,853 €,4 358 €,5446
Allier,353742,3 902 €,1 664 €,2 238 €,5253
Alpes-de-Haute-Provence,166726,14 924 €,7 572 €,7 352 €,2550
Hautes-Alpes,144640,9 857 €,3 095 €,6 763 €,1951
Alpes-Maritimes,1096741,30 360 €,4 980 €,25 381 €,1707
Ardèche,330017,9 350 €,1 855 €,7 495 €,3782
Ardennes,289075,7 049 €,1 475 €,5 575 €,3380
Ariège,158379,8 381 €,1 116 €,7 265 €,2666
Aube,314825,2 831 €,933 €,1 898 €,4502
Aude,374868,11 585 €,5 362 €,6 223 €,4300
Aveyron,289257,8 141 €,1 631 €,6 510 €,5909
Bouches-du-Rhône,2022604,36 742 €,8 651 €,28 091 €,3058
Calvados,706635,5 038 €,1 212 €,3 826 €,5742
Cantal,152797,4 382 €,2 077 €,2 305 €,3975
Charente,366587,4 508 €,1 460 €,3 048 €,5128
Charente-Maritime,652610,7 870 €,1 203 €,6 667 €,6088
Cher,319693,4 434 €,1 053 €,3 381 €,4604
Corrèze,249452,4 732 €,1 189 €,3 543 €,4757
Corse-du-Sud,151621,20 299 €,7 761 €,12 538 €,1999
Haute-Corse,173889,12 009 €,486 €,11 523 €,2467
Côte-d'Or,543648,7 939 €,2 189 €,5 750 €,5816
Côtes-d'Armor,617565,8 767 €,3 734 €,5 032 €,4499
Creuse,125714,4 615 €,3 106 €,1 508 €,4395
Dordogne,429579,8 086 €,4 012 €,4 075 €,4944
Doubs,548026,8 341 €,2 425 €,5 915 €,3695
Drôme,509444,10 258 €,2 396 €,7 862 €,4247
Eure,612518,6 142 €,1 027 €,5 115 €,4398
Eure-et-Loir,444385,3 923 €,500 €,3 423 €,7462
Finistère,934625,6 874 €,1 954 €,4 920 €,3557
Gard,750025,8 284 €,1 375 €,6 909 €,4443
Haute-Garonne,1325392,11 245 €,2 961 €,8 285 €,6610
Gers,197598,7 461 €,4 490 €,2 972 €,3558
Gironde,1536448,11 978 €,5 587 €,6 390 €,6476
Hérault,1111881,18 061 €,6 202 €,11 860 €,5075
Ille-et-Vilaine,1047873,14 141 €,4 174 €,9 967 €,5180
Indre,235181,6 640 €,3 448 €,3 192 €,4982
Indre-et-Loire,615557,9 596 €,4 434 €,5 163 €,3953
Isère,1263850,21 744 €,3 796 €,17 948 €,5160
Jura,270914,10 261 €,6 512 €,3 749 €,3546
Landes,411197,9 366 €,4 252 €,5 113 €,4217
Loir-et-Cher,342471,6 237 €,1 450 €,4 787 €,3437
Loire,774144,9 724 €,2 134 €,7 589 €,3792
Haute-Loire,233918,7 078 €,1 646 €,5 432 €,3413
Loire-Atlantique,1363452,9 542 €,1 192 €,8 351 €,4640
Loiret,684104,8 524 €,5 115 €,3 409 €,3630
Lot,180470,5 129 €,994 €,4 135 €,4013
Lot-et-Garonne,343645,5 756 €,388 €,5 368 €,2958
Lozère,80712,11 491 €,5 873 €,5 618 €,2265
Maine-et-Loire,824547,8 087 €,3 683 €,4 404 €,4857
Manche,518364,7 964 €,3 377 €,4 587 €,7760
Marne,583691,10 979 €,6 124 €,4 854 €,4191
Haute-Marne,188083,6 150 €,1 535 €,4 615 €,3894
Mayenne,318095,4 219 €,995 €,3 224 €,3675
Meurthe-et-Moselle,745398,9 846 €,2 460 €,7 386 €,3314
Meuse,198334,3 896 €,2 145 €,1 751 €,3525
Morbihan,761433,13 230 €,3 637 €,9 593 €,4210
Moselle,1068119,8 611 €,2 251 €,6 360 €,4300
Nièvre,222688,3 504 €,1 188 €,2 316 €,4352
Nord,2635494,15 918 €,2 028 €,13 890 €,5257
Oise,835918,16 239 €,4 568 €,11 671 €,4074
Orne,298248,7 042 €,2 466 €,4 576 €,5861
Pas-de-Calais,1491735,12 996 €,1 632 €,11 364 €,6255
Puy-de-Dôme,658489,7 530 €,3 020 €,4 510 €,7217
Pyrénées-Atlantiques,685564,14 038 €,4 973 €,9 065 €,4447
Hautes-Pyrénées,236728,13 075 €,6 463 €,6 611 €,2940
Pyrénées-Orientales,471573,21 538 €,9 025 €,12 513 €,2167
Bas-Rhin,1128825,12 099 €,3 343 €,8 756 €,3668
Haut-Rhin,774976,11 502 €,2 727 €,8 775 €,2604
Rhône,1812196,5 550 €,2 628 €,2 922 €,3139
Haute-Saône,246782,10 077 €,1 207 €,8 869 €,3455
Saône-et-Loire,575097,6 991 €,789 €,6 202 €,5472
Sarthe,584865,8 590 €,5 548 €,3 042 €,4263
Savoie,437915,25 501 €,8 909 €,16 592 €,3126
Haute-Savoie,793342,28 498 €,4 034 €,24 463 €,2995
Paris,2254262,0 €,0 €,0 €,1625
Seine-Maritime,1280410,8 447 €,2 034 €,6 413 €,6416
Seine-et-Marne,1387830,13 435 €,2 302 €,11 132 €,4325
Yvelines,1446301,40 582 €,3 228 €,37 354 €,1575
Deux-Sèvres,383079,7 021 €,2 459 €,4 562 €,3994
Somme,584184,6 669 €,1 609 €,5 060 €,4541
Tarn,393877,9 092 €,3 821 €,5 271 €,4149
Tarn-et-Garonne,256867,10 384 €,4 269 €,6 114 €,2523
Var,1046346,15 927 €,1 329 €,14 598 €,2939
Vaucluse,562254,27 081 €,9 097 €,17 984 €,2348
Vendée,674843,8 673 €,1 542 €,7 131 €,4694
Vienne,442696,6 713 €,3 590 €,3 123 €,4665
Haute-Vienne,384411,4 937 €,592 €,4 345 €,3999
Vosges,388551,10 176 €,2 421 €,7 755 €,3226
Yonne,352182,2 934 €,1 424 €,1 510 €,4860
Territoire de Belfort,147777,15 404 €,6 836 €,8 568 €,547
Essonne,1273233,24 351 €,5 215 €,19 137 €,1490
Hauts-de-Seine,1611290,241 746 €,59 349 €,182 397 €,336
Seine-Saint-Denis,1565222,186 795 €,48 032 €,138 763 €,344
Val-de-Marne,1367091,198 412 €,14 156 €,184 255 €,414
Val-d'Oise,1211138,51 276 €,10 687 €,40 590 €,1080
Autre,2109231,112 030 €,27 304 €,84 725 €,2528
