Champ;Description
id;Identifiant du support
nom;Nom du support
typ_support;Type de support
ss-thematique;Sous-type du support
adresse;Adresse du support
code_post;Code postal du support
comm;Commune du support
date_construc;Date ou période de construction du support
architecte;Architecte ayant réaliser le support
propriete;Propriétaire du support
fréquent;Fréquentation annuelle du support
caracteristiques;Descriptif du support
x_l93;Coordonnées X en Lambert  93
y_l93;Coordonnées Y en Lambert 93
precision_poi;Précision de géocodage (indique si le support est géocodé à l'adresse, à la voie ou à la commune)
score_poi;Correspondance adresse avec référentiel de géocodage (plus le score est proche de 1 et meilleure est la correspondance)
