Departement,Population,Charges-personnel,Charges-personnel/hab,Part-charges-personnel-total-charges-fonctionnement
Ain,614331,83 587 862 €,136 €,"19,07 %"
Aisne,555094,97 368 634 €,175 €,"19,93 %"
Allier,353124,75 696 939 €,214 €,"22,82 %"
Alpes-de-Haute-Provence,165155,46 775 547 €,283 €,"27,20 %"
Hautes-Alpes,142312,34 919 475 €,245 €,"23,73 %"
Alpes-Maritimes,1094579,193 711 525 €,177 €,"18,90 %"
Ardèche,324885,69 096 419 €,213 €,"22,78 %"
Ardennes,291678,65 093 694 €,223 €,"23,04 %"
Ariège,157582,40 236 951 €,255 €,"25,82 %"
Aube,311720,54 148 394 €,174 €,"20,88 %"
Aude,365854,91 218 297 €,249 €,"22,74 %"
Aveyron,288364,66 201 154 €,230 €,"23,10 %"
Bouches-du-Rhône,2000550,327 074 618 €,163 €,"17,08 %"
Calvados,699561,111 043 723 €,159 €,"19,56 %"
Cantal,154135,44 021 891 €,286 €,"25,82 %"
Charente,364429,82 701 488 €,227 €,"24,51 %"
Charente-Maritime,640803,113 606 773 €,177 €,"20,12 %"
Cher,319600,75 120 933 €,235 €,"24,07 %"
Corrèze,252235,57 566 215 €,228 €,"22,33 %"
Corse-du-Sud,145998,63 185 235 €,433 €,"33,97 %"
Haute-Corse,168869,51 801 141 €,307 €,"26,86 %"
Côte-d'Or,538505,98 159 849 €,182 €,"21,64 %"
Côtes-d'Armor,612383,118 311 671 €,193 €,"24,35 %"
Creuse,127919,39 391 269 €,308 €,"24,95 %"
Dordogne,426607,95 512 050 €,224 €,"25,41 %"
Doubs,542509,91 493 796 €,169 €,"20,58 %"
Drôme,499313,95 433 227 €,191 €,"20,73 %"
Eure,603194,87 800 504 €,146 €,"20,57 %"
Eure-et-Loir,440291,75 385 010 €,171 €,"20,96 %"
Finistère,929286,152 642 335 €,164 €,"21,46 %"
Gard,726285,152 097 109 €,209 €,"19,92 %"
Haute-Garonne,1268370,266 378 264 €,210 €,"22,78 %"
Gers,195489,59 481 730 €,304 €,"27,82 %"
Gironde,1479277,232 091 816 €,157 €,"18,76 %"
Hérault,1062617,205 120 472 €,193 €,"19,33 %"
Ille-et-Vilaine,1015470,164 915 806 €,162 €,"22,58 %"
Indre,238261,40 601 534 €,170 €,"21,51 %"
Indre-et-Loire,605819,101 937 355 €,168 €,"22,23 %"
Isère,1233759,190 086 853 €,154 €,"17,42 %"
Jura,271973,52 945 543 €,195 €,"21,90 %"
Landes,397766,73 897 121 €,186 €,"21,81 %"
Loir-et-Cher,340729,65 645 894 €,193 €,"22,89 %"
Loire,766729,118 335 213 €,154 €,"19,02 %"
Haute-Loire,231877,44 924 014 €,194 €,"22,89 %"
Loire-Atlantique,1317685,185 446 691 €,141 €,"19,27 %"
Loiret,674913,93 863 756 €,139 €,"19,32 %"
Lot,181232,49 836 404 €,275 €,"27,73 %"
Lot-et-Garonne,342500,52 530 971 €,153 €,"16,94 %"
Lozère,81281,26 695 069 €,328 €,"28,14 %"
Maine-et-Loire,808298,113 949 157 €,141 €,"20,00 %"
Manche,517121,93 806 306 €,181 €,"22,76 %"
Marne,579533,83 798 285 €,145 €,"21,87 %"
Haute-Marne,191004,43 760 217 €,229 €,"27,16 %"
Mayenne,317006,57 862 141 €,183 €,"22,78 %"
Meurthe-et-Moselle,746502,117 505 830 €,157 €,"19,36 %"
Meuse,200509,44 778 334 €,223 €,"23,15 %"
Morbihan,744663,116 349 214 €,156 €,"22,52 %"
Moselle,1066667,126 504 082 €,119 €,"16,96 %"
Nièvre,226997,66 387 686 €,292 €,"26,40 %"
Nord,2617939,475 939 454 €,182 €,"18,78 %"
Oise,823668,136 812 408 €,166 €,"20,90 %"
Orne,301421,61 814 058 €,205 €,"22,70 %"
Pas-de-Calais,1489209,283 436 087 €,190 €,"20,04 %"
Puy-de-Dôme,649643,112 809 105 €,174 €,"21,29 %"
Pyrénées-Atlantiques,674908,106 602 641 €,158 €,"18,86 %"
Hautes-Pyrénées,237945,62 959 008 €,265 €,"23,55 %"
Pyrénées-Orientales,457238,99 054 848 €,217 €,"21,40 %"
Bas-Rhin,1115226,139 343 556 €,125 €,"16,92 %"
Haut-Rhin,765634,97 214 783 €,127 €,"16,92 %"
Rhône,1756069,261 578 641 €,149 €,"17,98 %"
Haute-Saône,247311,43 932 564 €,178 €,"24,06 %"
Saône-et-Loire,574874,88 521 227 €,154 €,"19,74 %"
Sarthe,579497,92 488 868 €,160 €,"19,10 %"
Savoie,428751,91 393 272 €,213 €,"23,27 %"
Haute-Savoie,760979,109 787 715 €,144 €,"19,33 %"
Paris,2268265,232 803 794 €,103 €,"11,51 %"
Seine-Maritime,1275952,223 476 536 €,175 €,"18,48 %"
Seine-et-Marne,1347008,217 584 529 €,162 €,"21,29 %"
Yvelines,1435448,168 649 436 €,117 €,"18,77 %"
Deux-Sèvres,380569,76 287 050 €,200 €,"25,25 %"
Somme,583388,120 004 298 €,206 €,"21,75 %"
Tarn,387099,77 386 448 €,200 €,"21,17 %"
Tarn-et-Garonne,248227,58 413 833 €,235 €,"22,92 %"
Var,1026222,204 117 892 €,199 €,"22,17 %"
Vaucluse,555240,121 732 508 €,219 €,"23,47 %"
