DepCode,DepLib,ComInsee,ComLib,InsNumeroInstall,InsNom,EquipementId,EquNom,EquNomBatiment,EquNbEquIdentique,EquipementTypeCode,EquipementTypeLib,GestionTypeProprietairePrincLib,GestionTypeGestionnairePrincLib,GestionTypeProprietaireSecLib,GestionTypeGestionnaireSecLib,EquGestionDSP,EquDouche,EquEclairage,EquErpCTS,EquErpREF,EquErpL,EquErpN,EquErpO,EquErpOA,EquErpP,EquErpPA,EquErpR,EquErpRPE,EquErpSG,EquErpX,EquErpCategorie,EquAnneeService,AnneeServiceLib,EquNbPlaceTribune,NatureSolLib,NatureLibelle,EquHauteurEvolution,EquLongueurEvolution,EquLargeurEvolution,EquSurfaceEvolution,EquHauteurSurfaceEvo,EquNbCouloirPiste,EquNbVestiaireSpo,EquVestiaireSpoChauffe,EquNbVestiaireArbitre,EquSanitaireSportif,EquSanitairePublic,EquOuvertSaison,EquProximite,EquSono,EquTableauFixe,EquChrono,EquAmenagementAucun,EquUtilScolaire,EquUtilClub,EquUtilAutre,EquUtilIndividuel,EquUtilPerformance,EquUtilFormation,EquUtilRecreation,EquDateDernierTravauxReal,AnneeTravauxRealLibelle,EquDateDernierTravauxAucun,EquTravauxRealConformite,EquTravauxRealNorme,EquTravauxRealUsager,EquTravauxRealDegradation,EquTravauxRealVetuste,EquAccesHandimAire,EquAccesHandimTribune,EquAccesHandimVestiaire,EquAccesHandimSaniSpo,EquAccesHandimSaniPub,EquAccesHandimAucun,EquAccesHandisAucun,EquAccesHandisAire,EquAccesHandisTribune,EquAccesHandisVestiaire,EquAccesHandisSaniSpo,EquAccesHandisSaniPub,EquAccueilClub,EquAccueilSalle,EquAccueilBuvette,EquAccueilDopage,EquAccueilMedic,EquAccueilInfirmerie,EquAccueilBureau,EquAccueilReception,EquAccueilLocalRangement,EquAccueilAutre,EquAccueilAucun,EquChauffageNon,EquChauffageFuel,EquChauffageGaz,EquChauffageElectricite,EquChauffageSolaire,EquChauffageAutre,EquConfortSauna,EquConfortBainBouillonant,EquConfortBainVapeur,EquConfortSolarium,EquConfortAutre,EquConfortAucun,EquDemarcheHQE,EquSaeNbCouloir,EquSaeHauteur,EquSaeSurface,EquNatureSignal,EquNatureAlert,EquNatureAcPubPed,EquNatureAcPubRout,EquNatureAcPubMec,EquNatureAcPubNau,EquNatureAcSecPed,EquNatureAcSecRout,EquNatureAcSecMec,EquNatureAcSecNau,EquNatureLocTec,EquNatureLocPed,EquNatureAutorise,EquNaturePDESI,EquipNatureSituationLib,EquNatureSEVoies,EquNatureClassFedeMini,EquNatureClassFedeMaxi,EquNatureESTour,EquNatureAETreuil,EquNatureSKAltitudeBasse,EquNatureSKAltitudeHaute,EquNatureSKDebit,EquNatureSKTotalRemontee,EquNatureSKNbKMSkiAlpin,EquNatureSKNbKMSkiNordique,EquNatureSHNbPisteNeigeArti,EquNatureSKSnowPark,EquNatureSKHalfpipe,EquNatureSKKmLance,EquNatureSKBorder,EquNatureSKSlalom,EquNatureSKTremplin,EquNatureSKJardinAlpin,EquNatureSKJardinNordique,EquipementTir10,EquipementTir25,EquipementTir50,EquipementTir100,EquipementTir200,EquipementTir300,EquipementTirPlateau,EquipementTirAutre,EquAthDev,EquAthLongLigneDroite,EquAthNbCouloirLigne,EquAthNbCouloirHorsLigne,EquAthRiviere,EquNatSurv,EquAthNbSautTotal,EquAthNbSautHauteur,EquAthNbSautLongueur,EquAthNbSautTriple,EquAthNbSautPerche,EquAthNbLancerTotal,EquAthNbPoids,EquAthNbDisque,EquAthNbJavelot,EquAthNbMarteau,EquAthNBMarteauMixte,EquNatFormeLib,EquNatLongueurBassin,EquNatLargeurBassin,EquNatSurfaceBassin,EquNatProfMini,EquNatProfMax,EquNatCouloir,EquNatSurfacePlageBassin,EquNatNbTTotal,EquNatNbT1,EquNatNbT3,EquNatNbPTotal,EquNatNbP3,EquNatNbP5,EquNatNbP7,EquNatNbP10,EquNatMaV,EquNatTobog,EquNatPentaglisse,EquNatRiviere,EquNatImHandi,EquNatFM,EquNatMM,EquNatEclSub,EquNatSonorisationSub,EquNatAutre,EquPresencePataugeoir,longitude,latitude,EquDateCreation,EquDateMaj
33,Gironde,33001,Abzac,330010001,Stade Fernand Rode,234986,Plateau Eps,,1,1701,Plateau EPS/Multisports/city-stades,Commune,Commune,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1962,1945-1964,0,Bitume,Découvert,.00,26.00,14.00,364.00,.00,0,0,0,0,0,0,0,-1,0,0,0,-1,1,,,1,0,1,1,1999,1995-2004,0,0,0,0,0,-1,Oui,Non-concerne,Non-concerne,Non-concerne,Non-concerne,Non,Oui,Non,Non-concerne,Non-concerne,Non-concerne,Non-concerne,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13337000,45.01647000,2005-12-12 00:00:00,2014-11-17 00:00:00
33,Gironde,33001,Abzac,330010001,Stade Fernand Rode,234987,Terrain de Football d'Entrainement,,1,2802,Terrain de football,Commune,Commune,,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,,1962,1945-1964,0,Gazon naturel,Découvert,.00,108.00,67.00,7236.00,.00,0,4,-1,2,-1,-1,0,0,0,0,0,-1,2,1,3,4,1,3,2,2003,1995-2004,0,0,0,0,0,-1,Oui,Non-concerne,Oui,Oui,Oui,Non,Oui,Non,Non-concerne,Non,Non,Non,-1,-1,-1,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13386000,45.01570000,2005-12-12 00:00:00,2014-12-10 00:00:00
33,Gironde,33001,Abzac,330010001,Stade Fernand Rode,234988,Terrain de Football,,1,2802,Terrain de football,Commune,Commune,,,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1983,1975-1984,250,Gazon naturel,Découvert,.00,114.00,69.00,7866.00,.00,0,4,-1,2,-1,-1,0,0,0,0,0,-1,2,1,,3,1,2,3,2003,1995-2004,0,0,0,0,0,-1,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,-1,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13470000,45.01485000,2005-12-12 00:00:00,2014-11-17 00:00:00
33,Gironde,33001,Abzac,330010001,Stade Fernand Rode,234989,Mur de Tennis,,1,1105,Mur de tennis,Commune,Commune,,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,,1995,1995-2004,0,Béton,Découvert,3.00,18.00,7.00,126.00,3.00,0,2,-1,0,-1,0,0,-1,0,0,0,-1,,1,,2,0,1,2,2005,A partir de 2005,0,0,0,0,0,-1,Oui,Non-concerne,Non,Non,Non-concerne,Non,Oui,Non,Non-concerne,Non,Non,Non-concerne,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13358000,45.01639000,2005-12-12 00:00:00,2014-11-17 00:00:00
33,Gironde,33001,Abzac,330010001,Stade Fernand Rode,234990,Court de Tennis,,2,501,Court de tennis,Commune,Commune,,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,5,1990,1985-1994,0,Béton,Découvert,.00,36.00,18.00,648.00,.00,0,2,-1,0,-1,0,0,0,0,0,0,-1,1,1,4,1,1,2,3,2005,A partir de 2005,0,0,0,0,0,-1,Oui,Non-concerne,Non,Non,Non-concerne,Non,Oui,Non,Non-concerne,Non,Non,Non-concerne,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13381000,45.01643000,2005-12-12 00:00:00,2014-11-17 00:00:00
33,Gironde,33001,Abzac,330010002,Point d'Embarquement Sur Isle,283289,Halte Nautique Sur l'Isle,,1,2410,Point d'embarquement et de débarquement isolé,Commune,Commune,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1995-2004,0,Surface naturelle,Site naturel,.00,.00,.00,.00,,,0,0,0,0,0,0,-1,0,0,0,-1,1,1,1,1,,,1,,,-1,0,0,0,0,0,Non,Non-concerne,Non-concerne,Non-concerne,Non-concerne,Oui,Oui,Non,Non-concerne,Non-concerne,Non-concerne,Non-concerne,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,,,,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,Rivière fleuve,,I,II,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12460000,45.01868000,2007-10-12 00:00:00,2014-11-17 00:00:00
33,Gironde,33002,Aillas,330020002,Foyer Rural,234991,Salle Polyvalente,,1,2201,Salles polyvalentes / des fêtes / non spécialisées,Commune,Commune,,,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,4,1954,1945-1964,0,Parquet,Intérieur,5.00,19.00,11.00,217.00,5.00,0,0,0,0,-1,-1,0,0,0,0,0,-1,2,,1,,0,2,1,1985,1985-1994,0,0,0,0,0,-1,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,0,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7307000,44.47375000,2005-12-12 00:00:00,2013-05-14 00:00:00
33,Gironde,33002,Aillas,330020001,Stade Municipal,234992,Court de Tennis,,2,501,Court de tennis,Commune,Commune,,,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,5,1985,1985-1994,0,Béton,Découvert,.00,36.00,18.00,648.00,.00,0,2,-1,1,-1,-1,0,0,0,0,0,-1,1,1,1,1,1,2,3,2003,1995-2004,0,0,0,0,0,-1,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7269000,44.47560000,2005-12-12 00:00:00,2013-05-14 00:00:00
33,Gironde,33002,Aillas,330020001,Stade Municipal,234993,Terrain de Football Annexe,,1,2802,Terrain de football,Commune,Commune,,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,5,1985,1985-1994,0,Gazon naturel,Découvert,.00,60.00,40.00,2400.00,.00,0,4,-1,2,-1,-1,0,0,0,0,0,-1,2,1,3,,1,2,3,1997,1995-2004,0,0,0,0,0,-1,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7508000,44.47542000,2005-12-12 00:00:00,2013-05-14 00:00:00
33,Gironde,33002,Aillas,330020001,Stade Municipal,234994,Terrain de Football,,1,2802,Terrain de football,Commune,Commune,,,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,5,1966,1965-1974,0,Gazon naturel,Découvert,.00,114.00,71.00,8037.00,.00,0,4,0,2,-1,-1,0,0,0,0,0,-1,2,1,3,,1,2,3,1997,1995-2004,0,0,0,0,0,-1,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7388000,44.47539000,2005-12-12 00:00:00,2013-05-14 00:00:00
