Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,MEL,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES_1,INFOS_COMPLEMENTAIRES_2,INFOS_COMPLEMENTAIRES_3,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,OUVERTURE,TARIFS,VISITE_CONDITIONS_IND,VISITE_LANGUES_PARLEES,EQUIPEMENTS,SERVICES
PNAAQU040FS00037,03/01/2020,"Lacs, étangs, plans d'eau, marais, sources","A la découverte de l'Adour Perdu, étang de Moïsan",,,,,40660,MESSANGES,40181,+33 5 58 48 93 10,,messanges@landesatlantiquesud.com,, -1.3786712,43.8136117,Oui,"
Non classé",,,,,,,Visite libre,,,
PNAAQU040FS00032,03/01/2020,Autre type de site naturel,Arboretum,,,,,40240,VIELLE-SOUBIRAN,40327,+33 5 58 44 86 06,,contact@landesdarmagnac-tourisme.fr,, -0.1874730,44.0393847,Oui,"
",,,,,,,,,,
PNAAQU024V503DT4,03/01/2020,Autre type de site naturel,Arboretum de Montagnac,,,,,24470,SAINT-SAUD-LACOUSSIERE,24498,,,,,0.8204080,45.5442060,,"
Non classé",,,,,01/01/2020|31/12/2020|||||,,Visite libre,,,
PNAAQU040V507ZTA,03/01/2020,Autre type de site naturel,Arbre Remarquable - Le chêne liège,,,,,40550,LEON,40150,+33 5 58 49 20 00,,mairie@leon.fr,, -1.3655144,43.8867471,Oui,"
Natura 2000 # Réserve naturelle # Site classé",,,,,,,,,,
PNAAQU040V507ZO8,03/01/2020,Autre type de site naturel,Arbre Remarquable - Le Séquoïa,,,Avenue Jean-Noël Serret,,40260,CASTETS,40075,+33 5 58 89 40 09,,,http://www.castetsdeslandes.fr, -1.1454995,43.8822504,Oui,"
",,,,,,,Visite libre,Français,,
PNAAQU064V500NAO,03/01/2020,Autre type de site naturel,Baie de Txingudi,,,,,64700,HENDAYE,64260,,,,, -1.7751279,43.3603038,Oui,"
Natura 2000",,,,,,,Visite guidée # Visite libre,,,
PNAAQU040FS0001E,03/01/2020,"Lacs, étangs, plans d'eau, marais, sources","Balade pédestre ""la Promenade Fleurie""",,,Avenue du Lac,,40200,MIMIZAN,40184,,,,, -1.2302532,44.2150871,,"
",,,,,,,Visite guidée # Visite libre,Français,,
PNAAQU040FS0000E,03/01/2020,"Lacs, étangs, plans d'eau, marais, sources",Barthes de l'Adour,,,,,40465,PONTONX-SUR-L'ADOUR,40230,+33 5 58 57 20 13 # +33 5 58 57 23 89,+33 6 07 98 66 01,,http://www.pontonx.fr, -0.9127669,43.7864919,Oui,"
",,,,,,,,,,
PNAAQU040V50GHD4,03/01/2020,"Lacs, étangs, plans d'eau, marais, sources",Barthes de l'Adour,,,,,40180,SAUBUSSE,40293,,,,, -1.1841317,43.6563931,Oui,"
Natura 2000",,,,,,,,,,
PNAAQU064V507LMA,03/01/2020,"Forêts # Lacs, étangs, plans d'eau, marais, sources",Barthes de l'Ardanavy,,,Route d'Urcuit,,64990,URCUIT,64540,,,,, -1.3212349,43.4848989,Oui,"
Espace Naturel Sensible # Natura 2000",,,,,,,Visite libre,,,
